listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17684023,NORLANE,3214,390,1738.0,"Friday, 05 September 2025",2025-07-24,47,3,1,3.0,House,10 Tennyson Street,-38.096134,144.35793,2025-09-09 16:48:37,17684023,,9,0,0,False,House,House,Jellis Craig Geelong,18039,Anna Vines,"Internal Laundry, Secure Parking, Fireplace(s), Shed, Fully fenced, Workshop, Ducted Heating, Pets Allowed",https://www.domain.com.au/10-tennyson-street-norlane-vic-3214-17684023
17692955,NORLANE,3214,350,1520.0,"Wednesday, 30 July 2025",2025-07-30,41,3,1,1.0,House,48 Sparks Road,-38.09099,144.35503,2025-09-09 16:48:37,17692955,,9,0,0,False,House,House,Barry Plant Geelong Sales,5005,Geelong Leasing,Heating,https://www.domain.com.au/48-sparks-road-norlane-vic-3214-17692955
17698219,NORLANE,3214,360,1560.0,"Friday, 12 September 2025",2025-08-04,36,2,1,1.0,House,51 Swallow Cr,-38.089493,144.35208,2025-09-09 16:48:37,17698219,,10,0,1,False,House,House,Barry Plant Belmont,27306,Belmont Inspections,"Built in wardrobes, Heating",https://www.domain.com.au/51-swallow-cr-norlane-vic-3214-17698219
17721938,NORLANE,3214,415,1803.0,"Friday, 26 September 2025",2025-08-19,21,3,1,1.0,House,14 Tennyson Street,-38.0962,144.35825,2025-09-09 16:48:37,17721938,,11,0,0,False,House,House,Jellis Craig Geelong,18039,Tim Callander,"Bath, Split System Heating, Split System Air Con, Pets Allowed",https://www.domain.com.au/14-tennyson-street-norlane-vic-3214-17721938
17724653,NORLANE,3214,340,1477.0,"Wednesday, 27 August 2025",2025-08-20,20,2,1,1.0,House,34 Robin Avenue,-38.088715,144.35413,2025-09-09 16:48:37,17724653,,7,0,0,False,House,House,Ray White Lara,16363,"Lachlan McCraw, Katherine Owen","Gas, Pets Allowed, Heating",https://www.domain.com.au/34-robin-avenue-norlane-vic-3214-17724653
17727354,NORLANE,3214,410,1782.0,"Monday, 25 August 2025",2025-08-22,18,3,1,,House,24 Princes Highway,-38.096756,144.35594,2025-09-09 16:48:37,17727354,,10,0,0,False,House,House,Barry Plant Thomastown,16860,Carla Vinci,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Heating, Fully fenced",https://www.domain.com.au/24-princes-highway-norlane-vic-3214-17727354
17728141,NORLANE,3214,420,1825.0,"Friday, 22 August 2025",2025-08-22,18,2,1,2.0,House,5 Finch Street,-38.088486,144.35588,2025-09-09 16:48:37,17728141,,6,0,0,False,House,House,Jellis Craig Geelong,18039,Tim Callander,"Internal Laundry, Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Outdoor Entertainment Area, Pets Allowed, Secure Parking, Shed",https://www.domain.com.au/5-finch-street-norlane-vic-3214-17728141
17729157,NORLANE,3214,310,1347.0,"Saturday, 09 August 2025",2025-08-25,15,3,1,,House,7 Alkira Avenue,-38.09413,144.35448,2025-09-09 16:48:37,17729157,,6,1,0,True,House,House,Ray White Lara,16363,Katherine Owen,Heating,https://www.domain.com.au/7-alkira-avenue-norlane-vic-3214-17729157
17733524,NORLANE,3214,395,1716.0,"Thursday, 25 September 2025",2025-08-27,13,3,1,2.0,House,65 Plume Street,-38.08872,144.3595,2025-09-09 16:48:37,17733524,,9,0,0,False,House,House,Barry Plant Geelong Sales,5005,Geelong Leasing,"Air conditioning, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/65-plume-street-norlane-vic-3214-17733524
17735333,NORLANE,3214,460,1999.0,"Friday, 29 August 2025",2025-08-27,13,3,2,2.0,Apartment / Unit / Flat,2/11 Kalinga Street,-38.093227,144.35252,2025-09-09 16:48:37,17735333,,8,0,0,False,Apartment,Apartment / Unit / Flat,Lara Real Estate,36528,Taylah Bank,"Bath, Fully fenced, Remote Garage, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/2-11-kalinga-street-norlane-vic-3214-17735333
