listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11173766,NORTH BENDIGO,3550,650.0,2824.0,"Tuesday, 04 March 2025",2017-02-10,3133,3,3,2,House,2 Ingleton Street,-36.742714,144.27257,2025-09-09 16:54:21,11173766,PT-1933-MX,21,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,,https://www.domain.com.au/2-ingleton-street-north-bendigo-vic-3550-11173766
11423279,NORTH BENDIGO,3550,580.0,2520.0,"Sunday, 30 November 2025",2017-06-02,3020,2,2,1,Townhouse,21a Smith St,-36.744705,144.28151,2025-09-09 16:54:21,11423279,BA-3169-AK,10,0,0,False,Townhouse/Villa,Townhouse,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/21a-smith-st-north-bendigo-vic-3550-11423279
13946458,NORTH BENDIGO,3550,670.0,2911.0,"Sunday, 30 November 2025",2020-01-28,2051,3,2,1,House,18 Anderson Street,-36.74884,144.27545,2025-09-09 16:54:21,13946458,LP-2805-OQ,16,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/18-anderson-street-north-bendigo-vic-3550-13946458
15598360,NORTH BENDIGO,3550,,3172.0,"Friday, 10 April 2026",2021-12-14,1365,3,2,1,House,11a Afton Street,-36.741673,144.28691,2025-09-09 16:54:21,15598360,VD-0628-QQ,13,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,"Balcony / Deck, Furnished",https://www.domain.com.au/11a-afton-street-north-bendigo-vic-3550-15598360
15923864,NORTH BENDIGO,3550,720.0,3128.0,"Friday, 17 October 2025",2025-08-25,15,4,2,2,House,10A Norfolk Street,-36.745193,144.27881,2025-09-09 16:54:21,15923864,GE-2047-FQ,13,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,"Secure Parking, Furnished",https://www.domain.com.au/10a-norfolk-street-north-bendigo-vic-3550-15923864
16706257,NORTH BENDIGO,3550,0.0,3563.0,"Wednesday, 31 December 2025",2023-10-19,691,4,2,2,House,16 Michelsen Street,-36.7479,144.2755,2025-09-09 16:54:21,16706257,LT-5677-IF,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Air conditioning, Secure Parking, Furnished, Heating",https://www.domain.com.au/16-michelsen-street-north-bendigo-vic-3550-16706257
16900644,NORTH BENDIGO,3550,620.0,2694.0,"Wednesday, 01 October 2025",2024-02-28,559,3,1,1,House,1/20 O'Neill St,-36.74187,144.27888,2025-09-09 16:54:21,16900644,WG-2038-GA,7,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/1-20-o-neill-st-north-bendigo-vic-3550-16900644
17073957,NORTH BENDIGO,3550,480.0,2085.0,"Wednesday, 17 September 2025",2025-08-25,15,2,2,1,House,42 Bayne Street,-36.745037,144.28078,2025-09-09 16:54:21,17073957,KV-5878-IR,11,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,"Heating, Shed",https://www.domain.com.au/42-bayne-street-north-bendigo-vic-3550-17073957
17207327,NORTH BENDIGO,3550,475.0,2063.0,"Thursday, 24 April 2025",2024-09-13,361,1,1,1,House,1/9A Smith Street,-36.746082,144.27992,2025-09-09 16:54:21,17207327,YG-4451-CB,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Built in wardrobes, Furnished, Heating",https://www.domain.com.au/1-9a-smith-street-north-bendigo-vic-3550-17207327
17311399,NORTH BENDIGO,3550,540.0,2346.0,"Friday, 21 August 2026",2024-11-19,294,2,1,1,Apartment / Unit / Flat,5/14 Michelsen Street,-36.747253,144.27592,2025-09-09 16:54:21,17311399,YH-5569-CS,10,0,0,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/5-14-michelsen-street-north-bendigo-vic-3550-17311399
17416575,NORTH BENDIGO,3550,0.0,2302.0,"Wednesday, 05 March 2025",2025-02-25,196,3,2,2,Townhouse,1/28 Bayne Street,-36.746296,144.28293,2025-09-09 16:54:21,17416575,TN-1063-DD,5,0,0,False,Townhouse/Villa,Townhouse,McKean McGregor Real Estate Pty Ltd,28695,Carmen Morrow,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-28-bayne-street-north-bendigo-vic-3550-17416575
17492777,NORTH BENDIGO,3550,,1955.0,"Thursday, 12 February 2026",2025-03-20,173,1,1,1,Apartment / Unit / Flat,4/9a Smith Street,-36.745888,144.28014,2025-09-09 16:54:21,17492777,NH-2087-FU,6,0,0,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/4-9a-smith-street-north-bendigo-vic-3550-17492777
17657707,NORTH BENDIGO,3550,590.0,,"Friday, 05 September 2025",2025-07-08,63,4,2,2,House,30 Holmes Road,-36.741043,144.27238,2025-09-09 16:54:21,17657707,,6,0,0,False,House,House,Priority1 Property,22037,Louisa Turnbull,"Secure Parking, Study, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Openable Windows, Toilet Facilities",https://www.domain.com.au/30-holmes-road-north-bendigo-vic-3550-17657707
17696743,NORTH BENDIGO,3550,480.0,2085.0,"Friday, 15 August 2025",2025-08-01,39,3,1,1,House,86 Bayne Street,-36.74191,144.27661,2025-09-09 16:54:21,17696743,,14,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,,https://www.domain.com.au/86-bayne-street-north-bendigo-vic-3550-17696743
