listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15231756,NORTH MELBOURNE,3051,510.0,2216.0,"Wednesday, 01 October 2025",2025-09-08,1,1.0,1.0,1.0,Apartment / Unit / Flat,5/25 Byron Street,-37.801964,144.9516,2025-09-09 16:59:16,15231756,HJ-7944-CF,9,1,1,False,Apartment,Apartment / Unit / Flat,Bow Residential,33223,Patrick Siah,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Intercom, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-25-byron-street-north-melbourne-vic-3051-15231756
17741026,NORTH MELBOURNE,3051,550.0,2389.0,"Sunday, 05 October 2025",2025-09-01,8,1.0,1.0,1.0,House,107/33-35 Arden Street,-37.8014,144.95047,2025-09-09 16:59:16,17741026,,6,0,0,False,House,House,Jellis Craig Inner West,19574,Sala Liku,"Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/107-33-35-arden-street-north-melbourne-vic-3051-17741026
17744834,NORTH MELBOURNE,3051,670.0,2911.0,"Wednesday, 03 September 2025",2025-09-03,6,2.0,2.0,1.0,Apartment / Unit / Flat,804/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17744834,,16,0,1,False,Apartment,Apartment / Unit / Flat,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Gym, Built in wardrobes, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Secure Parking",https://www.domain.com.au/804-139-boundary-road-north-melbourne-vic-3051-17744834
17744835,NORTH MELBOURNE,3051,700.0,3041.0,"Wednesday, 03 September 2025",2025-09-03,6,2.0,2.0,1.0,Apartment / Unit / Flat,702/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17744835,,25,0,1,False,Apartment,Apartment / Unit / Flat,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Gym, Built in wardrobes, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Secure Parking",https://www.domain.com.au/702-139-boundary-road-north-melbourne-vic-3051-17744835
17745203,NORTH MELBOURNE,3051,680.0,2954.0,"Wednesday, 03 September 2025",2025-09-03,6,2.0,2.0,1.0,Apartment / Unit / Flat,901/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17745203,,27,0,1,False,Apartment,Apartment / Unit / Flat,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Gym, Built in wardrobes, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Secure Parking",https://www.domain.com.au/901-139-boundary-road-north-melbourne-vic-3051-17745203
17746854,NORTH MELBOURNE,3051,950.0,5078.0,"Friday, 12 September 2025",2025-09-04,5,3.0,2.0,,House,154 Capel Street,-37.804443,144.95566,2025-09-09 16:59:16,17746854,,8,0,0,False,House,House,Jellis Craig Fitzroy,3709,"Jayde Cashion, Jellis Craig Inner North","Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards, Laundry",https://www.domain.com.au/154-capel-street-north-melbourne-vic-3051-17746854
17750406,NORTH MELBOURNE,3051,400.0,1738.0,"Tuesday, 30 September 2025",2025-09-07,1,1.0,1.0,,Studio,101/188 Peel St,-37.80323,144.95677,2025-09-09 16:59:16,17750406,,7,0,0,False,Apartment,Studio,For Sale By Owner,20095,For Rent (VIC),"Furnished, Heating",https://www.domain.com.au/101-188-peel-st-north-melbourne-vic-3051-17750406
17751904,NORTH MELBOURNE,3051,685.0,2976.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,820/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17751904,,14,0,1,True,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/820-139-boundary-road-north-melbourne-vic-3051-17751904
17751962,NORTH MELBOURNE,3051,670.0,2911.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,618/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17751962,,15,0,0,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/618-139-boundary-road-north-melbourne-vic-3051-17751962
17752113,NORTH MELBOURNE,3051,675.0,2933.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,717/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752113,,15,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/717-139-boundary-road-north-melbourne-vic-3051-17752113
17752152,NORTH MELBOURNE,3051,690.0,2998.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,816/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752152,,14,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/816-139-boundary-road-north-melbourne-vic-3051-17752152
17752180,NORTH MELBOURNE,3051,675.0,2933.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,715/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752180,,14,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/715-139-boundary-road-north-melbourne-vic-3051-17752180
17752198,NORTH MELBOURNE,3051,680.0,2955.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,714/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752198,,15,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/714-139-boundary-road-north-melbourne-vic-3051-17752198
17752250,NORTH MELBOURNE,3051,675.0,2933.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,708/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752250,,13,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Sabrina El-Hares,Pets Allowed,https://www.domain.com.au/708-139-boundary-road-north-melbourne-vic-3051-17752250
17752306,NORTH MELBOURNE,3051,895.0,3800.0,"Tuesday, 09 September 2025",2025-09-08,0,2.0,2.0,1.0,Apartment / Unit / Flat,1109/139 Boundary Road,-37.790173,144.93962,2025-09-09 16:59:16,17752306,,30,0,1,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Balcony/Patio/Terrace, Built in wardrobes, Ensuite, Heating, Lift, Modern Bathroom, Modern Kitchen, Floorboards, BBQ, Entertainment Area, Gym, Pets Allowed, Intercom, Swipe Card, Close to Parklands, Close to schools, Close to shops, Close to transport, Views, Prestige Property, Non Smoking, Internal Laundry, Storage Area, Newly Built Property, Remote Garage, Broadband, Dishwasher, Balcony, Secure Parking, Living Area",https://www.domain.com.au/1109-139-boundary-road-north-melbourne-vic-3051-17752306
