listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17068659,NORTHCOTE,3070,625.0,2759.0,"Wednesday, 24 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,63/26-36 High Street,-37.78242,144.99686,2025-09-09 17:14:43,17068659,ST-4047-SD,20,0,1,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,William Postlethwaite,"Internal Laundry, Bath, Intercom, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Pets Allowed",https://www.domain.com.au/63-26-36-high-street-northcote-vic-3070-17068659
17306473,NORTHCOTE,3070,495.0,1980.0,"Monday, 18 November 2024",2024-11-15,297,1,1,,Studio,21 Zoe Circuit,-37.76776,144.98488,2025-09-09 17:14:43,17306473,,9,0,0,False,Apartment,Studio,The Hopkins Group,17841,Nadine Cotsaris,"Air conditioning, Close to transport, Close to shops, Close to schools, Furnished",https://www.domain.com.au/21-zoe-circuit-northcote-vic-3070-17306473
17616605,NORTHCOTE,3070,1450.0,7751.0,"Wednesday, 23 July 2025",2025-07-08,63,3,2,4.0,House,212 Beavers Road,-37.765064,144.98535,2025-09-09 17:14:43,17616605,,24,1,1,False,House,House,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Spiro Kardamitsis","Alarm System, Balcony / Deck, Dishwasher, Floorboards, Heating, Reverse Cycle Air Con, Remote Garage, Secure Parking",https://www.domain.com.au/212-beavers-road-northcote-vic-3070-17616605
17718789,NORTHCOTE,3070,550.0,2390.0,"Wednesday, 17 September 2025",2025-08-18,22,2,1,1.0,Apartment / Unit / Flat,5A/168 Victoria Road,-37.770226,145.01175,2025-09-09 17:14:43,17718789,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Jellis Craig Inner North","Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Secure Parking, Laundry, Open Plan Living, Storage Cage",https://www.domain.com.au/5a-168-victoria-road-northcote-vic-3070-17718789
17719935,NORTHCOTE,3070,1400.0,9125.0,"Friday, 12 September 2025",2025-08-18,22,4,2,3.0,House,29 Union St,-37.77841,144.99193,2025-09-09 17:14:43,17719935,,18,0,1,True,House,House, Jellis Craig Stonnington,5489,Alice Cardamone,"Built in wardrobes, Dishwasher",https://www.domain.com.au/29-union-st-northcote-vic-3070-17719935
17725986,NORTHCOTE,3070,1295.0,5627.0,"Monday, 15 September 2025",2025-08-21,19,3,1,2.0,House,170 Darebin Road,-37.76481,145.01193,2025-09-09 17:14:43,17725986,,12,0,0,False,House,House,RT Edgar - Northside,32225,Lily Passarelli,"Gas, Secure Parking, Fireplace(s), Dishwasher",https://www.domain.com.au/170-darebin-road-northcote-vic-3070-17725986
17743315,NORTHCOTE,3070,850.0,3694.0,"Tuesday, 02 September 2025",2025-09-02,7,3,1,1.0,House,64 Clarke Street,-37.776073,144.99185,2025-09-09 17:14:43,17743315,,11,0,0,False,House,House,Jellis Craig Northcote,15667,Alicia Cannizzaro,"Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage, Secure Parking, Laundry, Open Plan Living",https://www.domain.com.au/64-clarke-street-northcote-vic-3070-17743315
17744647,NORTHCOTE,3070,720.0,3129.0,"Tuesday, 09 September 2025",2025-09-03,6,2,1,,House,57 Bent Street,-37.767216,144.99475,2025-09-09 17:14:43,17744647,,6,0,0,False,House,House,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Jellis Craig Inner North","Split System Air Con, Split System Heating, Floorboards, Shed",https://www.domain.com.au/57-bent-street-northcote-vic-3070-17744647
17744888,NORTHCOTE,3070,950.0,4128.0,"Wednesday, 10 September 2025",2025-09-03,6,3,1,,House,7 Derby Street,-37.775623,145.00426,2025-09-09 17:14:43,17744888,,15,0,0,False,House,House,Nelson Alexander Northcote,4721,"Kylie Conning, Yana Colosimo","Internal Laundry, Bath, Fully fenced, Air conditioning, Ducted Heating, Gas",https://www.domain.com.au/7-derby-street-northcote-vic-3070-17744888
17745829,NORTHCOTE,3070,450.0,1955.0,"Wednesday, 03 September 2025",2025-09-03,6,1,1,1.0,Apartment / Unit / Flat,5/204 Clarke Street,-37.776978,144.99953,2025-09-09 17:14:43,17745829,,6,0,0,False,Apartment,Apartment / Unit / Flat,Harrington Earl Estate Agents,3558,"Lachlan Earl, Callum Green",Bath,https://www.domain.com.au/5-204-clarke-street-northcote-vic-3070-17745829
