listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17151512,NUNAWADING,3131,630,2738,"Friday, 12 September 2025",2025-08-05,35,3,1,2.0,House,10 Tasman Avenue,-37.80674,145.17377,2025-09-09 16:21:37,17151512,YQ-2390-HC,7,0,0,False,House,House,Ray White Blackburn,4665,Narelle Poloso,Heating,https://www.domain.com.au/10-tasman-avenue-nunawading-vic-3131-17151512
17668446,NUNAWADING,3131,550,2390,"Wednesday, 23 July 2025",2025-07-15,56,2,1,1.0,Apartment / Unit / Flat,7/51 Mcculloch Street,-37.816742,145.18074,2025-09-09 16:21:37,17668446,,9,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,Rhiannon Fuller,"Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher, Gas Heating, Split System Air Conditioning",https://www.domain.com.au/7-51-mcculloch-street-nunawading-vic-3131-17668446
17686768,NUNAWADING,3131,500,2173,"Monday, 18 August 2025",2025-07-25,45,2,1,1.0,House,25/35-47 Burnt Street,-37.81706,145.17494,2025-09-09 16:21:37,17686768,,6,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Rob Ryan","Built in wardrobes, Gas, Internal Laundry, Bath, Heating",https://www.domain.com.au/25-35-47-burnt-street-nunawading-vic-3131-17686768
17698379,NUNAWADING,3131,860,3737,"Tuesday, 19 August 2025",2025-08-04,36,4,2,2.0,Townhouse,1/19 Luckie Street,-37.81551,145.1721,2025-09-09 16:21:37,17698379,,18,0,1,True,Townhouse/Villa,Townhouse,Megadu Real Estate,22440,Kevin Du,"Gas, Study, Courtyard, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Built in wardrobes, Dishwasher, Floorboards, Ducted Heating, Evaporative Cooling, Greywater system, Water Tank, Ensuite",https://www.domain.com.au/1-19-luckie-street-nunawading-vic-3131-17698379
17714177,NUNAWADING,3131,550,2390,"Wednesday, 20 August 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,8/19 Burnt Street,-37.816425,145.17274,2025-09-09 16:21:37,17714177,,8,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,Rhiannon Fuller,"Gas, Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/8-19-burnt-street-nunawading-vic-3131-17714177
17714784,NUNAWADING,3131,795,3455,"Thursday, 28 August 2025",2025-08-14,26,3,2,3.0,Townhouse,3/2 Erskine Street,-37.825806,145.17932,2025-09-09 16:21:37,17714784,,8,0,0,False,Townhouse/Villa,Townhouse,Hudson Bond,15409,Hudson Bond Rentals,"Gas, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Openable Windows, Toilet Facilities, Study",https://www.domain.com.au/3-2-erskine-street-nunawading-vic-3131-17714784
17726072,NUNAWADING,3131,620,2694,"Friday, 03 October 2025",2025-08-21,19,3,1,1.0,House,26 Diosma Crescent,-37.82909,145.18193,2025-09-09 16:21:37,17726072,,7,0,0,False,House,House,McGrath Blackburn,12105,Patricia Dangerfield,"Internal Laundry, Pets Allowed, Heating, Study, Built in wardrobes, Close to transport, Close to shops, Close to schools, Floorboards",https://www.domain.com.au/26-diosma-crescent-nunawading-vic-3131-17726072
17729103,NUNAWADING,3131,780,3390,"Thursday, 25 September 2025",2025-08-24,15,3,2,2.0,Townhouse,2/19 Luckie Street,-37.815323,145.1722,2025-09-09 16:21:37,17729103,,14,0,1,False,Townhouse/Villa,Townhouse,Megadu Real Estate,22440,Kevin Du,"Courtyard, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Built in wardrobes, Dishwasher, Floorboards, Ducted Heating, Evaporative Cooling, Greywater system, Water Tank, Ensuite",https://www.domain.com.au/2-19-luckie-street-nunawading-vic-3131-17729103
17732683,NUNAWADING,3131,820,3563,"Friday, 05 September 2025",2025-08-26,14,4,3,1.0,Townhouse,15 Oleanda Crescent,-37.829876,145.18237,2025-09-09 16:21:37,17732683,,10,0,0,False,Townhouse/Villa,Townhouse,McGrath Blackburn,12105,Amy Blackburn,"Gas, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Security System, Dishwasher",https://www.domain.com.au/15-oleanda-crescent-nunawading-vic-3131-17732683
17741045,NUNAWADING,3131,500,2172,"Thursday, 11 September 2025",2025-09-01,8,2,1,,House,32/35-47 Burnt Street,-37.817074,145.17485,2025-09-09 16:21:37,17741045,,5,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Rob Ryan","Built in wardrobes, Gas, Internal Laundry, Bath",https://www.domain.com.au/32-35-47-burnt-street-nunawading-vic-3131-17741045
17741183,NUNAWADING,3131,580,2520,"Sunday, 28 September 2025",2025-09-01,8,3,1,2.0,House,231 Springvale Road,-37.824806,145.17523,2025-09-09 16:21:37,17741183,,5,0,0,False,House,House,Barry Plant Manningham,7015,"Freya Semera, Kristi Gilcrist","Built in wardrobes, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/231-springvale-road-nunawading-vic-3131-17741183
17743317,NUNAWADING,3131,660,2868,"Friday, 12 September 2025",2025-09-02,7,3,2,2.0,Villa,2/48 Shady Grove,-37.829235,145.17647,2025-09-09 16:21:37,17743317,,15,0,1,False,Townhouse/Villa,Villa,Jellis Craig Whitehorse,20157,"James Vella, Katrina George","Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Remote Garage, Secure Parking",https://www.domain.com.au/2-48-shady-grove-nunawading-vic-3131-17743317
