listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13954330,OAK PARK,3046,450,1955,"Friday, 15 August 2025",2025-07-17,54,3,1,3.0,House,6 Flannery Court,-37.71517,144.90671,2025-09-09 16:31:03,13954330,WD-8633-UV,17,1,0,False,House,House,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Air conditioning, Internal Laundry, Bath, Heating",https://www.domain.com.au/6-flannery-court-oak-park-vic-3046-13954330
14540432,OAK PARK,3046,950,4127,"Wednesday, 10 September 2025",2025-08-18,22,4,3,2.0,House,1/2A Marie St,-37.71873,144.91779,2025-09-09 16:31:03,14540432,TY-2898-TR,14,0,1,False,House,House,Bricks and Mortar RE,31967,Warrick Vanderbilt,"Internal Laundry, Study, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Ducted Air Conditioning, Outdoor Entertainment Area, Deck, Remote Garage, Secure Parking, Water Tank, Pets Allowed",https://www.domain.com.au/1-2a-marie-st-oak-park-vic-3046-14540432
15114431,OAK PARK,3046,630,2738,"Tuesday, 09 September 2025",2025-08-07,33,2,2,1.0,Townhouse,1/652 Pascoe Vale Road,-37.717327,144.91983,2025-09-09 16:31:03,15114431,KQ-6880-MD,10,0,0,True,Townhouse/Villa,Townhouse,C + M Residential,28112,"Anthony Zeolla, Eric Petrucci","Built in wardrobes, Gas, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-652-pascoe-vale-road-oak-park-vic-3046-15114431
15376174,OAK PARK,3046,495,2151,"Friday, 05 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,1/172 Waterloo Road,-37.71867,144.9222,2025-09-09 16:31:03,15376174,QY-4110-PY,10,0,0,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,William Postlethwaite,"Internal Laundry, Floorboards, Built in wardrobes, Gas Appliances, Split System Heating, Split System Air Conditioning, Courtyard, Secure Parking",https://www.domain.com.au/1-172-waterloo-road-oak-park-vic-3046-15376174
17535445,OAK PARK,3046,400,1738,"Thursday, 17 April 2025",2025-09-02,7,1,1,,Apartment / Unit / Flat,1/55 New Road,-37.713734,144.90808,2025-09-09 16:31:03,17535445,,9,0,0,False,Apartment,Apartment / Unit / Flat,L&M Property Co,36956,Nicky Karaman,Built in wardrobes,https://www.domain.com.au/1-55-new-road-oak-park-vic-3046-17535445
17677526,OAK PARK,3046,540,2346,"Friday, 25 July 2025",2025-07-21,50,2,2,1.0,Apartment / Unit / Flat,116/2 Bailey Cres,-37.720703,144.92204,2025-09-09 16:31:03,17677526,,5,1,0,False,Apartment,Apartment / Unit / Flat,Harris Property - Melbourne,33769,"Julia Scardamaglia, Mitch Talbot",,https://www.domain.com.au/116-2-bailey-cres-oak-park-vic-3046-17677526
17710743,OAK PARK,3046,630,2737,"Thursday, 18 September 2025",2025-08-12,28,3,3,2.0,Townhouse,35D Snell Grove,-37.717384,144.9245,2025-09-09 16:31:03,17710743,,7,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Essendon,4722,Chelsea Barber,"Gas, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/35d-snell-grove-oak-park-vic-3046-17710743
17713715,OAK PARK,3046,590,2563,"Wednesday, 13 August 2025",2025-08-13,27,3,1,1.0,Townhouse,2A Harra Court,-37.719494,144.92818,2025-09-09 16:31:03,17713715,,6,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Pascoe Vale,5894,Katia Materazzo,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2a-harra-court-oak-park-vic-3046-17713715
17715423,OAK PARK,3046,530,2303,"Thursday, 14 August 2025",2025-08-14,26,2,2,1.0,Apartment / Unit / Flat,116/2 Bailey Crescent,-37.720703,144.92204,2025-09-09 16:31:03,17715423,,5,0,0,False,Apartment,Apartment / Unit / Flat,Dons Premier Estate Agents,36898,"Jessica Gale, Lushan Dons","Built in wardrobes, Bedrooms, Bathrooms, Secure Parking",https://www.domain.com.au/116-2-bailey-crescent-oak-park-vic-3046-17715423
17721887,OAK PARK,3046,480,2086,"Tuesday, 19 August 2025",2025-08-19,21,2,1,1.0,Apartment / Unit / Flat,3/4 Ethel Street,-37.723232,144.91702,2025-09-09 16:31:03,17721887,,7,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Glenroy,11897,Samjhana Kafle,"Built in wardrobes, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/3-4-ethel-street-oak-park-vic-3046-17721887
