listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15395774,OAKLEIGH,3166,630,2737,"Thursday, 11 September 2025",2025-08-05,34,3,1,4,House,13 Davey Avenue,-37.90262,145.08818,2025-09-09 16:34:59,15395774,RE-2548-ZO,8,0,0,False,House,House,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/13-davey-avenue-oakleigh-vic-3166-15395774
16999132,OAKLEIGH,3166,840,3650,"Friday, 22 August 2025",2025-08-12,28,3,2,2,Townhouse,2/7 Holland Court,-37.900726,145.09685,2025-09-09 16:34:59,16999132,EB-8971-QI,13,1,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"Matthew Swinnerton, Tom Fulop","Air conditioning, Floorboards, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/2-7-holland-court-oakleigh-vic-3166-16999132
17667955,OAKLEIGH,3166,1000,4345,"Monday, 14 July 2025",2025-07-14,56,4,2,2,House,3 Taylor Street,-37.895447,145.09128,2025-09-09 16:34:59,17667955,,15,0,1,True,House,House,Woodards Oakleigh,3330,Morgan Young,"Gas, Heating, Dishwasher",https://www.domain.com.au/3-taylor-street-oakleigh-vic-3166-17667955
17707767,OAKLEIGH,3166,770,3346,"Monday, 01 September 2025",2025-08-08,32,3,2,2,Townhouse,3/16 Grant Street,-37.898136,145.09862,2025-09-09 16:34:59,17707767,,12,0,0,False,Townhouse/Villa,Townhouse,Buxton Oakleigh,18667,George Bezas,"Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Pets Allowed, Remote Garage, Shed, Ensuite",https://www.domain.com.au/3-16-grant-street-oakleigh-vic-3166-17707767
17710548,OAKLEIGH,3166,620,2694,"Wednesday, 10 September 2025",2025-08-11,28,4,2,1,House,1235 North Road,-37.910667,145.09808,2025-09-09 16:34:59,17710548,,14,0,0,False,House,House,Thomas Wong Real Estate,18749,Thomas Wong,"Bath, Study, Courtyard, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Ducted Heating",https://www.domain.com.au/1235-north-road-oakleigh-vic-3166-17710548
17715889,OAKLEIGH,3166,530,2303,"Tuesday, 19 August 2025",2025-08-14,26,2,1,1,Apartment / Unit / Flat,11/103 Atherton Road,-37.899284,145.09502,2025-09-09 16:34:59,17715889,,8,0,1,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate ,31428,"Jane Chen, Stuart Fernandes","Gas, Internal Laundry, Heating, Dishwasher, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, Car Parking - Basement, Carpeted",https://www.domain.com.au/11-103-atherton-road-oakleigh-vic-3166-17715889
17726211,OAKLEIGH,3166,650,2824,"Thursday, 21 August 2025",2025-08-21,19,2,1,1,Apartment / Unit / Flat,3/63 Golf Links Avenue,-37.909344,145.08994,2025-09-09 16:34:59,17726211,,8,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Carnegie,6430,Carnegie Leasing,"Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/3-63-golf-links-avenue-oakleigh-vic-3166-17726211
17736002,OAKLEIGH,3166,580,2520,"Tuesday, 09 September 2025",2025-08-28,12,2,1,1,Apartment / Unit / Flat,2/167 Atherton Road,-37.900246,145.10216,2025-09-09 16:34:59,17736002,,10,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Oakleigh,12122,"Matthew Swinnerton, Toni Antoniou","Air conditioning, Built in wardrobes",https://www.domain.com.au/2-167-atherton-road-oakleigh-vic-3166-17736002
17738885,OAKLEIGH,3166,650,2824,"Friday, 26 September 2025",2025-08-29,11,4,2,2,House,11 William Street,-37.90178,145.103,2025-09-09 16:34:59,17738885,,7,0,0,False,House,House,Jellis Craig Mount Waverley ,17805,"Jayden Hong, Andrea How","Internal Laundry, Ducted Heating, Evaporative Cooling, Built in wardrobes, Ensuite",https://www.domain.com.au/11-william-street-oakleigh-vic-3166-17738885
17742465,OAKLEIGH,3166,700,3041,"Tuesday, 23 September 2025",2025-09-02,7,2,2,1,Apartment / Unit / Flat,406/6 Dalgety Street,-37.89198,145.08952,2025-09-09 16:34:59,17742465,,10,0,0,False,Apartment,Apartment / Unit / Flat,Professionals First & Co,29341,"Jing Chong, William Zhao","Air conditioning, Internal Laundry, Secure Parking, Furnished, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/406-6-dalgety-street-oakleigh-vic-3166-17742465
17750740,OAKLEIGH,3166,510,2216,"Monday, 29 September 2025",2025-09-08,1,1,1,1,Apartment / Unit / Flat,501/19-21 Hanover Street,-37.900845,145.09174,2025-09-09 16:34:59,17750740,,9,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Oakleigh,18667,Emily Katiforis,"Split System Air Con, Split System Heating, Balcony / Deck, Intercom, Built in wardrobes, Dishwasher",https://www.domain.com.au/501-19-21-hanover-street-oakleigh-vic-3166-17750740
17751038,OAKLEIGH,3166,520,2260,"Saturday, 13 September 2025",2025-09-08,1,2,1,1,Apartment / Unit / Flat,2/3 Albert Avenue,-37.8975,145.09402,2025-09-09 16:34:59,17751038,,15,0,1,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate ,31428,"Sarah Haire, Stuart Fernandes","Gas, Internal Laundry, Bath, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Carpeted, Exhaust, Openable Windows, Window Treatments",https://www.domain.com.au/2-3-albert-avenue-oakleigh-vic-3166-17751038
