listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13660322,OAKLEIGH EAST,3166,290,,"Friday, 18 October 2019",2019-10-18,2153,1,1,,Townhouse,7 White Street,-37.91193,145.1197,2025-09-09 16:37:30,13660322,IV-7824-XL,7,0,0,False,Townhouse/Villa,Townhouse,Student Housing Australia,11870,Varsha Jones,"Ducted Heating, Built in wardrobes, Furnished",https://www.domain.com.au/7-white-street-oakleigh-east-vic-3166-13660322
16429580,OAKLEIGH EAST,3166,660,2868.0,"Wednesday, 10 September 2025",2025-09-01,7,3,1,1.0,House,1719 Dandenong Rd,-37.90083,145.1064,2025-09-09 16:37:30,16429580,GU-5851-FR,6,0,0,False,House,House,Ray White Oakleigh,12122,"Matthew Swinnerton, Cecily Qiao",,https://www.domain.com.au/1719-dandenong-rd-oakleigh-east-vic-3166-16429580
16432966,OAKLEIGH EAST,3166,800,3476.0,"Monday, 11 August 2025",2025-08-08,32,3,2,2.0,House,10 Claudel Street,-37.910416,145.114,2025-09-09 16:37:30,16432966,QU-2953-HM,9,0,1,False,House,House,Ease Real Estate,34569,Ease Real Estate,"Built in wardrobes, Gas Appliances, Outdoor Entertainment Area, Deck",https://www.domain.com.au/10-claudel-street-oakleigh-east-vic-3166-16432966
16669640,OAKLEIGH EAST,3166,650,2824.0,"Thursday, 04 September 2025",2025-09-03,6,3,2,2.0,House,54 Ferntree Gully Road,-37.897224,145.10529,2025-09-09 16:37:30,16669640,KT-0126-RW,11,0,1,False,House,House,Ray White Oakleigh,12122,"David Hua, Joel Wan","Floorboards, Built in wardrobes, Internal Laundry, Bath, Fireplace(s), Separate Dining Room, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/54-ferntree-gully-road-oakleigh-east-vic-3166-16669640
16764703,OAKLEIGH EAST,3166,850,3693.0,"Tuesday, 26 August 2025",2025-08-06,34,4,2,1.0,House,36 Lerina Street,-37.912556,145.1153,2025-09-09 16:37:30,16764703,KK-3963-MC,5,0,1,False,House,House,Professionals First & Co,29341,"Kay Wang, Jing Chong","Internal Laundry, Secure Parking, Shed",https://www.domain.com.au/36-lerina-street-oakleigh-east-vic-3166-16764703
17439962,OAKLEIGH EAST,3166,650,2824.0,"Tuesday, 28 October 2025",2025-09-05,4,3,2,1.0,House,26 Calista Avenue,-37.904076,145.12271,2025-09-09 16:37:30,17439962,HA-0289-AR,11,0,0,False,House,House,Auspacific Box Hill Pty Ltd,37357,Grace Lu,Furnished,https://www.domain.com.au/26-calista-avenue-oakleigh-east-vic-3166-17439962
17582428,OAKLEIGH EAST,3166,575,2499.0,"Monday, 30 June 2025",2025-05-20,112,3,1,1.0,House,168 Huntingdale Road,-37.89759,145.1063,2025-09-09 16:37:30,17582428,LL-3704-VR,8,0,1,False,House,House,Woodards Oakleigh,3330,Rob Stait,"Internal Laundry, Secure Parking, Fireplace(s), Heating",https://www.domain.com.au/168-huntingdale-road-oakleigh-east-vic-3166-17582428
17676793,OAKLEIGH EAST,3166,1295,5627.0,"Monday, 21 July 2025",2025-07-21,50,4,3,2.0,Townhouse,13B Mortimer Street,-37.903625,145.10692,2025-09-09 16:37:30,17676793,,25,0,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"Matthew Swinnerton, Revekka Palivos","Air conditioning, Ensuite, Floorboards, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/13b-mortimer-street-oakleigh-east-vic-3166-17676793
17681462,OAKLEIGH EAST,3166,600,2607.0,"Monday, 08 September 2025",2025-07-23,48,4,1,2.0,House,8 Dover Street,-37.908722,145.12196,2025-09-09 16:37:30,17681462,,14,0,1,True,House,House,MCGRATH BOX HILL,12106,Scarlett Huang,,https://www.domain.com.au/8-dover-street-oakleigh-east-vic-3166-17681462
17714529,OAKLEIGH EAST,3166,650,2824.0,"Friday, 15 August 2025",2025-08-13,26,2,2,1.0,House,102&204/1801 Dandenong Road,-37.90506,145.11327,2025-09-09 16:37:30,17714529,,30,0,0,False,House,House,Ray White (Judd White Group),17402,"Lida Khem, Theary James","Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Heating, Secure Parking",https://www.domain.com.au/102-204-1801-dandenong-road-oakleigh-east-vic-3166-17714529
17714530,OAKLEIGH EAST,3166,750,3259.0,"Friday, 15 August 2025",2025-08-13,26,3,2,2.0,House,G01/1801 Dandenong Road,-37.90506,145.11327,2025-09-09 16:37:30,17714530,,30,0,0,False,House,House,Ray White (Judd White Group),17402,"Lida Khem, Theary James","Broadband internet access, Balcony / Deck, Air conditioning, Floorboards, Intercom, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/g01-1801-dandenong-road-oakleigh-east-vic-3166-17714530
17716728,OAKLEIGH EAST,3166,880,3823.0,"Thursday, 14 August 2025",2025-08-15,25,4,3,1.0,House,7B Alfred Grove,-37.91077,145.11702,2025-09-09 16:37:30,17716728,,12,0,0,False,House,House,Docking Real Estate,12356,Chris Sung,"Air conditioning, Gas, Internal Laundry, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/7b-alfred-grove-oakleigh-east-vic-3166-17716728
17729787,OAKLEIGH EAST,3166,680,2955.0,"Monday, 25 August 2025",2025-08-25,15,3,1,3.0,House,63 Garnett Street,-37.90588,145.11217,2025-09-09 16:37:30,17729787,,14,1,0,False,House,House,Ray White Oakleigh,12122,"David Hua, Penny Costa","Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Separate Dining Room, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/63-garnett-street-oakleigh-east-vic-3166-17729787
17732093,OAKLEIGH EAST,3166,835,3628.0,"Tuesday, 02 September 2025",2025-08-26,14,4,2,2.0,Townhouse,2/10 Raymond Court,-37.8916,145.10388,2025-09-09 16:37:30,17732093,,8,1,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"David Hua, Vanessa De Gregorio","Air conditioning, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/2-10-raymond-court-oakleigh-east-vic-3166-17732093
17734299,OAKLEIGH EAST,3166,480,2085.0,"Wednesday, 01 October 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,6/1761 Dandenong Road,-37.902653,145.10956,2025-09-09 16:37:30,17734299,,8,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Oakleigh,18667,Emily Katiforis,"Split System Air Con, Split System Heating, Floorboards, Built in wardrobes",https://www.domain.com.au/6-1761-dandenong-road-oakleigh-east-vic-3166-17734299
17739224,OAKLEIGH EAST,3166,540,2347.0,"Friday, 12 September 2025",2025-08-29,10,2,1,1.0,House,75A Patrick Street,-37.90759,145.12033,2025-09-09 16:37:30,17739224,,9,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Suri Phak-Uthai","Built in wardrobes, Gas, Internal Laundry, Bath, Heating",https://www.domain.com.au/75a-patrick-street-oakleigh-east-vic-3166-17739224
17739929,OAKLEIGH EAST,3166,680,2955.0,"Monday, 15 September 2025",2025-09-01,8,3,2,2.0,Apartment / Unit / Flat,1/1805 Dandenong Road,-37.905506,145.1138,2025-09-09 16:37:30,17739929,,7,0,0,False,Apartment,Apartment / Unit / Flat,T. G. Newton,11574,Tamara Matecic,"Gas, Internal Laundry, Secure Parking, Heating, Shed, Balcony / Deck, Ensuite",https://www.domain.com.au/1-1805-dandenong-road-oakleigh-east-vic-3166-17739929
17743590,OAKLEIGH EAST,3166,350,1521.0,"Thursday, 11 September 2025",2025-09-02,7,1,1,,Apartment / Unit / Flat,121 Clayton Road,-37.90891,145.12257,2025-09-09 16:37:30,17743590,,8,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Sho Hai Mai, Pisey Kim","Gas, Internal Laundry, Secure Parking, Dishwasher, Close to transport, Close to shops, Close to schools, Furnished",https://www.domain.com.au/121-clayton-road-oakleigh-east-vic-3166-17743590
17747099,OAKLEIGH EAST,3166,720,3129.0,"Thursday, 04 September 2025",2025-09-04,5,4,1,1.0,Apartment / Unit / Flat,1/1849 Dandenong Road,-37.908398,145.11852,2025-09-09 16:37:30,17747099,,5,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Clayton,29763,"Kelly Min, Pisey Kim","Built in wardrobes, Gas, Bath, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/1-1849-dandenong-road-oakleigh-east-vic-3166-17747099
17751586,OAKLEIGH EAST,3166,660,2868.0,"Friday, 03 October 2025",2025-09-08,1,3,1,2.0,House,45 Clayton Road,-37.902687,145.12361,2025-09-09 16:37:30,17751586,,11,0,0,False,House,House,Buxton Oakleigh,18667,George Bezas,"Dishwasher, Evaporative Cooling, Built in wardrobes",https://www.domain.com.au/45-clayton-road-oakleigh-east-vic-3166-17751586
