listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14926060,OAKLEIGH SOUTH,3167,500.0,2173,"Friday, 08 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,3/224 Warrigal Road,-37.911457,145.08513,2025-09-09 16:40:30,14926060,WK-8961-CE,6,0,0,False,Apartment,Apartment / Unit / Flat,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/3-224-warrigal-road-oakleigh-south-vic-3167-14926060
16379699,OAKLEIGH SOUTH,3167,,3694,,2023-03-18,905,3,2,2.0,Townhouse,16 Amara Circuit,-37.921825,145.10641,2025-09-09 16:40:30,16379699,SE-4641-ZQ,12,0,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,Jeana Chen,,https://www.domain.com.au/16-amara-circuit-oakleigh-south-vic-3167-16379699
16501841,OAKLEIGH SOUTH,3167,835.0,3628,"Tuesday, 26 August 2025",2025-08-19,20,4,3,2.0,Townhouse,3/200 Haughton Road,-37.913425,145.10405,2025-09-09 16:40:30,16501841,QF-2227-ZG,10,0,1,False,Townhouse/Villa,Townhouse,Xynergy Realty Oakleigh,26633,Parker Wang,"Floorboards, Built in wardrobes, Dishwasher, Broadband, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Outdoor Entertainment Area, Courtyard, Remote Garage, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/3-200-haughton-road-oakleigh-south-vic-3167-16501841
16647312,OAKLEIGH SOUTH,3167,660.0,2868,"Friday, 12 September 2025",2025-09-05,4,3,1,2.0,House,20 Acacia Avenue,-37.91338,145.09642,2025-09-09 16:40:30,16647312,XR-8357-TD,15,0,1,False,House,House,Ray White Oakleigh,12122,"David Hua, David Xu","Air conditioning, Built in wardrobes, Study, Fully fenced, Garden / Courtyard",https://www.domain.com.au/20-acacia-avenue-oakleigh-south-vic-3167-16647312
17685616,OAKLEIGH SOUTH,3167,605.0,2629,"Friday, 18 July 2025",2025-07-25,46,3,1,2.0,House,1/9 Scotsburn Avenue,-37.92072,145.10849,2025-09-09 16:40:30,17685616,,5,0,0,False,House,House,Century 21 Wilson Pride,16761,Justin Wright,"Secure Parking, Heating",https://www.domain.com.au/1-9-scotsburn-avenue-oakleigh-south-vic-3167-17685616
17691712,OAKLEIGH SOUTH,3167,570.0,2470,"Thursday, 07 August 2025",2025-07-30,41,3,1,1.0,Apartment / Unit / Flat,11/2-18 Bourke Road,-37.940155,145.09213,2025-09-09 16:40:30,17691712,,7,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Chaya Varsani,"Built in wardrobes, Pets Allowed, Heating, Shed, Car Accom: Single Carport, Pool/Spa Count: 0",https://www.domain.com.au/11-2-18-bourke-road-oakleigh-south-vic-3167-17691712
17712424,OAKLEIGH SOUTH,3167,800.0,2694,"Wednesday, 27 August 2025",2025-08-12,27,2,2,1.0,Apartment / Unit / Flat,202/1215A Centre Road,-37.92622,145.10155,2025-09-09 16:40:30,17712424,,7,0,0,False,Apartment,Apartment / Unit / Flat,Zed Real Estate,30678,Dean Ghausi,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/202-1215a-centre-road-oakleigh-south-vic-3167-17712424
17712981,OAKLEIGH SOUTH,3167,900.0,3911,"Thursday, 04 September 2025",2025-08-13,27,4,3,2.0,Townhouse,9 Amara Circuit,-37.921795,145.10696,2025-09-09 16:40:30,17712981,,13,1,1,False,Townhouse/Villa,Townhouse,Changing Places Real Estate Consultants,6050,Vanessa Fisher,"Bath, Heating, Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry, Rainwater storage tank",https://www.domain.com.au/9-amara-circuit-oakleigh-south-vic-3167-17712981
17716719,OAKLEIGH SOUTH,3167,540.0,2346,"Friday, 26 September 2025",2025-08-15,25,2,1,1.0,Apartment / Unit / Flat,2A Sinclair Street,-37.921047,145.10458,2025-09-09 16:40:30,17716719,,6,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Glen Waverley,5378,"Stephanie Petrakis, Athena Leung","Gas, Internal Laundry, Bath, Built in wardrobes, Dishwasher, Ducted Heating, Air conditioning",https://www.domain.com.au/2a-sinclair-street-oakleigh-south-vic-3167-17716719
17730587,OAKLEIGH SOUTH,3167,695.0,3020,"Monday, 15 September 2025",2025-08-25,15,3,1,2.0,House,30 Abercrombie Street,-37.93036,145.08347,2025-09-09 16:40:30,17730587,,8,0,0,False,House,House,ZERVAS AND CO REAL ESTATE AGENTS,20657,"Chris Zervas, Chrissy Savic","Built in wardrobes, Internal Laundry, Heating, Floorboards",https://www.domain.com.au/30-abercrombie-street-oakleigh-south-vic-3167-17730587
