listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15649364,OCEAN GROVE,3226,,2086,"Saturday, 05 February 2022",2022-01-13,1335,2,2,1.0,Townhouse,2/50 Fraser Crescent,-38.2585,144.51654,2025-09-09 16:43:17,15649364,TH-7053-PG,9,0,0,False,Townhouse/Villa,Townhouse,Hayden Real Estate Ocean Grove,8411,Paula Plunkett,"Gas, Internal Laundry, Heating, Balcony / Deck, INSIDE:, Dishwasher, Ensuite(s)",https://www.domain.com.au/2-50-fraser-crescent-ocean-grove-vic-3226-15649364
15725017,OCEAN GROVE,3226,,2346,"Monday, 28 February 2022",2022-02-15,1302,3,2,2.0,House,11 Abalone Court,-38.26199,144.541,2025-09-09 16:43:17,15725017,ZW-1968-VG,9,0,0,False,House,House,Hayden Real Estate Ocean Grove,8411,Paula Plunkett,"Gas, Internal Laundry, Study, INSIDE:, Dishwasher, Bathtub, Ducted Heating, Ensuite(s)",https://www.domain.com.au/11-abalone-court-ocean-grove-vic-3226-15725017
15728971,OCEAN GROVE,3226,,1912,"Saturday, 26 February 2022",2022-02-16,1300,2,1,1.0,Apartment / Unit / Flat,2/4 Karri Close,-38.262997,144.53035,2025-09-09 16:43:17,15728971,HM-8581-UT,7,0,0,False,Apartment,Apartment / Unit / Flat,Hayden Real Estate Ocean Grove,8411,Paula Plunkett,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, INSIDE:, Bathtub, Split System Heating",https://www.domain.com.au/2-4-karri-close-ocean-grove-vic-3226-15728971
16904909,OCEAN GROVE,3226,,2498,"Saturday, 30 March 2024",2024-03-01,557,3,1,2.0,House,10 Platypus Court,-38.25906,144.52649,2025-09-09 16:43:17,16904909,TU-8353-EV,10,0,0,False,House,House,RT Edgar Bellarine Group,12612,"Christine Newell, Simone Robins","Built in wardrobes, Dishwasher",https://www.domain.com.au/10-platypus-court-ocean-grove-vic-3226-16904909
16948103,OCEAN GROVE,3226,,2607,"Wednesday, 30 March 2022",2024-04-02,525,3,2,1.0,House,1/38 Trevally Drive,-38.264755,144.53885,2025-09-09 16:43:17,16948103,CR-5135-NU,11,0,0,False,House,House,RT Edgar Bellarine Group,12612,Christine Newell,"Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-38-trevally-drive-ocean-grove-vic-3226-16948103
17554513,OCEAN GROVE,3226,1900.0,8255,"Friday, 15 August 2025",2025-05-02,130,5,3,2.0,House,3 The Avenue,-38.26319,144.51497,2025-09-09 16:43:17,17554513,DB-9325-HD,16,0,0,False,House,House,Jellis Craig Barwon Heads,36947,Bev Park,"Bath, Shed, Air conditioning, Balcony / Deck, Study, Built in wardrobes, Dishwasher, Ducted Heating, Floorboards, Furnished, Fireplace(s), Outdoor Entertainment Area, Rumpus Room, Garden / Courtyard",https://www.domain.com.au/3-the-avenue-ocean-grove-vic-3226-17554513
17594781,OCEAN GROVE,3226,600.0,2607,"Monday, 08 September 2025",2025-08-08,32,3,2,1.0,House,32 Westleigh Ct,-38.254536,144.54636,2025-09-09 16:43:17,17594781,ZA-7174-KQ,24,0,0,False,House,House,Hodges Bellarine,35123,Tiffany Deglaitis,Secure Parking,https://www.domain.com.au/32-westleigh-ct-ocean-grove-vic-3226-17594781
17647844,OCEAN GROVE,3226,575.0,2499,"Monday, 07 July 2025",2025-07-01,70,3,1,2.0,House,1/5 Arlia Mews,-38.254086,144.55135,2025-09-09 16:43:17,17647844,,15,0,0,False,House,House,Hodges Bellarine,35123,Lauren Burmistrow,"Built in wardrobes, Internal Laundry, Dishwasher",https://www.domain.com.au/1-5-arlia-mews-ocean-grove-vic-3226-17647844
17664901,OCEAN GROVE,3226,530.0,2303,"Monday, 21 July 2025",2025-07-11,60,3,2,2.0,House,158 Aldebaran Rd,-38.26955,144.54169,2025-09-09 16:43:17,17664901,,15,0,0,False,House,House,Hodges Bellarine,35123,Lauren Burmistrow,"Built in wardrobes, Bath, Heating",https://www.domain.com.au/158-aldebaran-rd-ocean-grove-vic-3226-17664901
17701799,OCEAN GROVE,3226,620.0,2694,"Tuesday, 02 September 2025",2025-08-05,35,3,2,2.0,Townhouse,3/6 Markham Drive,-38.24902,144.54831,2025-09-09 16:43:17,17701799,,7,0,0,False,Townhouse/Villa,Townhouse,RT Edgar Bellarine Group,12612,"Simone Robins, Christine Newell, Patricia Drienovska","Gas, Air conditioning, Split System Air Con, Split System Heating, Study, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Fully fenced, Outdoor Entertainment Area, Remote Garage, Reverse Cycle Air Con, Secure Parking",https://www.domain.com.au/3-6-markham-drive-ocean-grove-vic-3226-17701799
