listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15478712,OFFICER,3809,600.0,2607.0,"Wednesday, 08 October 2025",2025-09-09,0,4,2,2.0,House,31 Optima Street,-38.07574,145.42683,2025-09-09 16:46:22,15478712,ZM-9731-WH,10,0,0,False,House,House,Ray White Pakenham & Officer,17285,"Peter Diamantakis, Alison Tunnard","Ensuite, Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/31-optima-street-officer-vic-3809-15478712
15767872,OFFICER,3809,560.0,2433.0,"Thursday, 11 September 2025",2025-09-05,4,3,2,1.0,House,76 Lincoln Avenue,-38.06817,145.38708,2025-09-09 16:46:22,15767872,JN-0686-FA,19,0,0,False,House,House,Stockdale & Leggo Dandenong,4513,Rentals Department,,https://www.domain.com.au/76-lincoln-avenue-officer-vic-3809-15767872
16630835,OFFICER,3809,620.0,2694.0,"Friday, 17 October 2025",2025-09-09,0,4,2,2.0,House,12 Clearfell Street,-38.05671,145.40808,2025-09-09 16:46:22,16630835,YY-2310-RH,12,0,0,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Ensuite, Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/12-clearfell-street-officer-vic-3809-16630835
16817010,OFFICER,3809,530.0,2303.0,"Wednesday, 17 September 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,16B Bridge Road,-38.074326,145.4293,2025-09-09 16:46:22,16817010,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/16b-bridge-road-officer-vic-3809-16817010
16983027,OFFICER,3809,650.0,2824.0,"Tuesday, 07 October 2025",2025-09-09,0,4,2,2.0,House,35 Columbia Drive,-38.05108,145.40578,2025-09-09 16:46:22,16983027,SS-8291-CR,12,0,1,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/35-columbia-drive-officer-vic-3809-16983027
17171763,OFFICER,3809,650.0,2825.0,"Wednesday, 17 September 2025",2025-08-08,32,4,2,2.0,House,11 Putrino Street,-38.065834,145.39969,2025-09-09 16:46:22,17171763,VR-9801-TU,15,0,0,False,House,House,Ray White Cranbourne,18759,Uaina Purcell,"Bath, Heating, Dishwasher, Study",https://www.domain.com.au/11-putrino-street-officer-vic-3809-17171763
17714923,OFFICER,3809,590.0,2564.0,"Monday, 18 August 2025",2025-08-14,26,4,2,2.0,House,16 Sawmiller Street,-38.05666,145.4088,2025-09-09 16:46:22,17714923,,9,0,0,False,House,House,Ray White Oakleigh,12122,"Dylan Reeves, Toni Antoniou","Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/16-sawmiller-street-officer-vic-3809-17714923
17728408,OFFICER,3809,560.0,2434.0,"Friday, 29 August 2025",2025-08-22,18,3,2,2.0,House,42 Everfair Crescent,-38.057747,145.40833,2025-09-09 16:46:22,17728408,,17,0,0,False,House,House,Ray White Cranbourne,18759,"Uaina Purcell, Kevin Cabezas","Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/42-everfair-crescent-officer-vic-3809-17728408
17738222,OFFICER,3809,550.0,2390.0,"Friday, 26 September 2025",2025-08-29,11,3,2,,House,40 Pioneer Way,-38.06124,145.39963,2025-09-09 16:46:22,17738222,,17,0,0,False,House,House,Peake Real Estate,8709,Monique Barkby,"Secure Parking, Balcony / Deck, Built in wardrobes, Ducted Heating, Ensuite, Split System AirCon",https://www.domain.com.au/40-pioneer-way-officer-vic-3809-17738222
17742643,OFFICER,3809,590.0,2564.0,"Wednesday, 03 September 2025",2025-09-02,7,4,2,2.0,House,72 Duncombe Avenue,-38.04948,145.40544,2025-09-09 16:46:22,17742643,,17,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Bridget Daly","Secure Parking, Heating",https://www.domain.com.au/72-duncombe-avenue-officer-vic-3809-17742643
17750944,OFFICER,3809,800.0,,"Friday, 12 September 2025",2025-09-08,1,5,2,2.0,House,21 Lansell Avenue,-38.063374,145.42938,2025-09-09 16:46:22,17750944,,15,0,1,False,House,House,P&G Real Estate,32326,"Stella Rose, Melinda O'Brien","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/21-lansell-avenue-officer-vic-3809-17750944
17751243,OFFICER,3809,530.0,2303.0,"Tuesday, 09 September 2025",2025-09-08,1,3,2,2.0,House,13 Zara Court,-38.0741,145.43336,2025-09-09 16:46:22,17751243,,13,0,1,False,House,House,Image Property South Melbourne,31002,Rebecca Carson,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/13-zara-court-officer-vic-3809-17751243
17751589,OFFICER,3809,585.0,2542.0,"Friday, 24 October 2025",2025-09-08,1,4,2,2.0,House,27 Cranbrook Circuit,-38.073154,145.432,2025-09-09 16:46:22,17751589,,10,0,0,False,House,House,Barry Plant Pakenham - Officer,18278,"Barry Plant South Eastern Group, Jarrod Hutchins","Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/27-cranbrook-circuit-officer-vic-3809-17751589
17751724,OFFICER,3809,600.0,2608.0,"Tuesday, 21 October 2025",2025-09-08,1,4,2,2.0,House,8 Millicent Parade,-38.065132,145.38995,2025-09-09 16:46:22,17751724,,14,0,0,True,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating, Study",https://www.domain.com.au/8-millicent-parade-officer-vic-3809-17751724
17752133,OFFICER,3809,660.0,2868.0,"Monday, 06 October 2025",2025-09-08,1,4,2,2.0,House,41 Lansell Avenue,-38.063145,145.42792,2025-09-09 16:46:22,17752133,,13,0,0,False,House,House,Peake Real Estate,8709,Naomie Starkey,"Solar panels, Built in wardrobes, Ducted Heating, Ensuite, Pets Allowed, Remote Garage, Split System AirCon, Study",https://www.domain.com.au/41-lansell-avenue-officer-vic-3809-17752133
17752898,OFFICER,3809,650.0,2824.0,"Friday, 12 September 2025",2025-09-09,0,4,2,2.0,House,17 Verdant Avenue,-38.07275,145.42943,2025-09-09 16:46:22,17752898,,9,0,0,False,House,House,LJ Hooker Pakenham,18713,"Adeline Johnston, Debra Deayton","Ensuite, Air conditioning, Broadband, Garden, Dishwasher, Ducted Heating, Fully fenced, Floorboards, Remote Garage, Built in wardrobes, Secure Parking, Rumpus Room",https://www.domain.com.au/17-verdant-avenue-officer-vic-3809-17752898
17753054,OFFICER,3809,600.0,2607.0,"Monday, 06 October 2025",2025-09-09,0,4,2,2.0,House,4 Chesney Rise,-38.04864,145.40625,2025-09-09 16:46:22,17753054,,13,0,0,False,House,House,Ironfish Real Estate Melbourne,21689,Jennifer Lu,"Air conditioning, Built in wardrobes, Heating, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/4-chesney-rise-officer-vic-3809-17753054
17753065,OFFICER,3809,700.0,3042.0,"Saturday, 13 September 2025",2025-09-09,0,5,2,2.0,House,57 Petaluma Cres,-38.0516,145.43709,2025-09-09 16:46:22,17753065,,12,0,0,False,House,House,UpHill Real Estate,31519,Lorenzo Lazo,"Air conditioning, Secure Parking, Heating, Solar panels",https://www.domain.com.au/57-petaluma-cres-officer-vic-3809-17753065
17753539,OFFICER,3809,600.0,2607.0,"Friday, 19 September 2025",2025-09-09,0,3,2,2.0,Townhouse,3 Tiger Way,-38.060112,145.41005,2025-09-09 16:46:22,17753539,,8,0,0,False,Townhouse/Villa,Townhouse,Real Estate Xpert,37138,Rexpert Rentals,"Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/3-tiger-way-officer-vic-3809-17753539
17754052,OFFICER,3809,500.0,2173.0,"Monday, 13 October 2025",2025-09-09,0,3,2,1.0,Townhouse,1/12 Sturt Crt,-38.06106,145.40373,2025-09-09 16:46:22,17754052,,10,0,0,True,Townhouse/Villa,Townhouse,STOCKDALE & LEGGO PAKENHAM,7479,Stacey Allen,"Secure Parking, Dishwasher, Ensuite",https://www.domain.com.au/1-12-sturt-crt-officer-vic-3809-17754052
15875082,OFFICER,3809,580.0,2521.0,"Friday, 10 October 2025",2025-08-25,15,4,2,2.0,House,20 Park Central Avenue,-38.067974,145.39102,2025-09-09 16:46:27,15875082,VM-4169-VA,16,0,1,False,House,House,Ray White Berwick,31114,"Marcia Jean-Pierre, Ray White Berwick Property Management","Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/20-park-central-avenue-officer-vic-3809-15875082
16487314,OFFICER,3809,500.0,2173.0,"Saturday, 23 August 2025",2025-07-22,49,2,2,1.0,Townhouse,6 Anakin Walk,-38.071533,145.40372,2025-09-09 16:46:27,16487314,QB-6873-NE,13,0,0,False,Townhouse/Villa,Townhouse,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Balcony / Deck",https://www.domain.com.au/6-anakin-walk-officer-vic-3809-16487314
17039677,OFFICER,3809,585.0,2542.0,"Monday, 25 August 2025",2025-08-20,20,4,2,2.0,Townhouse,7 Terracotta Walk,-38.06873,145.4152,2025-09-09 16:46:27,17039677,NU-9523-WI,10,0,0,False,Townhouse/Villa,Townhouse,Addrezz Property Group,35351,"Moditha Sumanasekera, Vira Kelangi","Secure Parking, Air conditioning, Ensuite, Heating, Dishwasher, Fully fenced, Water Views, Solar hot water",https://www.domain.com.au/7-terracotta-walk-officer-vic-3809-17039677
17202851,OFFICER,3809,590.0,2564.0,"Tuesday, 30 September 2025",2025-08-22,18,4,2,2.0,House,24 Millicent Parade,-38.064964,145.3888,2025-09-09 16:46:27,17202851,QZ-0980-FP,6,0,0,True,House,House,Ray White Cranbourne,18759,Sophie Bridges,"Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/24-millicent-parade-officer-vic-3809-17202851
17704308,OFFICER,3809,650.0,2824.0,"Wednesday, 20 August 2025",2025-08-06,33,4,2,2.0,House,90 Dodson Road,-38.06322,145.39313,2025-09-09 16:46:27,17704308,,8,0,0,False,House,House,YPA Cranbourne,31602,"Hemant Dobriyal, Pulkit Khetarpal",,https://www.domain.com.au/90-dodson-road-officer-vic-3809-17704308
17712186,OFFICER,3809,700.0,3042.0,"Tuesday, 12 August 2025",2025-08-12,28,4,1,2.0,House,120 Officer Road,-38.04092,145.42485,2025-09-09 16:46:27,17712186,,18,0,0,False,House,House,Finning First National  ,8602,Property Management Team,"Built in wardrobes, Heating, Dishwasher, Study, Shed",https://www.domain.com.au/120-officer-road-officer-vic-3809-17712186
17725444,OFFICER,3809,570.0,2477.0,"Thursday, 18 September 2025",2025-08-21,19,3,2,1.0,House,10 Lavender Road,-38.065968,145.3933,2025-09-09 16:46:27,17725444,,12,0,0,True,House,House,Jellis Craig Glen Waverley,5378,"Stephanie Petrakis, Tamanna Duggal","Remote Garage, Built in wardrobes, Ensuite",https://www.domain.com.au/10-lavender-road-officer-vic-3809-17725444
