listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15343674,ORMOND,3204,450.0,1955,"Monday, 29 September 2025",2024-11-28,285,2,1,1,Apartment / Unit / Flat,7A Parker Street,-37.90359,145.04881,2025-09-09 17:00:35,15343674,,7,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,David Passaro,,https://www.domain.com.au/7a-parker-street-ormond-vic-3204-15343674
17155706,ORMOND,3204,390.0,1694,"Friday, 12 September 2025",2025-09-08,1,1,1,1,Apartment / Unit / Flat,15/50 Lillimur Road,-37.899754,145.04218,2025-09-09 17:00:35,17155706,WT-1895-TW,9,0,0,False,Apartment,Apartment / Unit / Flat,Wilson Glen Eira PTY LTD,4518,Stephanie Ongarello,Split System Heating,https://www.domain.com.au/15-50-lillimur-road-ormond-vic-3204-17155706
17165436,ORMOND,3204,1250.0,6250,"Monday, 30 June 2025",2024-08-16,389,4,3,3,Townhouse,666 North Road,-37.904865,145.0452,2025-09-09 17:00:35,17165436,ED-2501-SL,13,0,0,False,Townhouse/Villa,Townhouse,First National Burwood,36821,John Zhang,"Gas, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/666-north-road-ormond-vic-3204-17165436
17293147,ORMOND,3204,700.0,3042,"Saturday, 06 September 2025",2025-09-01,8,2,2,1,Apartment / Unit / Flat,2/7 Ormond Road,-37.903347,145.04514,2025-09-09 17:00:35,17293147,XH-6295-IF,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,Lachie Whitehead,"Air conditioning, Internal Laundry",https://www.domain.com.au/2-7-ormond-road-ormond-vic-3204-17293147
17609415,ORMOND,3204,1350.0,8100,"Monday, 14 July 2025",2025-07-14,57,3,2,3,House,8 Bevan Street,-37.905403,145.02646,2025-09-09 17:00:35,17609415,,10,0,0,False,House,House,Kay & Burton Bayside,12060,Hudson Keppell,,https://www.domain.com.au/8-bevan-street-ormond-vic-3204-17609415
17648856,ORMOND,3204,900.0,3911,"Friday, 18 July 2025",2025-07-02,69,3,2,1,House,16 Oloughlan St,-37.905262,145.03177,2025-09-09 17:00:35,17648856,,7,0,0,False,House,House,Ray White Bentleigh,38248,Zidan Mulyandi,"Air conditioning, Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/16-oloughlan-st-ormond-vic-3204-17648856
17701305,ORMOND,3204,990.0,4302,"Friday, 29 August 2025",2025-08-05,35,4,2,2,Townhouse,1/30 Holloway Street,-37.902153,145.04808,2025-09-09 17:00:35,17701305,,6,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Bentleigh,30117,Daniel Biviano,"Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-30-holloway-street-ormond-vic-3204-17701305
17702898,ORMOND,3204,580.0,2521,"Saturday, 16 August 2025",2025-08-06,34,2,1,1,Apartment / Unit / Flat,5/20 Katandra Road,-37.90227,145.04028,2025-09-09 17:00:35,17702898,,6,0,0,False,Apartment,Apartment / Unit / Flat,Beck & Small Property,32041,Bradley Small,"Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Secure Parking",https://www.domain.com.au/5-20-katandra-road-ormond-vic-3204-17702898
17707169,ORMOND,3204,480.0,2086,"Saturday, 27 September 2025",2025-08-08,32,2,1,1,Apartment / Unit / Flat,6/630 North Road,-37.9046,145.04333,2025-09-09 17:00:35,17707169,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Bentleigh,30117,Daniel Biviano,"Built in wardrobes, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/6-630-north-road-ormond-vic-3204-17707169
17721786,ORMOND,3204,350.0,1521,"Friday, 12 September 2025",2025-08-19,21,1,1,1,Apartment / Unit / Flat,11/30 Walsh Street,-37.902813,145.0475,2025-09-09 17:00:35,17721786,,5,0,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Kellie Finlayson,"Air conditioning, Secure Parking, Intercom, Built in wardrobes",https://www.domain.com.au/11-30-walsh-street-ormond-vic-3204-17721786
