listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15329633,PAKENHAM,3810,600,2607.0,"Monday, 06 October 2025",2025-09-08,1,4,2,2.0,House,37 Bluehills Boulevard,-38.087772,145.46527,2025-09-09 17:10:15,15329633,EQ-1899-PP,11,1,0,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/37-bluehills-boulevard-pakenham-vic-3810-15329633
16922625,PAKENHAM,3810,700,3042.0,"Monday, 15 September 2025",2025-09-09,0,5,3,2.0,House,27 Botany Way,-38.074486,145.44704,2025-09-09 17:10:15,16922625,QU-1273-IG,17,0,0,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking, Balcony / Deck",https://www.domain.com.au/27-botany-way-pakenham-vic-3810-16922625
17045008,PAKENHAM,3810,580,2520.0,"Wednesday, 08 October 2025",2025-09-08,1,4,2,2.0,House,68 Algerd Way,-38.061108,145.49179,2025-09-09 17:10:15,17045008,QN-7213-UO,9,0,0,False,House,House,LJ Hooker Pakenham,18713,Adeline Johnston,"Air conditioning, Heating",https://www.domain.com.au/68-algerd-way-pakenham-vic-3810-17045008
17748272,PAKENHAM,3810,620,2694.0,"Friday, 12 September 2025",2025-09-04,4,4,2,2.0,House,27 Stringy Bark Circuit,-38.072887,145.44821,2025-09-09 17:10:15,17748272,,21,0,1,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Air conditioning, Ensuite, Built in wardrobes, Pets Allowed, Bath, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/27-stringy-bark-circuit-pakenham-vic-3810-17748272
17749361,PAKENHAM,3810,590,2563.0,"Friday, 03 October 2025",2025-09-05,4,4,2,2.0,House,13 Allan Close,-38.060482,145.4866,2025-09-09 17:10:15,17749361,,11,0,0,False,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Evaporative Cooling, Courtyard, Remote Garage, Pets Allowed",https://www.domain.com.au/13-allan-close-pakenham-vic-3810-17749361
17750682,PAKENHAM,3810,600,2607.0,"Monday, 15 September 2025",2025-09-08,1,3,2,2.0,House,15 TRIBUZI CLOSE,-38.06216,145.49051,2025-09-09 17:10:15,17750682,,8,0,0,False,House,House,House N Keys Real Estate,31234,"Avi Gutta, Mayuri Achanta","Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Alarm System, Broadband Internet Available, Built in wardrobes, Dishwasher, Air conditioning, Ducted Heating, Split-System Air Conditioning, Solar panels, Ensuite",https://www.domain.com.au/15-tribuzi-close-pakenham-vic-3810-17750682
17750861,PAKENHAM,3810,540,2346.0,"Friday, 03 October 2025",2025-09-08,1,3,2,2.0,House,5 Cerreto Mews,-38.08758,145.4862,2025-09-09 17:10:15,17750861,,7,0,0,False,House,House,LJ Hooker Pakenham,18713,Chloe Deayton,"Ensuite, Courtyard, Garden, Dishwasher, Ducted Heating, Split System AC, Fully fenced, Remote Garage, Built in wardrobes, Secure Parking, Rumpus Room",https://www.domain.com.au/5-cerreto-mews-pakenham-vic-3810-17750861
17750930,PAKENHAM,3810,600,2607.0,"Monday, 15 September 2025",2025-09-08,1,4,2,2.0,House,116 Henry Road,-38.078968,145.44916,2025-09-09 17:10:15,17750930,,24,0,1,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,Ensuite,https://www.domain.com.au/116-henry-road-pakenham-vic-3810-17750930
17751170,PAKENHAM,3810,620,2694.0,"Monday, 08 September 2025",2025-09-08,1,4,2,4.0,House,7 Ironbark Circuit,-38.069714,145.44312,2025-09-09 17:10:15,17751170,,11,0,1,False,House,House,Turnkey Real Estate Group Pty Ltd,37776,Elena Szytow,"Internal Laundry, Pets Allowed, Courtyard, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built in wardrobes, Dishwasher, Rumpus Room, Study, Air conditioning, Ducted Heating, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/7-ironbark-circuit-pakenham-vic-3810-17751170
17751194,PAKENHAM,3810,550,2390.0,"Monday, 06 October 2025",2025-09-08,1,3,2,2.0,House,3 Mark Place,-38.073277,145.48975,2025-09-09 17:10:15,17751194,,18,0,1,False,House,House,Casey Estate Agents,19032,Lee-Ann Harley,"Air conditioning, Gas, Secure Parking, Solar panels",https://www.domain.com.au/3-mark-place-pakenham-vic-3810-17751194
