listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15300501,PARKDALE,3195,770,3346.0,"Thursday, 02 October 2025",2025-09-04,4,3,2,2.0,Townhouse,2/142 Lower Dandenong Road,-37.984524,145.08871,2025-09-09 16:21:38,15300501,XL-8291-GN,6,1,0,True,Townhouse/Villa,Townhouse,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-142-lower-dandenong-road-parkdale-vic-3195-15300501
16804645,PARKDALE,3195,775,3368.0,"Monday, 13 October 2025",2025-09-05,4,3,2,3.0,Townhouse,1/51 Rennison Street,-37.99864,145.07953,2025-09-09 16:21:38,16804645,ZB-1006-HS,8,0,0,False,Townhouse/Villa,Townhouse,Hartrick Property,37276,"Daniel Davis, Sam Hartrick",Heating,https://www.domain.com.au/1-51-rennison-street-parkdale-vic-3195-16804645
16857313,PARKDALE,3195,790,3433.0,"Friday, 19 September 2025",2025-08-27,13,3,2,1.0,Townhouse,24B Davey Street,-37.99633,145.08817,2025-09-09 16:21:38,16857313,ML-7685-HI,10,0,1,False,Townhouse/Villa,Townhouse,Metropole Properties Melbourne,18456,Vivian Nguyen,"Internal Laundry, Built in wardrobes, Split System Heating, Reverse Cycle Air Conditioning, Ensuite(s), Remote Garage",https://www.domain.com.au/24b-davey-street-parkdale-vic-3195-16857313
17592044,PARKDALE,3195,825,3585.0,"Friday, 20 June 2025",2025-05-27,105,3,1,2.0,House,35 Antibes Street,-37.99264,145.0715,2025-09-09 16:21:38,17592044,KN-7237-UA,7,0,1,False,House,House,Marshall White Port Phillip,18211,Jack Alexander,,https://www.domain.com.au/35-antibes-street-parkdale-vic-3195-17592044
17684581,PARKDALE,3195,800,3476.0,"Saturday, 06 September 2025",2025-07-24,47,2,1,,Apartment / Unit / Flat,149 Parkers Road,-37.992546,145.07817,2025-09-09 16:21:38,17684581,,14,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Mentone,3937,Anthony Fraser,"Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Fully fenced",https://www.domain.com.au/149-parkers-road-parkdale-vic-3195-17684581
17691580,PARKDALE,3195,1190,,"Monday, 08 September 2025",2025-07-30,41,4,2,2.0,Townhouse,34A Mount View Avenue,-37.99449,145.08762,2025-09-09 16:21:38,17691580,,12,0,0,False,Townhouse/Villa,Townhouse,MAK Realty,34831,Tiffany Kalfoglou,"Internal Laundry, Secure Parking, Fireplace(s), Study, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/34a-mount-view-avenue-parkdale-vic-3195-17691580
17704787,PARKDALE,3195,710,3085.0,"Tuesday, 02 September 2025",2025-08-07,33,3,1,4.0,House,8 Grey Street,-37.987392,145.09004,2025-09-09 16:21:38,17704787,,11,0,0,False,House,House,Buxton Real Estate Mentone,3937,Cindi Guo,"Pets Allowed, Secure Parking",https://www.domain.com.au/8-grey-street-parkdale-vic-3195-17704787
17733018,PARKDALE,3195,650,2600.0,"Saturday, 30 August 2025",2025-08-26,13,2,1,1.0,Apartment / Unit / Flat,14/14 Rennison Street,-38.00145,145.07938,2025-09-09 16:21:38,17733018,,15,0,1,False,Apartment,Apartment / Unit / Flat,No Agent Property ,20869,No Agent Property - VIC,"Internal Laundry, Broadband internet access, Heating, Air conditioning, Furnished, Study, Dishwasher",https://www.domain.com.au/14-14-rennison-street-parkdale-vic-3195-17733018
17748374,PARKDALE,3195,540,2346.0,"Friday, 10 October 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,3/92 Warrigal Road,-37.98514,145.0712,2025-09-09 16:21:38,17748374,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Mentone & Chelsea,23619,Tania Souki,"Gas, Internal Laundry, Secure Parking, Dishwasher, Split System Air Con, Split System Heating, Garden / Courtyard, Floorboards, Built in wardrobes",https://www.domain.com.au/3-92-warrigal-road-parkdale-vic-3195-17748374
17751536,PARKDALE,3195,535,2324.0,"Saturday, 18 October 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,6/224 Nepean Highway,-37.982788,145.07352,2025-09-09 16:21:38,17751536,,7,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,Vicky Miller,"Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/6-224-nepean-highway-parkdale-vic-3195-17751536
