listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10052357,PARKVILLE,3052,420,1825,"Friday, 12 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,5/30 Park Drive,-37.796127,144.95442,2025-09-09 16:23:47,10052357,AN-1551-QD,6,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Pelin Vural,"Internal Laundry, Bath, Balcony / Deck, Car Accom: Single Off-Street Parking, Cooking: Gas Oven and Hotplates",https://www.domain.com.au/5-30-park-drive-parkville-vic-3052-10052357
11612335,PARKVILLE,3052,600,2607,"Tuesday, 14 October 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,104/80 Cade Way,-37.777546,144.93823,2025-09-09 16:23:47,11612335,LO-2377-YB,6,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Single Security Parking, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Hotplates and Electric Oven, Pool/Spa Count: 0",https://www.domain.com.au/104-80-cade-way-parkville-vic-3052-11612335
14721198,PARKVILLE,3052,550,2389,"Monday, 25 August 2025",2025-07-29,41,2,1,1.0,Apartment / Unit / Flat,1304/91 Galada Avenue,-37.778587,144.9392,2025-09-09 16:23:47,14721198,RQ-9759-YI,8,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Single Off-Street Parking, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Open Plan, Furnished",https://www.domain.com.au/1304-91-galada-avenue-parkville-vic-3052-14721198
14849470,PARKVILLE,3052,1030,6180,"Friday, 26 September 2025",2025-08-27,13,4,2,2.0,Townhouse,69 Manningham Street,-37.78623,144.94162,2025-09-09 16:23:47,14849470,QM-2971-JD,7,1,1,False,Townhouse/Villa,Townhouse,Samma Real Estate,15424,Allen Iverson,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Balcony, Courtyard, Remote Garage, Secure Parking",https://www.domain.com.au/69-manningham-street-parkville-vic-3052-14849470
15933926,PARKVILLE,3052,1350,5866,"Thursday, 28 August 2025",2025-08-27,13,5,2,,House,183 Park Drive,-37.79352,144.95613,2025-09-09 16:23:47,15933926,WW-5511-TB,11,0,0,False,House,House,LongView Real Estate,7797,Hailey Kuang,"Internal Laundry, Fireplace(s), Courtyard, Pets Allowed",https://www.domain.com.au/183-park-drive-parkville-vic-3052-15933926
15974801,PARKVILLE,3052,610,2651,"Saturday, 20 September 2025",2025-08-28,12,2,2,1.0,Apartment / Unit / Flat,517/91 Galada Avenue,-37.77875,144.93925,2025-09-09 16:23:47,15974801,AI-8824-DC,15,0,0,False,Apartment,Apartment / Unit / Flat,Frasers Property | VIC,7378,Irene Colasante,"Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Broadband, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Remote Garage, In Ground Pool, City Views",https://www.domain.com.au/517-91-galada-avenue-parkville-vic-3052-15974801
17716070,PARKVILLE,3052,465,2021,"Saturday, 23 August 2025",2025-08-14,26,2,2,1.0,Townhouse,16/91-93 Manningham Street,-37.784935,144.9415,2025-09-09 16:23:47,17716070,,12,0,0,False,Townhouse/Villa,Townhouse,Compton Green,3133,"Coral Cicino, Austin Archibald","Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard, Swimming Pool",https://www.domain.com.au/16-91-93-manningham-street-parkville-vic-3052-17716070
17723759,PARKVILLE,3052,420,1825,"Friday, 19 September 2025",2025-08-20,20,1,1,,Apartment / Unit / Flat,1/2 Lennon Street,-37.786858,144.94106,2025-09-09 16:23:47,17723759,,8,0,0,True,Apartment,Apartment / Unit / Flat,Dingle Partners,345,Abir Ayadi,,https://www.domain.com.au/1-2-lennon-street-parkville-vic-3052-17723759
17724587,PARKVILLE,3052,580,2520,"Tuesday, 23 September 2025",2025-08-20,20,2,1,1.0,Apartment / Unit / Flat,705/61 Galada Avenue,-37.779865,144.93968,2025-09-09 16:23:47,17724587,,8,0,0,False,Apartment,Apartment / Unit / Flat,Areal Property - Box Hill,33000,Mike Lu,"Built in wardrobes, Furnished, Intercom, Heating, Balcony / Deck",https://www.domain.com.au/705-61-galada-avenue-parkville-vic-3052-17724587
17725506,PARKVILLE,3052,1250,6250,"Monday, 15 September 2025",2025-08-21,19,3,2,1.0,Townhouse,9/2 Manningham Street,-37.788143,144.94322,2025-09-09 16:23:47,17725506,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Fitzroy,3709,"Jayde Cashion, Emma Trethowan","Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Outdoor Entertainment Area, Dishwasher, Fully fenced, Laundry, Open plan living",https://www.domain.com.au/9-2-manningham-street-parkville-vic-3052-17725506
17728482,PARKVILLE,3052,620,2694,"Wednesday, 27 August 2025",2025-08-22,18,2,2,1.0,Apartment / Unit / Flat,1009/61 Galada Ave,-37.779865,144.93968,2025-09-09 16:23:47,17728482,,7,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Robert Litinetsky,"Air conditioning, Secure Parking, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Gym, Pay TV Access, Out door entertaining area, Internal Laundry",https://www.domain.com.au/1009-61-galada-ave-parkville-vic-3052-17728482
17731082,PARKVILLE,3052,600,2607,"Monday, 01 September 2025",2025-08-25,14,2,1,1.0,Apartment / Unit / Flat,6/104 The Avenue,-37.78558,144.95718,2025-09-09 16:23:47,17731082,,18,0,0,False,Apartment,Apartment / Unit / Flat,Kelly & Shiel Pty Ltd,7026,"Wally Omar, Paulina Falvo","Built in wardrobes, Intercom, Carpeted",https://www.domain.com.au/6-104-the-avenue-parkville-vic-3052-17731082
17733116,PARKVILLE,3052,700,3041,"Friday, 19 September 2025",2025-08-26,13,2,2,1.0,Apartment / Unit / Flat,207/459 Royal Parade,-37.782215,144.95921,2025-09-09 16:23:47,17733116,,10,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Melbourne City,16216,Yasmeen Timol,"Air conditioning, Balcony, Built in wardrobes, Dishwasher, Intercom, Intercom System, Secure Parking, Split System AirCon, Split System Heating, Split-system Heating",https://www.domain.com.au/207-459-royal-parade-parkville-vic-3052-17733116
17735973,PARKVILLE,3052,475,2064,"Friday, 12 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,5/83 Manningham Street,-37.785503,144.94156,2025-09-09 16:23:47,17735973,,6,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Essendon,4722,Chelsea Barber,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/5-83-manningham-street-parkville-vic-3052-17735973
17742399,PARKVILLE,3052,650,2824,"Friday, 12 September 2025",2025-09-02,7,2,2,1.0,Apartment / Unit / Flat,215/67 Galada Avenue,-37.77979,144.93929,2025-09-09 16:23:47,17742399,,15,0,1,True,Apartment,Apartment / Unit / Flat,Woodards Ascot Vale,26361,Taila Marra,"Internal Laundry, Secure Parking, Gym, Intercom, Heating",https://www.domain.com.au/215-67-galada-avenue-parkville-vic-3052-17742399
17743546,PARKVILLE,3052,435,1890,"Wednesday, 10 September 2025",2025-09-02,7,2,1,1.0,Townhouse,10/91-93 Manningham Street,-37.784935,144.9415,2025-09-09 16:23:47,17743546,,8,0,0,False,Townhouse/Villa,Townhouse,Compton Green,3133,"Coral Cicino, Austin Archibald","Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Tennis Court, Fully fenced, Garden / Courtyard, Swimming Pool",https://www.domain.com.au/10-91-93-manningham-street-parkville-vic-3052-17743546
17746112,PARKVILLE,3052,600,2607,"Tuesday, 30 September 2025",2025-09-03,5,2,1,1.0,Apartment / Unit / Flat,302/61 Galada Avenue,-37.779865,144.93968,2025-09-09 16:23:47,17746112,,8,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Kayla Young","Internal Laundry, Dishwasher, Study, Outdoor Entertainment Area, Split System Heating, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/302-61-galada-avenue-parkville-vic-3052-17746112
17747959,PARKVILLE,3052,610,2651,"Monday, 29 September 2025",2025-09-04,4,2,2,1.0,Apartment / Unit / Flat,113/445 Royal Parade,-37.78251,144.95891,2025-09-09 16:23:47,17747959,,6,0,1,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,Brittany Findlay,"Internal Laundry, Secure Parking, Study, Balcony / Deck",https://www.domain.com.au/113-445-royal-parade-parkville-vic-3052-17747959
17749348,PARKVILLE,3052,430,1868,"Friday, 19 September 2025",2025-09-05,4,1,1,1.0,Apartment / Unit / Flat,8/311 Royal Parade,-37.78598,144.95879,2025-09-09 16:23:47,17749348,,5,1,0,True,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,"Lachlan Hardiman, Aaron Cox","Intercom, Balcony / Deck, Broadband internet access, Built in wardrobes, Pay TV Access",https://www.domain.com.au/8-311-royal-parade-parkville-vic-3052-17749348
17752645,PARKVILLE,3052,465,2021,"Monday, 15 September 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,15/18 Lennon Street,-37.78637,144.9409,2025-09-09 16:23:47,17752645,,6,0,0,False,Apartment,Apartment / Unit / Flat,Woodards,19,Daniel O'Keeffe,,https://www.domain.com.au/15-18-lennon-street-parkville-vic-3052-17752645
