listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12855885,PATTERSON LAKES,3197,500,2520,"Tuesday, 07 October 2025",2025-09-05,4,2,2,1,House,509/107-109 McLeod Road,-38.070934,145.13593,2025-09-09 16:37:50,12855885,SO-0950-PM,9,0,1,False,House,House,Mitchell Torre Real Estate,8060,Chelsea Smith,,https://www.domain.com.au/509-107-109-mcleod-road-patterson-lakes-vic-3197-12855885
15207782,PATTERSON LAKES,3197,1280,5561,"Saturday, 13 September 2025",2025-08-12,28,4,2,2,House,33 Palm Beach Drive,-38.078556,145.13483,2025-09-09 16:37:50,15207782,DJ-7420-NK,10,0,1,False,House,House,Mitchell Torre Real Estate,8060,Lenny Barcham,,https://www.domain.com.au/33-palm-beach-drive-patterson-lakes-vic-3197-15207782
16875510,PATTERSON LAKES,3197,1350,5866,"Thursday, 15 May 2025",2025-05-12,120,4,2,2,House,39 Curlew Point Drive,-38.077145,145.1418,2025-09-09 16:37:50,16875510,PR-7154-GD,23,0,0,False,House,House,Shine Real Estate Pty Ltd,27453,Rental Department,"Furnished, Pets Allowed",https://www.domain.com.au/39-curlew-point-drive-patterson-lakes-vic-3197-16875510
17521825,PATTERSON LAKES,3197,1950,8473,"Wednesday, 09 April 2025",2025-04-09,153,5,3,6,House,16 Long Island Point,-38.072792,145.14302,2025-09-09 16:37:50,17521825,HE-2296-CQ,14,0,0,False,House,House,Shine Real Estate Pty Ltd,27453,Rental Department,"Balcony / Deck, Pets Allowed",https://www.domain.com.au/16-long-island-point-patterson-lakes-vic-3197-17521825
17602805,PATTERSON LAKES,3197,625,2708,"Wednesday, 11 June 2025",2025-06-03,98,3,1,2,House,16 Boloka Court,-38.07671,145.14539,2025-09-09 16:37:50,17602805,,10,1,0,False,House,House,Ray White The Bayside Group,6378,Ildiko Orsos,Heating,https://www.domain.com.au/16-boloka-court-patterson-lakes-vic-3197-17602805
17703932,PATTERSON LAKES,3197,895,3889,"Tuesday, 05 August 2025",2025-08-06,34,3,2,2,Townhouse,1/58 Gladesville Bvd,-38.063473,145.14365,2025-09-09 16:37:50,17703932,,11,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Bayside,16215,Dimmy Alevizos,"Air conditioning, Gas, Bath, Heating, Dishwasher, Study, Balcony / Deck, Remote Garage",https://www.domain.com.au/1-58-gladesville-bvd-patterson-lakes-vic-3197-17703932
17718918,PATTERSON LAKES,3197,1000,4345,"Friday, 19 September 2025",2025-08-18,22,4,3,2,House,9 Southseas Place,-38.06709,145.14003,2025-09-09 16:37:50,17718918,,10,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/9-southseas-place-patterson-lakes-vic-3197-17718918
17722693,PATTERSON LAKES,3197,860,3737,"Friday, 29 August 2025",2025-08-19,20,3,2,2,House,13 Tori Place,-38.057552,145.14511,2025-09-09 16:37:50,17722693,,16,0,0,False,House,House,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/13-tori-place-patterson-lakes-vic-3197-17722693
17732209,PATTERSON LAKES,3197,800,3476,"Monday, 01 September 2025",2025-08-26,14,3,2,1,House,7 Scarborough Drive,-38.068768,145.13986,2025-09-09 16:37:50,17732209,,11,0,0,False,House,House,Area Specialist Keysborough,31225,Property Management,"Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/7-scarborough-drive-patterson-lakes-vic-3197-17732209
17735559,PATTERSON LAKES,3197,650,2824,"Thursday, 28 August 2025",2025-08-27,12,3,1,3,House,18 Kurrawa Crescent,-38.076042,145.14835,2025-09-09 16:37:50,17735559,,14,0,0,False,House,House,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Gas, Internal Laundry, Pets Allowed, Heating, Fully fenced",https://www.domain.com.au/18-kurrawa-crescent-patterson-lakes-vic-3197-17735559
17743913,PATTERSON LAKES,3197,550,2390,"Friday, 03 October 2025",2025-09-02,7,2,1,2,Apartment / Unit / Flat,9/117 McLeod Road,-38.07003,145.13715,2025-09-09 16:37:50,17743913,,5,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Bayside Rentals,37952,"Bayside Rentals Leasing Team, Maddy Goodwin","Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/9-117-mcleod-road-patterson-lakes-vic-3197-17743913
17745083,PATTERSON LAKES,3197,1100,4779,"Tuesday, 30 September 2025",2025-09-03,6,4,2,2,House,6 Governor Arthur Drive,-38.05344,145.14388,2025-09-09 16:37:50,17745083,,11,0,1,False,House,House,Mitchell Torre Real Estate,8060,Chelsea Smith,"Gas, Internal Laundry, Secure Parking, Heating, Study",https://www.domain.com.au/6-governor-arthur-drive-patterson-lakes-vic-3197-17745083
