listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13513032,POINT COOK,3030,570.0,2477.0,"Wednesday, 01 October 2025",2025-09-08,0,4.0,2.0,2.0,House,8 Lachie Grove,-37.914448,144.78523,2025-09-09 16:57:39,13513032,BP-3120-JU,7,1,1,False,House,House,LITTLE Real Estate Victoria,24974,Jason King,"Car Accom: Double Garage, Heating: Gas Ducted Heating, Cooling: Reverse Cycle Air Conditioning, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/8-lachie-grove-point-cook-vic-3030-13513032
16627396,POINT COOK,3030,620.0,2694.0,"Friday, 03 October 2025",2025-09-08,1,4.0,2.0,2.0,House,42 Murphy Street,-37.89353,144.7121,2025-09-09 16:57:39,16627396,RX-2396-PB,19,0,0,False,House,House,First National Real Estate Lakra,23132,Vivek Rana,"Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/42-murphy-street-point-cook-vic-3030-16627396
17679244,POINT COOK,3030,525.0,2281.0,"Monday, 01 September 2025",2025-07-22,49,4.0,2.0,2.0,House,21 Patchin Street,-37.887203,144.71068,2025-09-09 16:57:39,17679244,,10,0,0,False,House,House,CHN POINT COOK,39308,Alice Foo,"Bath, Heating, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Remote Garage, Fully fenced, Gas",https://www.domain.com.au/21-patchin-street-point-cook-vic-3030-17679244
17712458,POINT COOK,3030,535.0,2325.0,"Monday, 01 September 2025",2025-08-12,27,4.0,2.0,2.0,House,7 Warunda Parade,-37.91277,144.77061,2025-09-09 16:57:39,17712458,,9,0,1,False,House,House,CHN POINT COOK,39308,Alice Foo,"Gas, Pets Allowed, Secure Parking, Bath, Heating, Dishwasher, Built in wardrobes, Garden / Courtyard",https://www.domain.com.au/7-warunda-parade-point-cook-vic-3030-17712458
17745210,POINT COOK,3030,600.0,2607.0,"Wednesday, 03 September 2025",2025-09-03,6,4.0,2.0,2.0,House,19 Ribbon Close,-37.90151,144.74619,2025-09-09 16:57:39,17745210,,11,0,0,False,House,House,ACE Real Estate,19089,"Sunny Sharma, Neha Sharma","Secure Parking, Heating",https://www.domain.com.au/19-ribbon-close-point-cook-vic-3030-17745210
17750481,POINT COOK,3030,480.0,2086.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,1.0,Townhouse,32/39 Astley Crescent,-37.890484,144.73042,2025-09-09 16:57:39,17750481,,9,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Point Cook,11213,Simon Khouri,"Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/32-39-astley-crescent-point-cook-vic-3030-17750481
17750496,POINT COOK,3030,700.0,3042.0,"Monday, 06 October 2025",2025-09-08,1,4.0,2.0,2.0,House,58 Seafarer Way,-37.895546,144.77791,2025-09-09 16:57:39,17750496,,17,0,0,False,House,House,Areal Property - Box Hill,33000,Rayna Hao,"Study, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Gas Heating, Out door entertaining area, Internal Laundry",https://www.domain.com.au/58-seafarer-way-point-cook-vic-3030-17750496
17750596,POINT COOK,3030,620.0,2695.0,"Friday, 03 October 2025",2025-09-08,1,4.0,2.0,2.0,House,39 Constantine Drive,-37.91316,144.75014,2025-09-09 16:57:39,17750596,,15,0,1,False,House,House,Area Specialist Wyndham,34164,Nikki Suhalka,"Secure Parking, Balcony / Deck",https://www.domain.com.au/39-constantine-drive-point-cook-vic-3030-17750596
17750968,POINT COOK,3030,575.0,2499.0,"Monday, 08 September 2025",2025-09-08,1,4.0,2.0,2.0,House,47 Copeland Crescent,-37.88173,144.7454,2025-09-09 16:57:39,17750968,,15,0,0,False,House,House,CHN POINT COOK,39308,Alice Foo,"Gas, Bath, Solar panels, Air conditioning, Broadband internet access, Built in wardrobes, Balcony / Deck, Dishwasher, Floorboards, Remote Garage, Secure Parking, Shed",https://www.domain.com.au/47-copeland-crescent-point-cook-vic-3030-17750968
17751007,POINT COOK,3030,550.0,2390.0,"Wednesday, 01 October 2025",2025-09-08,1,3.0,2.0,2.0,House,6 Earth Street,-37.899708,144.73206,2025-09-09 16:57:39,17751007,,8,0,0,False,House,House,One Agency Property Partners,36088,Evangelina Chain,"Built in wardrobes, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/6-earth-street-point-cook-vic-3030-17751007
17751247,POINT COOK,3030,620.0,2694.0,"Friday, 17 October 2025",2025-09-08,1,4.0,2.0,2.0,House,8 Fremantle Close,-37.88327,144.72609,2025-09-09 16:57:39,17751247,,17,0,0,False,House,House,hockingstuart Wyndham City,16107,"Samantha Holt, Jessica Tong",Shed,https://www.domain.com.au/8-fremantle-close-point-cook-vic-3030-17751247
17751280,POINT COOK,3030,560.0,2434.0,"Friday, 26 September 2025",2025-09-08,1,4.0,2.0,2.0,House,3 Solitude Crescent,-37.90713,144.72305,2025-09-09 16:57:39,17751280,,13,0,0,False,House,House,VICPROP Point Cook and Williams Landing,33528,"Lisha Wen, Leasing Team Vicprop","Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/3-solitude-crescent-point-cook-vic-3030-17751280
17751442,POINT COOK,3030,480.0,2086.0,"Tuesday, 23 September 2025",2025-09-08,1,2.0,2.0,2.0,House,2/5 Tom Roberts Parade,-37.893787,144.7301,2025-09-09 16:57:39,17751442,,9,0,0,False,House,House,LJ Hooker Property Point,22180,"Dema Haddad, Nathan Long",,https://www.domain.com.au/2-5-tom-roberts-parade-point-cook-vic-3030-17751442
17752104,POINT COOK,3030,590.0,2564.0,"Monday, 08 September 2025",2025-09-08,1,4.0,2.0,2.0,House,7 Applebox Circuit,-37.90754,144.72942,2025-09-09 16:57:39,17752104,,21,0,1,False,House,House,YPA Point Cook,37940,"Milan Gahlyan, Happy Lather","Secure Parking, Heating",https://www.domain.com.au/7-applebox-circuit-point-cook-vic-3030-17752104
17752703,POINT COOK,3030,560.0,2434.0,"Saturday, 13 September 2025",2025-09-09,0,4.0,2.0,2.0,House,57 Barnstormer Boulevard,-37.898464,144.72267,2025-09-09 16:57:39,17752703,,5,0,0,False,House,House,Reliance Real Estate Point Cook,26805,"Zelda Van Rensburg, Deolinda Moreira","Air conditioning, Secure Parking, Heating, Dishwasher, Study",https://www.domain.com.au/57-barnstormer-boulevard-point-cook-vic-3030-17752703
17752978,POINT COOK,3030,570.0,2477.0,"Friday, 10 October 2025",2025-09-09,0,4.0,2.0,2.0,House,35 Seagrass Crescent,-37.908375,144.71689,2025-09-09 16:57:39,17752978,,17,0,0,False,House,House,Barry Plant Point Cook,11213,Simon Khouri,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/35-seagrass-crescent-point-cook-vic-3030-17752978
17753160,POINT COOK,3030,600.0,2608.0,"Monday, 06 October 2025",2025-09-09,0,3.0,2.0,2.0,House,12 Feather Place,-37.898205,144.73215,2025-09-09 16:57:39,17753160,,14,0,0,False,House,House,REMAX ACPA,34510,Camila Jing,"Built in wardrobes, Secure Parking, Heating, Solar hot water, Solar panels",https://www.domain.com.au/12-feather-place-point-cook-vic-3030-17753160
17753341,POINT COOK,3030,630.0,,"Monday, 01 September 2025",2025-09-09,0,4.0,2.0,,House,7 Tropic Circuit,-37.906357,144.73656,2025-09-09 16:57:39,17753341,,17,0,0,False,House,House,Agents'Agency Network Partners,11919,Lovejit Malhi,"Gas, Secure Parking, Heating, Study, Solar panels, Ensuite",https://www.domain.com.au/7-tropic-circuit-point-cook-vic-3030-17753341
17753737,POINT COOK,3030,600.0,2607.0,"Friday, 17 October 2025",2025-09-09,0,4.0,2.0,2.0,House,18 Kirami Avenue,-37.902145,144.72264,2025-09-09 16:57:39,17753737,,10,0,0,False,House,House,Century 21 Point Cook - Williams Landing,24931,"James Kum, Ranjila Gounder","Heating, Dishwasher, Solar panels",https://www.domain.com.au/18-kirami-avenue-point-cook-vic-3030-17753737
17754051,POINT COOK,3030,600.0,2607.0,"Friday, 10 October 2025",2025-09-09,0,4.0,2.0,2.0,House,103 Tristania Drive,-37.905487,144.76186,2025-09-09 16:57:39,17754051,,11,0,0,False,House,House,Barry Plant Point Cook,11213,Simon Khouri,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/103-tristania-drive-point-cook-vic-3030-17754051
15312420,POINT COOK,3030,495.0,2151.0,"Monday, 28 July 2025",2025-06-12,89,4.0,2.0,2.0,House,11 Michael Place,-37.90174,144.73105,2025-09-09 16:57:45,15312420,ZK-5287-YQ,7,1,0,False,House,House,Harcourts Point Cook,20054,Solene Para,"Broadband internet access, Heating, Solar panels, Balcony / Deck, Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/11-michael-place-point-cook-vic-3030-15312420
15391720,POINT COOK,3030,550.0,2390.0,"Thursday, 18 September 2025",2025-08-28,12,3.0,2.0,2.0,Townhouse,4 Lyra Walk,-37.909252,144.75063,2025-09-09 16:57:45,15391720,OL-6209-KF,17,0,0,False,Townhouse/Villa,Townhouse,Harcourts Point Cook,20054,Solene Para,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/4-lyra-walk-point-cook-vic-3030-15391720
15567485,POINT COOK,3030,520.0,2260.0,"Monday, 29 September 2025",2025-09-02,7,4.0,2.0,2.0,House,64 Postema Drive,-37.915485,144.76604,2025-09-09 16:57:45,15567485,QN-2193-SZ,11,0,0,False,House,House,ACE Real Estate,19089,"Riya Sharma, Ajitesh Arora","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/64-postema-drive-point-cook-vic-3030-15567485
