listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16498515,PORTARLINGTON,3223,495,2150,"Friday, 19 September 2025",2025-08-21,19,3,2,2.0,House,84 Payne Street,-38.1218,144.66849,2025-09-09 16:35:15,16498515,WN-4787-EX,9,0,0,False,House,House,Neville Richards Drysdale,26075,Sharryn Dawes,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/84-payne-street-portarlington-vic-3223-16498515
16743997,PORTARLINGTON,3223,640,2780,"Friday, 22 September 2023",2025-08-15,25,4,2,4.0,Townhouse,38B Brown Street,-38.119038,144.653,2025-09-09 16:35:15,16743997,SC-9759-DM,15,0,0,False,Townhouse/Villa,Townhouse,Neville Richards Drysdale,26075,Christine McArthur,"Gas, Secure Parking, Dishwasher",https://www.domain.com.au/38b-brown-street-portarlington-vic-3223-16743997
17125043,PORTARLINGTON,3223,450,1955,"Monday, 04 August 2025",2025-07-01,70,3,1,2.0,House,8 Newcombe Street,-38.114887,144.64816,2025-09-09 16:35:15,17125043,LB-7794-UA,13,0,1,False,House,House,Neville Richards Drysdale,26075,Emma Jade,"Heating, Built in wardrobes",https://www.domain.com.au/8-newcombe-street-portarlington-vic-3223-17125043
17675829,PORTARLINGTON,3223,430,1868,"Friday, 22 August 2025",2025-07-18,53,2,1,2.0,House,114 Geelong Road,-38.1206,144.63647,2025-09-09 16:35:15,17675829,,1,0,0,False,House,House,Stockdale & Leggo Bellarine,21356,"Stockdale & Leggo Rental Department, Natali Sindik","Internal Laundry, Air conditioning",https://www.domain.com.au/114-geelong-road-portarlington-vic-3223-17675829
17680181,PORTARLINGTON,3223,440,1911,"Monday, 18 August 2025",2025-07-22,49,3,1,1.0,House,8 Park Street,-38.11641,144.64658,2025-09-09 16:35:15,17680181,,7,0,0,False,House,House,Stockdale & Leggo Bellarine,21356,"Stockdale & Leggo Rental Department, Natali Sindik","Built in wardrobes, Internal Laundry, Dishwasher, Air conditioning, Heating, Workshop",https://www.domain.com.au/8-park-street-portarlington-vic-3223-17680181
17710325,PORTARLINGTON,3223,480,2085,"Friday, 29 August 2025",2025-08-11,28,3,1,1.0,House,128 Sproat Street,-38.123722,144.6453,2025-09-09 16:35:15,17710325,,6,0,0,False,House,House,Neville Richards Drysdale,26075,Georgia Peterson,"Internal Laundry, Secure Parking, Balcony / Deck",https://www.domain.com.au/128-sproat-street-portarlington-vic-3223-17710325
17724202,PORTARLINGTON,3223,550,2389,"Saturday, 01 November 2025",2025-08-20,20,3,2,1.0,Townhouse,8/36 Welfare Street,-38.11661,144.64125,2025-09-09 16:35:15,17724202,,4,0,1,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Bellarine,21356,"Stockdale & Leggo Rental Department, Natali Sindik","Balcony / Deck, Built in wardrobes, Dishwasher, Heating, Air conditioning, Furnished",https://www.domain.com.au/8-36-welfare-street-portarlington-vic-3223-17724202
17727939,PORTARLINGTON,3223,450,1955,"Friday, 22 August 2025",2025-08-22,18,3,1,2.0,House,5 Longview Street,-38.12213,144.6385,2025-09-09 16:35:15,17727939,,11,0,0,False,House,House,Stockdale & Leggo Bellarine,21356,"Stockdale & Leggo Rental Department, Natali Sindik","Dishwasher, Air conditioning, Garden / Courtyard, Balcony / Deck, Floorboards, Fully fenced, Water Views",https://www.domain.com.au/5-longview-street-portarlington-vic-3223-17727939
17736966,PORTARLINGTON,3223,520,2259,"Monday, 08 September 2025",2025-08-28,12,3,1,3.0,House,61 Tower Road,-38.12235,144.63333,2025-09-09 16:35:15,17736966,,12,0,1,False,House,House,Hunters Real Estate,35204,"Melanie Backer, Steph Bower","Internal Laundry, Built in wardrobes, First Home Buyers, Fully fenced, Secure Parking, Shed, Water Views",https://www.domain.com.au/61-tower-road-portarlington-vic-3223-17736966
17739134,PORTARLINGTON,3223,450,1955,"Tuesday, 09 September 2025",2025-08-29,10,3,1,,House,66 Batman Street,-38.12137,144.66055,2025-09-09 16:35:15,17739134,,11,0,0,False,House,House,Hunters Real Estate,35204,"Melanie Backer, Steph Bower","Built in wardrobes, Internal Laundry, Balcony / Deck, Floorboards, Fully fenced, Air conditioning, Heating",https://www.domain.com.au/66-batman-street-portarlington-vic-3223-17739134
17742540,PORTARLINGTON,3223,430,1863,"Friday, 03 October 2025",2025-09-02,7,3,2,2.0,House,2 High Street,-38.114986,144.64894,2025-09-09 16:35:15,17742540,,6,0,0,False,House,House,Ocean Grove Real Estate,30048,Melissa Blaskovic,"Secure Parking, Bath, Study, Floorboards, Built in wardrobes",https://www.domain.com.au/2-high-street-portarlington-vic-3223-17742540
