listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15342074,PRESTON,3072,300.0,1200.0,"Friday, 19 September 2025",2025-09-05,4,1,1,,Apartment / Unit / Flat,9 Cooma Street,-37.74152,145.00589,2025-09-09 16:52:01,15342074,,5,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Natalie Subotsch,,https://www.domain.com.au/9-cooma-street-preston-vic-3072-15342074
15976151,PRESTON,3072,570.0,2477.0,"Tuesday, 23 September 2025",2025-09-08,1,2,1,2.0,House,21B Cynga Street,-37.74519,145.01941,2025-09-09 16:52:01,15976151,VE-8586-TP,11,0,0,False,House,House,Biggin & Scott Inner North,23934,Jessica Karamoshou,,https://www.domain.com.au/21b-cynga-street-preston-vic-3072-15976151
16802267,PRESTON,3072,520.0,2260.0,"Monday, 08 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,15/777 Bell Street,-37.743195,144.98204,2025-09-09 16:52:01,16802267,OD-6831-XG,13,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Bath, Balcony / Deck, Intercom, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/15-777-bell-street-preston-vic-3072-16802267
17112210,PRESTON,3072,570.0,2477.0,"Wednesday, 08 October 2025",2025-09-08,0,2,2,1.0,Apartment / Unit / Flat,101/380 Bell Street,-37.74454,144.99977,2025-09-09 16:52:01,17112210,,9,0,0,False,Apartment,Apartment / Unit / Flat,Victoria Real Estate Agency Pty Ltd,27202,Sonita Dawood,"Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Pets Allowed",https://www.domain.com.au/101-380-bell-street-preston-vic-3072-17112210
17119325,PRESTON,3072,470.0,2042.0,"Friday, 10 October 2025",2025-09-08,0,1,1,1.0,Apartment / Unit / Flat,205/380 Bell Street,-37.74454,144.99977,2025-09-09 16:52:01,17119325,,9,0,0,False,Apartment,Apartment / Unit / Flat,Victoria Real Estate Agency Pty Ltd,27202,Sonita Dawood,"Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Secure Parking",https://www.domain.com.au/205-380-bell-street-preston-vic-3072-17119325
17179537,PRESTON,3072,570.0,2477.0,"Friday, 03 October 2025",2025-09-08,0,2,1,1.0,Apartment / Unit / Flat,106/380 Bell Street,-37.74454,144.99977,2025-09-09 16:52:01,17179537,,7,0,0,False,Apartment,Apartment / Unit / Flat,Victoria Real Estate Agency Pty Ltd,27202,Sonita Dawood,"Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage, Secure Parking, Pets Allowed",https://www.domain.com.au/106-380-bell-street-preston-vic-3072-17179537
17466443,PRESTON,3072,270.0,1173.0,"Tuesday, 19 August 2025",2025-08-12,28,1,1,,Apartment / Unit / Flat,11/245 Gower Street,-37.740784,145.0058,2025-09-09 16:52:01,17466443,VP-7725-SU,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Heating",https://www.domain.com.au/11-245-gower-street-preston-vic-3072-17466443
17567350,PRESTON,3072,520.0,2260.0,"Monday, 08 September 2025",2025-09-01,8,2,1,1.0,House,23/777 Bell Street,-37.743195,144.98204,2025-09-09 16:52:01,17567350,JS-4760-MK,16,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Bath, Balcony / Deck, Intercom, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/23-777-bell-street-preston-vic-3072-17567350
17688557,PRESTON,3072,600.0,2607.0,"Monday, 28 July 2025",2025-09-01,8,3,1,2.0,House,13 Clara Street,-37.731537,144.99503,2025-09-09 16:52:01,17688557,,8,0,0,False,House,House,Fletchers Inner North,38320,Elyssa Fortuna,,https://www.domain.com.au/13-clara-street-preston-vic-3072-17688557
17711916,PRESTON,3072,780.0,3389.0,"Monday, 08 September 2025",2025-09-08,1,3,2,2.0,Apartment / Unit / Flat,778Rear High Street,-37.74067,145.00352,2025-09-09 16:52:01,17711916,,8,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Reservoir,7121,Rebecca Imbrosciano,"Air conditioning, Built in wardrobes, Gas, Internal Laundry",https://www.domain.com.au/778rear-high-street-preston-vic-3072-17711916
