listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8074820,QUARRY HILL,3550,650.0,2824,"Tuesday, 21 July 2026",2012-12-12,4654,2,2,1.0,House,3 Hoskins Street,-36.767086,144.28296,2025-09-09 17:11:11,8074820,HT-7699-SL,15,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/3-hoskins-street-quarry-hill-vic-3550-8074820
11587194,QUARRY HILL,3550,290.0,1260,"Monday, 08 September 2025",2025-09-05,4,2,1,,House,48 Reginald Street,-36.774857,144.28397,2025-09-09 17:11:11,11587194,TE-2819-MJ,10,0,1,False,House,House,DCK Real Estate,4596,Holly Kellett,"Internal Laundry, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/48-reginald-street-quarry-hill-vic-3550-11587194
14389076,QUARRY HILL,3550,,2607,"Wednesday, 18 February 2026",2020-07-16,1881,2,1,1.0,House,34 Olinda Street,-36.767372,144.28307,2025-09-09 17:11:11,14389076,HY-1880-YA,9,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/34-olinda-street-quarry-hill-vic-3550-14389076
16586635,QUARRY HILL,3550,,2563,"Saturday, 14 February 2026",2023-07-28,774,2,1,1.0,House,51 Gladstone St,-36.76795,144.28165,2025-09-09 17:11:11,16586635,KO-1663-PV,11,0,0,False,House,House,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/51-gladstone-st-quarry-hill-vic-3550-16586635
16697431,QUARRY HILL,3550,0.0,2563,"Friday, 16 January 2026",2023-10-13,697,2,1,1.0,House,11 Pyke Street,-36.769596,144.2853,2025-09-09 17:11:11,16697431,CW-1955-AO,8,0,1,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Furnished, Fireplace(s), Heating, Dishwasher, Shed",https://www.domain.com.au/11-pyke-street-quarry-hill-vic-3550-16697431
16962086,QUARRY HILL,3550,450.0,1955,"Tuesday, 23 September 2025",2025-09-03,6,3,1,,House,2/16A Spring Gully Road,-36.78266,144.2851,2025-09-09 17:11:11,16962086,BI-4051-UW,12,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,,https://www.domain.com.au/2-16a-spring-gully-road-quarry-hill-vic-3550-16962086
17041226,QUARRY HILL,3550,600.0,2607,"Saturday, 04 July 2026",2024-05-31,466,3,1,1.0,House,17 Rodney St,-36.772335,144.28702,2025-09-09 17:11:11,17041226,PK-5369-TK,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Built in wardrobes, Furnished, Heating",https://www.domain.com.au/17-rodney-st-quarry-hill-vic-3550-17041226
17103366,QUARRY HILL,3550,470.0,2042,"Friday, 21 August 2026",2024-07-09,427,2,1,1.0,Apartment / Unit / Flat,10/23 Hallam Street,-36.77388,144.28633,2025-09-09 17:11:11,17103366,TF-5379-GR,8,0,0,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Samantha Lee,Furnished,https://www.domain.com.au/10-23-hallam-street-quarry-hill-vic-3550-17103366
17175722,QUARRY HILL,3550,0.0,2389,"Wednesday, 08 October 2025",2024-08-23,382,2,1,1.0,House,158 Mitchell Street,-36.768097,144.28537,2025-09-09 17:11:11,17175722,CQ-4267-FD,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Secure Parking, Furnished, Heating, Dishwasher, Study",https://www.domain.com.au/158-mitchell-street-quarry-hill-vic-3550-17175722
17442602,QUARRY HILL,3550,0.0,3389,"Friday, 20 March 2026",2025-02-17,204,4,2,2.0,House,30 Echuca Street,-36.772793,144.2844,2025-09-09 17:11:11,17442602,MS-7096-PI,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Secure Parking, Swimming Pool, Furnished, Heating, Dishwasher, Study, Shed, Fully fenced",https://www.domain.com.au/30-echuca-street-quarry-hill-vic-3550-17442602
