listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10518808,RICHMOND,3121,490.0,2129.0,"Wednesday, 08 October 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,209/63 Stawell Street,-37.822014,145.0104,2025-09-09 16:49:53,10518808,BT-2934-LI,7,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Chaya Varsani,"Car Accom: Basement Carspace, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning",https://www.domain.com.au/209-63-stawell-street-richmond-vic-3121-10518808
11665460,RICHMOND,3121,600.0,2607.0,"Friday, 10 October 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,08/180 Lennox Street,-37.81893,144.99416,2025-09-09 16:49:53,11665460,,8,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Pelin Vural,"Car Accom: Single Off-Street Parking, Heating: Gas Ducted Heating, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Oven and Hotplates, Pool/Spa Count: 0",https://www.domain.com.au/08-180-lennox-street-richmond-vic-3121-11665460
15961904,RICHMOND,3121,500.0,2173.0,"Thursday, 04 September 2025",2025-09-04,5,1,1,1.0,Apartment / Unit / Flat,5/8 Davis Street,-37.828606,144.99976,2025-09-09 16:49:53,15961904,LA-8818-JY,4,0,1,False,Apartment,Apartment / Unit / Flat,Thomson ,176,Molly Yuille,,https://www.domain.com.au/5-8-davis-street-richmond-vic-3121-15961904
16555423,RICHMOND,3121,660.0,2868.0,"Wednesday, 08 October 2025",2025-09-08,1,2,1,,House,9 Grattan Pl,-37.820873,144.99026,2025-09-09 16:49:53,16555423,PE-7688-QT,6,0,0,False,House,House,Buyer's Advocate,18698,"Leasing Team, Liz Haughey",,https://www.domain.com.au/9-grattan-pl-richmond-vic-3121-16555423
17744778,RICHMOND,3121,1000.0,4345.0,"Friday, 03 October 2025",2025-09-03,6,2,2,2.0,House,58 Abinger St,-37.820618,145.0028,2025-09-09 16:49:53,17744778,,7,0,0,True,House,House,BigginScott Richmond,3355,"Liam Mulligan, Mike Richardson",,https://www.domain.com.au/58-abinger-st-richmond-vic-3121-17744778
17745504,RICHMOND,3121,1300.0,5649.0,"Thursday, 11 September 2025",2025-09-03,6,3,2,1.0,House,26 Charles St,-37.823936,145.00038,2025-09-09 16:49:53,17745504,,8,0,1,False,House,House,BigginScott Richmond,3355,"Liam Mulligan, Casey Blaine",,https://www.domain.com.au/26-charles-st-richmond-vic-3121-17745504
17745825,RICHMOND,3121,770.0,3345.0,"Monday, 13 October 2025",2025-09-03,6,2,2,2.0,Apartment / Unit / Flat,144/73 River Street,-37.818935,145.01315,2025-09-09 16:49:53,17745825,,10,0,1,False,Apartment,Apartment / Unit / Flat,Hodges South Melbourne,4311,Frazer Downes,,https://www.domain.com.au/144-73-river-street-richmond-vic-3121-17745825
17746639,RICHMOND,3121,1100.0,6600.0,"Thursday, 25 September 2025",2025-09-04,5,3,2,2.0,House,12 Tyson Street,-37.822388,144.99036,2025-09-09 16:49:53,17746639,,6,0,1,False,House,House,BigginScott Richmond,3355,"Liam Mulligan, Jessie Abson",,https://www.domain.com.au/12-tyson-street-richmond-vic-3121-17746639
17747109,RICHMOND,3121,1350.0,8100.0,"Wednesday, 08 October 2025",2025-09-04,5,3,2,2.0,House,2/4-6 Glass Street,-37.823666,145.00505,2025-09-09 16:49:53,17747109,,10,0,1,False,House,House,BigginScott Richmond,3355,"Jade McMorrow, Sandy Kanaksabee",,https://www.domain.com.au/2-4-6-glass-street-richmond-vic-3121-17747109
17749094,RICHMOND,3121,600.0,2607.0,"Friday, 19 September 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,5/38 Burnley Street,-37.813755,145.00914,2025-09-09 16:49:53,17749094,,11,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property Armadale,3703,Xavier Sukra,,https://www.domain.com.au/5-38-burnley-street-richmond-vic-3121-17749094
