listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15810556,RINGWOOD,3134,780,3389,"Tuesday, 07 October 2025",2025-09-08,1,3,2,2,Townhouse,5/13-15 Kendall Street,-37.817654,145.22986,2025-09-09 17:00:35,15810556,,8,0,1,False,Townhouse/Villa,Townhouse,LongView Real Estate,7797,Ella Harris,"Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Ducted Heating, Split System Air Conditioning, Ensuite(s), Courtyard, Deck, Remote Garage",https://www.domain.com.au/5-13-15-kendall-street-ringwood-vic-3134-15810556
17002753,RINGWOOD,3134,710,3085,"Tuesday, 16 September 2025",2025-09-01,8,5,2,2,House,18 Sonia Street,-37.801594,145.24252,2025-09-09 17:00:35,17002753,JG-5704-KI,8,0,0,False,House,House,JRW Property International,21901,JRW  RENTALS DEPARTMENT 4,"Heating, electrical cooktop, Dishwasher, Ensuite, shower",https://www.domain.com.au/18-sonia-street-ringwood-vic-3134-17002753
17647846,RINGWOOD,3134,500,2173,"Tuesday, 01 July 2025",2025-07-01,70,3,1,2,House,140 Wantirna Road,-37.82969,145.2269,2025-09-09 17:00:35,17647846,,5,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Bath, Heating",https://www.domain.com.au/140-wantirna-road-ringwood-vic-3134-17647846
17724393,RINGWOOD,3134,480,2086,"Friday, 19 September 2025",2025-08-20,20,2,1,1,Apartment / Unit / Flat,5/25 Arlington Street,-37.819782,145.22418,2025-09-09 17:00:35,17724393,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Katerina Fountas, Lachlan Wilson","Built in wardrobes, Secure Parking, Heating, Bathtub",https://www.domain.com.au/5-25-arlington-street-ringwood-vic-3134-17724393
17730168,RINGWOOD,3134,640,2781,"Monday, 22 September 2025",2025-08-25,15,3,2,2,House,2 Belle Vue Ave,-37.821205,145.23958,2025-09-09 17:00:35,17730168,,11,0,0,False,House,House,Fletchers Maroondah,23129,Penny Makin,,https://www.domain.com.au/2-belle-vue-ave-ringwood-vic-3134-17730168
17731380,RINGWOOD,3134,510,2216,"Friday, 12 September 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,4/25 Pitt Street,-37.81461,145.23492,2025-09-09 17:00:35,17731380,,10,0,0,False,Apartment,Apartment / Unit / Flat,hockingstuart Ringwood,12997,Samantha O'Regan,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/4-25-pitt-street-ringwood-vic-3134-17731380
17736315,RINGWOOD,3134,660,2868,"Wednesday, 03 September 2025",2025-08-28,12,3,2,2,House,2/20 Maidstone Street,-37.82237,145.2246,2025-09-09 17:00:35,17736315,,9,0,1,False,House,House,Jellis Craig Mount Waverley ,17805,"John Jin, Jayden Hong, Jane Yuan","Bath, Dishwasher, Remote Garage, Built in wardrobes, Shed",https://www.domain.com.au/2-20-maidstone-street-ringwood-vic-3134-17736315
17737794,RINGWOOD,3134,600,2600,"Monday, 22 September 2025",2025-08-29,11,2,2,1,House,107/3-5 Heatherbrae Avenue,-37.814713,145.21817,2025-09-09 17:00:35,17737794,,7,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Balcony / Deck",https://www.domain.com.au/107-3-5-heatherbrae-avenue-ringwood-vic-3134-17737794
17739111,RINGWOOD,3134,550,2390,"Wednesday, 08 October 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,17/9 Browns Avenue,-37.812138,145.22408,2025-09-09 17:00:35,17739111,,7,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Ringwood,14582,Ringwood Leasing,"Air conditioning, Internal Laundry, Built in wardrobes, Dishwasher, Balcony / Deck",https://www.domain.com.au/17-9-browns-avenue-ringwood-vic-3134-17739111
17739188,RINGWOOD,3134,600,2607,"Friday, 05 September 2025",2025-08-29,10,3,2,2,House,1/15 Bourke Street,-37.81306,145.22528,2025-09-09 17:00:35,17739188,,5,0,0,False,House,House,Barry Plant Manningham,7015,"Katerina Fountas, Deep Sareen","Gas, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/1-15-bourke-street-ringwood-vic-3134-17739188
