listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15889337,RINGWOOD EAST,3135,775,3368,"Monday, 27 October 2025",2025-08-29,11,4,2,2.0,House,2/5 Bona Street,-37.809174,145.25227,2025-09-09 17:04:27,15889337,SM-5858-XC,11,0,0,False,House,House,Visser Estate Agents,32440,Jacob Visser,"Internal Laundry, Heating, Fully fenced, Balcony / Deck, Ensuite(s)",https://www.domain.com.au/2-5-bona-street-ringwood-east-vic-3135-15889337
16336743,RINGWOOD EAST,3135,350,620,"Monday, 30 October 2023",2023-02-20,932,1,1,,Apartment / Unit / Flat,Rooms/9 Miller Grove,-37.809544,145.25337,2025-09-09 17:04:27,16336743,,18,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Blackburn,3599,"Cora Lu, Angelica Martinez","Built in wardrobes, Gas, Heating",https://www.domain.com.au/rooms-9-miller-grove-ringwood-east-vic-3135-16336743
17559172,RINGWOOD EAST,3135,690,2998,"Tuesday, 04 November 2025",2025-08-27,13,3,2,2.0,Townhouse,3/27 Kemps Street,-37.80147,145.25055,2025-09-09 17:04:27,17559172,RW-4777-SD,8,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Katerina Fountas, Jane Gao","Internal Laundry, Secure Parking, Shed, Dishwasher, Bathtub, Ducted Heating, Air conditioning, Pets Allowed",https://www.domain.com.au/3-27-kemps-street-ringwood-east-vic-3135-17559172
17667101,RINGWOOD EAST,3135,580,2520,"Monday, 14 July 2025",2025-07-14,57,3,1,2.0,Apartment / Unit / Flat,2/6 Langley Street,-37.81555,145.25226,2025-09-09 17:04:27,17667101,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,Rebekah Titterton,"Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Ducted Heating, Fully fenced, Gas, Outdoor Entertainment Area, Secure Parking",https://www.domain.com.au/2-6-langley-street-ringwood-east-vic-3135-17667101
17726207,RINGWOOD EAST,3135,1300,5649,"Thursday, 21 August 2025",2025-08-21,19,5,2,4.0,House,1 Ruthven Way,-37.80223,145.26021,2025-09-09 17:04:27,17726207,,12,0,0,False,House,House,NOEL JONES MAROONDAH & YARRA RANGES,6242,Kerry Lucas,"Internal Laundry, Secure Parking, Fireplace(s), Heating, Dishwasher, Study, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Swimming Pool, Spa, Close to schools",https://www.domain.com.au/1-ruthven-way-ringwood-east-vic-3135-17726207
17733748,RINGWOOD EAST,3135,610,2651,"Thursday, 25 September 2025",2025-08-27,13,3,2,1.0,House,54A Old Lilydale Road,-37.79821,145.2552,2025-09-09 17:04:27,17733748,,6,0,0,False,House,House,Ray White Blackburn,4665,Narelle Poloso,"Gas, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/54a-old-lilydale-road-ringwood-east-vic-3135-17733748
17745309,RINGWOOD EAST,3135,575,2498,"Friday, 10 October 2025",2025-09-03,6,2,1,1.0,House,2 French Street,-37.811874,145.24593,2025-09-09 17:04:27,17745309,,6,0,0,False,House,House,Jellis Craig Maroondah,4081,"Mark Hewett, Tina Dekas","Gas, Internal Laundry, Bath, Air conditioning, Split System Air Con, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Heating, Remote Garage",https://www.domain.com.au/2-french-street-ringwood-east-vic-3135-17745309
17746279,RINGWOOD EAST,3135,550,2390,"Saturday, 06 September 2025",2025-09-03,5,3,1,2.0,House,46 Hender Street,-37.81912,145.26039,2025-09-09 17:04:27,17746279,,8,0,0,False,House,House,Barry Plant Heathmont & Ringwood,12114,Rental Department,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Air conditioning, Close to transport, Close to schools, Fully fenced",https://www.domain.com.au/46-hender-street-ringwood-east-vic-3135-17746279
17749662,RINGWOOD EAST,3135,620,2694,"Thursday, 25 September 2025",2025-09-05,4,3,1,2.0,House,36 Heathwood Street,-37.82301,145.25815,2025-09-09 17:04:27,17749662,,10,0,2,False,House,House,Jellis Craig Maroondah,4081,"Mark Hewett, Tina Dekas","Bath, Air conditioning, Dishwasher, Ducted Heating, Evaporative Cooling, Floorboards, Secure Parking",https://www.domain.com.au/36-heathwood-street-ringwood-east-vic-3135-17749662
17752136,RINGWOOD EAST,3135,675,2933,"Friday, 17 October 2025",2025-09-08,1,2,2,2.0,Apartment / Unit / Flat,1/1 Evon Street,-37.803787,145.2575,2025-09-09 17:04:27,17752136,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Maroondah,4081,"Bill Vlahos, Tina Dekas","Internal Laundry, Balcony / Deck, Split System Air Con, Split System Heating, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Heating, Floorboards, Garden / Courtyard, Shed, Pets Allowed",https://www.domain.com.au/1-1-evon-street-ringwood-east-vic-3135-17752136
17752589,RINGWOOD EAST,3135,750,3258,"Wednesday, 10 September 2025",2025-09-09,0,4,2,,House,14 Rotherwood Avenue,-37.822872,145.25648,2025-09-09 17:04:27,17752589,,6,0,0,False,House,House,Jellis Craig Maroondah,4081,"Mark Hewett, Tina Dekas","Internal Laundry, Bath, Dishwasher, Air conditioning, Split System Heating, Split System Air Con",https://www.domain.com.au/14-rotherwood-avenue-ringwood-east-vic-3135-17752589
