listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17598583,ROSANNA,3084,670,2911,"Friday, 30 May 2025",2025-05-30,102,4,1,3,House,152 Rosanna Road,-37.745903,145.07185,2025-09-09 16:32:26,17598583,6,0,0,False,House,House,McGrath Northcote,5484,Melanie Podrebarac,"Close to transport, Close to shops, Pets Allowed, Close to schools, Openable Windows, Ducted Heating, Polished floorboards",https://www.domain.com.au/152-rosanna-road-rosanna-vic-3084-17598583
17633384,ROSANNA,3084,580,2520,"Thursday, 26 June 2025",2025-06-23,78,3,1,1,House,36 Silk Street,-37.73357,145.07507,2025-09-09 16:32:26,17633384,4,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Jessica Bryceson,"Internal Laundry, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Built in wardrobes, Dishwasher, Gas",https://www.domain.com.au/36-silk-street-rosanna-vic-3084-17633384
17665285,ROSANNA,3084,495,2150,"Saturday, 19 July 2025",2025-07-11,60,2,1,1,Apartment / Unit / Flat,1/11 Silk Street,-37.73514,145.07594,2025-09-09 16:32:26,17665285,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,"Maria Psarras, Michelle De Luca","Internal Laundry, Garden / Courtyard",https://www.domain.com.au/1-11-silk-street-rosanna-vic-3084-17665285
17684407,ROSANNA,3084,630,2738,"Monday, 25 August 2025",2025-07-24,47,3,2,2,House,1/77 Invermay Grove,-37.744473,145.05882,2025-09-09 16:32:26,17684407,8,0,1,False,House,House,Fletchers Canterbury,3923,"Alexandra Graziano, Fletchers Property Management",,https://www.domain.com.au/1-77-invermay-grove-rosanna-vic-3084-17684407
17700923,ROSANNA,3084,450,1955,"Thursday, 21 August 2025",2025-08-05,35,2,1,1,Apartment / Unit / Flat,3/302 Lower Plenty Road,-37.73543,145.0784,2025-09-09 16:32:26,17700923,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Sabrina Rechichi,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/3-302-lower-plenty-road-rosanna-vic-3084-17700923
17710127,ROSANNA,3084,730,3172,"Friday, 29 August 2025",2025-08-11,29,3,2,2,Townhouse,2/178 Waiora Road,-37.73417,145.0606,2025-09-09 16:32:26,17710127,11,0,0,False,Townhouse/Villa,Townhouse,Dawson Real Estate,27541,Adam Foley,"Internal Laundry, Fully fenced, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/2-178-waiora-road-rosanna-vic-3084-17710127
17720893,ROSANNA,3084,600,2607,"Thursday, 18 September 2025",2025-08-18,21,2,1,1,Apartment / Unit / Flat,3/48 Hillside Road,-37.745186,145.06505,2025-09-09 16:32:26,17720893,10,0,1,False,Apartment,Apartment / Unit / Flat,Walshe & Whitelock Pty Ltd,29046,Joe Pollina,"Internal Laundry, Secure Parking, Air conditioning, Heating",https://www.domain.com.au/3-48-hillside-road-rosanna-vic-3084-17720893
17722807,ROSANNA,3084,800,3477,"Tuesday, 19 August 2025",2025-08-19,20,3,2,2,Townhouse,137 Rosanna Road,-37.746708,145.0711,2025-09-09 16:32:26,17722807,17,0,1,False,Townhouse/Villa,Townhouse,Nic Power,38963,Danny Lam,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating, Study",https://www.domain.com.au/137-rosanna-road-rosanna-vic-3084-17722807
17740598,ROSANNA,3084,600,2607,"Saturday, 13 September 2025",2025-09-01,8,3,1,2,House,202 Rosanna Road,-37.74178,145.07344,2025-09-09 16:32:26,17740598,7,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Linh Truong,"Gas, Bath, Fireplace(s), Heating, Balcony / Deck, Air conditioning, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/202-rosanna-road-rosanna-vic-3084-17740598
17742266,ROSANNA,3084,850,3693,"Tuesday, 02 September 2025",2025-09-02,7,3,2,2,Townhouse,2/17 Coorie Cres,-37.744766,145.07492,2025-09-09 16:32:26,17742266,8,0,0,False,Townhouse/Villa,Townhouse,Lewis Real Estate - Heidelberg,38534,Amelie Cutinelli,"Air conditioning, Internal Laundry, Secure Parking, Broadband internet access, Study",https://www.domain.com.au/2-17-coorie-cres-rosanna-vic-3084-17742266
17743467,ROSANNA,3084,595,2585,"Saturday, 13 September 2025",2025-09-02,7,3,1,1,House,24 Hillside Road,-37.745865,145.06316,2025-09-09 16:32:26,17743467,6,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Alana Akkari,"Built in wardrobes, Secure Parking, Dishwasher, Study, Air conditioning, Garden / Courtyard, Outdoor Entertainment Area, Floorboards",https://www.domain.com.au/24-hillside-road-rosanna-vic-3084-17743467
17744592,ROSANNA,3084,800,3476,"Friday, 26 September 2025",2025-09-03,6,4,1,3,House,178 Beverley Road,-37.743668,145.08014,2025-09-09 16:32:26,17744592,9,0,0,False,House,House,McGrath Northcote,5484,Janelle De Iesi,"Air conditioning, Built in wardrobes, Close to transport, Close to shops, Pets Allowed, Close to schools, Carpeted, Openable Windows, Ducted Heating, Polished floorboards, Dishwasher",https://www.domain.com.au/178-beverley-road-rosanna-vic-3084-17744592
17751603,ROSANNA,3084,550,2389,"Monday, 08 September 2025",2025-09-08,1,2,2,1,Apartment / Unit / Flat,8/19 Lower Plenty Road,-37.74579,145.05956,2025-09-09 16:32:26,17751603,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Maria Psarras,"Built in wardrobes, Internal Laundry, Secure Parking, Heating, Air conditioning, Garden / Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/8-19-lower-plenty-road-rosanna-vic-3084-17751603
