listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16318223,ROSEBUD,3939,570.0,2477.0,"Wednesday, 10 September 2025",2025-08-28,12,3,2,4.0,House,161 Eastbourne Road,-38.368004,144.8994,2025-09-09 16:35:54,16318223,SB-5539-EE,14,0,1,False,House,House,Ray White Rosebud,16668,"Lily Wallis, Rosebud Property Management",Ensuite,https://www.domain.com.au/161-eastbourne-road-rosebud-vic-3939-16318223
16444245,ROSEBUD,3939,450.0,1950.0,"Monday, 08 September 2025",2025-09-01,8,2,1,1.0,House,184 Seventh Avenue,-38.36642,144.90152,2025-09-09 16:35:54,16444245,XT-7882-UU,6,0,0,False,House,House,Ray White Rosebud,16668,"Lily Wallis, Rosebud Property Management",Shed,https://www.domain.com.au/184-seventh-avenue-rosebud-vic-3939-16444245
17130332,ROSEBUD,3939,520.0,2260.0,"Friday, 19 September 2025",2025-08-13,27,2,2,1.0,Apartment / Unit / Flat,2/178 Eastbourne Road,-38.36768,144.90593,2025-09-09 16:35:54,17130332,,6,1,1,False,Apartment,Apartment / Unit / Flat,Ray White Rosebud,16668,"Celeste Little, Rosebud Property Management","Gas, Heating, Dishwasher, Air conditioning, Ensuite, Built in wardrobes, Secure Parking",https://www.domain.com.au/2-178-eastbourne-road-rosebud-vic-3939-17130332
17631816,ROSEBUD,3939,475.0,2064.0,"Tuesday, 19 August 2025",2025-08-06,33,2,1,3.0,House,29 Leon Avenue,-38.362015,144.9133,2025-09-09 16:35:54,17631816,,8,0,1,False,House,House,Woodards - Flynn & Co Peninsula,37046,"Corey Mears, Pamela Denny",,https://www.domain.com.au/29-leon-avenue-rosebud-vic-3939-17631816
17666934,ROSEBUD,3939,680.0,2955.0,"Wednesday, 06 August 2025",2025-07-14,57,3,2,2.0,Townhouse,2/2a Pengana Street,-38.35518,144.91574,2025-09-09 16:35:54,17666934,,14,0,1,False,Townhouse/Villa,Townhouse,YPA Dromana,32856,"Nic Apostolidis, Nancy Crupi","Gas, Bath, Heating, Dishwasher",https://www.domain.com.au/2-2a-pengana-street-rosebud-vic-3939-17666934
17696130,ROSEBUD,3939,430.0,1868.0,"Tuesday, 05 August 2025",2025-08-01,39,2,1,2.0,Apartment / Unit / Flat,5/29 McDowell Street,-38.357258,144.90553,2025-09-09 16:35:54,17696130,,6,1,1,False,Apartment,Apartment / Unit / Flat,Ray White Rosebud,16668,"Thomas Ryan, Rosebud Property Management",Built in wardrobes,https://www.domain.com.au/5-29-mcdowell-street-rosebud-vic-3939-17696130
17712358,ROSEBUD,3939,580.0,2520.0,"Tuesday, 12 August 2025",2025-08-12,27,3,1,2.0,House,16 Murrowong Avenue,-38.365826,144.89343,2025-09-09 16:35:54,17712358,,13,0,0,False,House,House,Belle Property Dromana,32621,"Leanne Devlin, Liliana Patane","Air conditioning, Fireplace(s), Heating, Balcony / Deck",https://www.domain.com.au/16-murrowong-avenue-rosebud-vic-3939-17712358
17716116,ROSEBUD,3939,525.0,2281.0,"Friday, 22 August 2025",2025-08-14,26,3,1,2.0,House,12 Leisure Way North,-38.37441,144.91238,2025-09-09 16:35:54,17716116,,7,0,0,False,House,House,Belle Property Dromana,32621,"Bridget Speirs, Liliana Patane","Air conditioning, Built in wardrobes, Bath, Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/12-leisure-way-north-rosebud-vic-3939-17716116
17723414,ROSEBUD,3939,530.0,2303.0,"Thursday, 28 August 2025",2025-08-20,20,4,1,6.0,House,136 Jetty Road,-38.36257,144.90865,2025-09-09 16:35:54,17723414,,7,1,0,False,House,House,Ray White Rosebud,16668,"Thomas Ryan, Rosebud Property Management","Internal Laundry, Bath, Heating, Air conditioning, Floorboards, Secure Parking, Balcony / Deck",https://www.domain.com.au/136-jetty-road-rosebud-vic-3939-17723414
17723994,ROSEBUD,3939,495.0,2151.0,"Thursday, 21 August 2025",2025-08-20,20,3,1,2.0,House,150 Seventh Ave,-38.364784,144.90155,2025-09-09 16:35:54,17723994,,6,0,1,False,House,House,Ray White Rosebud,16668,"Laura Vidotto, Rosebud Property Management","Internal Laundry, Heating",https://www.domain.com.au/150-seventh-ave-rosebud-vic-3939-17723994
17725355,ROSEBUD,3939,485.0,2107.0,"Thursday, 21 August 2025",2025-08-21,19,2,1,2.0,House,3/77 Jetty Road,-38.362186,144.9096,2025-09-09 16:35:54,17725355,,7,0,1,False,House,House,Ray White Rosebud,16668,"Laura Vidotto, Rosebud Property Management","Air conditioning, Built in wardrobes, Internal Laundry, Pets Allowed, Gas, Bath, Heating, Secure Parking, Garden / Courtyard, Close to schools, Close to shops, Close to beach, Close to transport",https://www.domain.com.au/3-77-jetty-road-rosebud-vic-3939-17725355
17737735,ROSEBUD,3939,530.0,2303.0,"Monday, 01 September 2025",2025-08-29,11,3,1,3.0,House,336 Eastbourne Rd,-38.36722,144.89159,2025-09-09 16:35:54,17737735,,6,0,0,False,House,House,Basso Real Estate,26379,Jessica Haines,"Air conditioning, Internal Laundry, Bath",https://www.domain.com.au/336-eastbourne-rd-rosebud-vic-3939-17737735
17739172,ROSEBUD,3939,410.0,1782.0,"Friday, 29 August 2025",2025-08-29,10,1,1,2.0,Studio,39A Bass Avenue,-38.37107,144.91081,2025-09-09 16:35:54,17739172,,5,0,0,False,Apartment,Studio,Belle Property Dromana,32621,"Ben Curtis, Liliana Patane",,https://www.domain.com.au/39a-bass-avenue-rosebud-vic-3939-17739172
17740761,ROSEBUD,3939,650.0,2600.0,"Wednesday, 15 October 2025",2025-09-01,8,2,2,1.0,Apartment / Unit / Flat,101/866 Point Nepean Rd,-38.35402,144.9093,2025-09-09 16:35:54,17740761,,10,0,1,False,Apartment,Apartment / Unit / Flat, Exclusive Property Management,37735,Caroline Masik,"Internal Laundry, Secure Parking, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/101-866-point-nepean-rd-rosebud-vic-3939-17740761
17742363,ROSEBUD,3939,640.0,2868.0,"Friday, 03 October 2025",2025-09-02,7,3,2,2.0,House,67 Fairway Grove,-38.36694,144.91724,2025-09-09 16:35:54,17742363,,6,0,0,False,House,House,Woodards - Flynn & Co Peninsula,37046,Corey Mears,"Air conditioning, Heating, Dishwasher",https://www.domain.com.au/67-fairway-grove-rosebud-vic-3939-17742363
17747369,ROSEBUD,3939,650.0,2824.0,"Thursday, 16 October 2025",2025-09-04,5,3,2,2.0,House,2/34 Mark St,-38.358654,144.91064,2025-09-09 16:35:54,17747369,,10,0,0,False,House,House,Peninsula Sales & Leasing,35026,"Melissa Sarmiento, Belinda Lowe","Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/2-34-mark-st-rosebud-vic-3939-17747369
17749582,ROSEBUD,3939,420.0,1825.0,"Wednesday, 10 September 2025",2025-09-05,4,2,1,1.0,House,2/80 Boneo Road,-38.367146,144.88907,2025-09-09 16:35:54,17749582,,7,1,0,False,House,House,Ray White Rosebud,16668,"Thomas Ryan, Rosebud Property Management","Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/2-80-boneo-road-rosebud-vic-3939-17749582
