listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15114095,ROWVILLE,3178,600,2600.0,"Wednesday, 10 September 2025",2025-08-15,24.0,2,1,1,Apartment / Unit / Flat,1/17 Lambourne Avenue,-37.912064,145.26949,2025-09-09 16:44:30,15114095.0,RB-9197-JE,10.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Built in wardrobes, Gas, Heating, Dishwasher, Shed",https://www.domain.com.au/1-17-lambourne-avenue-rowville-vic-3178-15114095
15957853,ROWVILLE,3178,500,2173.0,"Monday, 18 August 2025",2025-07-16,55.0,2,1,1,Apartment / Unit / Flat,109/1165 Stud Road,-37.926487,145.2342,2025-09-09 16:44:30,15957853.0,NX-7249-NC,7.0,0.0,0.0,False,Apartment,Apartment / Unit / Flat,Ray White Wantirna,16586.0,Elle Leonhardt,"Internal Laundry, Air conditioning, Floorboards, Intercom, Built in wardrobes, Heating, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/109-1165-stud-road-rowville-vic-3178-15957853
16425260,ROWVILLE,3178,720,3129.0,"Monday, 22 September 2025",2025-09-02,7.0,4,3,2,House,1/2 Weeks Close,-37.921417,145.26532,2025-09-09 16:44:30,16425260.0,TP-6850-BW,12.0,0.0,0.0,False,House,House,Milestone Real Estate,34380.0,Silky Jolly,"Air conditioning, Built in wardrobes, Secure Parking, Balcony / Deck, Ensuite",https://www.domain.com.au/1-2-weeks-close-rowville-vic-3178-16425260
17037516,ROWVILLE,3178,700,3042.0,"Wednesday, 10 September 2025",2025-08-14,26.0,4,2,2,House,23 Westminster Dr,-37.929714,145.24214,2025-09-09 16:44:30,17037516.0,OG-7992-JG,9.0,0.0,0.0,False,House,House,Eighth Quarter Real Estate,22013.0,"Jane Huang, Joseph Yu","Air conditioning, Bath, Fireplace(s), Heating, Dishwasher, Shed",https://www.domain.com.au/23-westminster-dr-rowville-vic-3178-17037516
17120576,ROWVILLE,3178,520,2260.0,"Monday, 01 September 2025",2025-08-25,14.0,2,1,1,Townhouse,7/39 Stamford Crescent,-37.92122,145.233,2025-09-09 16:44:30,17120576.0,LR-3268-XF,8.0,0.0,0.0,False,Townhouse/Villa,Townhouse,"Barry Plant Noble Park, Keysborough & Dandenong",17354.0,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage, Secure Parking",https://www.domain.com.au/7-39-stamford-crescent-rowville-vic-3178-17120576
17657535,ROWVILLE,3178,650,2816.0,"Wednesday, 10 September 2025",2025-07-08,63.0,4,2,2,House,6 Arnhem Court,-37.912876,145.25908,2025-09-09 16:44:30,17657535.0,,7.0,1.0,0.0,False,House,House,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Gas, Heating, Dishwasher, Shed",https://www.domain.com.au/6-arnhem-court-rowville-vic-3178-17657535
17683766,ROWVILLE,3178,750,3259.0,"Thursday, 31 July 2025",2025-07-24,47.0,5,2,4,House,5 Delatite Court,-37.914158,145.2587,2025-09-09 16:44:30,17683766.0,,11.0,0.0,1.0,False,House,House,Barry Plant Rowville,5033.0,"Thiru Siva, Hina Hazara","Air conditioning, Close to transport, Close to shops, Close to schools, Study",https://www.domain.com.au/5-delatite-court-rowville-vic-3178-17683766
17694535,ROWVILLE,3178,590,2556.0,"Sunday, 31 August 2025",2025-07-31,40.0,3,2,1,House,4 Manson Court,-37.921505,145.23126,2025-09-09 16:44:30,17694535.0,,6.0,0.0,0.0,False,House,House,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/4-manson-court-rowville-vic-3178-17694535
17711980,ROWVILLE,3178,500,2173.0,"Wednesday, 03 September 2025",2025-08-12,28.0,2,1,1,House,118/1165 Stud Rd,-37.926487,145.2342,2025-09-09 16:44:30,17711980.0,,6.0,0.0,0.0,False,House,House,Ray White Ferntree Gully,7876.0,Ray White Rental Centre,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/118-1165-stud-rd-rowville-vic-3178-17711980
17732014,ROWVILLE,3178,630,2738.0,"Monday, 29 September 2025",2025-08-26,14.0,3,2,1,House,43 Valleyview Drive,-37.907185,145.24956,2025-09-09 16:44:30,17732014.0,,10.0,0.0,0.0,False,House,House,Barry Plant Rowville,5033.0,"Thiru Siva, Tamara Ingpen","Close to transport, Close to shops, Close to schools",https://www.domain.com.au/43-valleyview-drive-rowville-vic-3178-17732014
