listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17068385,ROXBURGH PARK,3064,480.0,2086,"Friday, 22 August 2025",2025-08-12,28,3,2,2,Apartment / Unit / Flat,9/7 Whiltshire Drive,-37.634827,144.91739,2025-09-09 16:47:16,17068385,QV-2401-SF,10,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/9-7-whiltshire-drive-roxburgh-park-vic-3064-17068385
17635163,ROXBURGH PARK,3064,550.0,2390,"Monday, 30 June 2025",2025-06-24,77,4,2,6,House,10 Woods Place,-37.629436,144.91954,2025-09-09 16:47:16,17635163,,8,0,2,False,House,House,Harcourts Rata & Co,30123,Jennifer Wilson,"Gas, Internal Laundry, Built in wardrobes, Close to shops, Close to schools, Ensuite, Openable Windows, Dishwasher, Outdoor Entertaining Area",https://www.domain.com.au/10-woods-place-roxburgh-park-vic-3064-17635163
17690883,ROXBURGH PARK,3064,750.0,3259,"Tuesday, 29 July 2025",2025-07-29,42,5,2,3,House,14 Hawker Avenue,-37.624836,144.92532,2025-09-09 16:47:16,17690883,,15,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Bath, Dishwasher, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/14-hawker-avenue-roxburgh-park-vic-3064-17690883
17693416,ROXBURGH PARK,3064,710.0,3085,"Tuesday, 29 July 2025",2025-07-30,40,3,3,1,House,46 Arena Avenue,-37.621483,144.91666,2025-09-09 16:47:16,17693416,,29,0,0,False,House,House,M&K Investment Solutions,38179,,"Fully fenced, Outdoor Entertainment Area, Remote Garage, Alarm System, Built in wardrobes, Dishwasher, Floorboards, Intercom, Air conditioning, Ducted Heating, Reverse Cycle Air Conditioning, Pets Allowed",https://www.domain.com.au/46-arena-avenue-roxburgh-park-vic-3064-17693416
17696228,ROXBURGH PARK,3064,495.0,2151,"Friday, 29 August 2025",2025-08-01,39,2,2,1,Townhouse,12 Belle Walk,-37.63213,144.93112,2025-09-09 16:47:16,17696228,,11,0,0,False,Townhouse/Villa,Townhouse,Kay & Burton Stonnington,88,Jonathan Boon,"Balcony, Ensuite, Secure Parking, Split System AirCon, Split System Heating",https://www.domain.com.au/12-belle-walk-roxburgh-park-vic-3064-17696228
17696383,ROXBURGH PARK,3064,460.0,1999,"Saturday, 16 August 2025",2025-08-01,39,3,1,1,House,12 Haite Place,-37.636497,144.92181,2025-09-09 16:47:16,17696383,,10,0,0,False,House,House,Barry Plant Craigieburn,15326,Melissa Chatfield,"Built in wardrobes, Bath, Heating",https://www.domain.com.au/12-haite-place-roxburgh-park-vic-3064-17696383
17704826,ROXBURGH PARK,3064,550.0,2390,"Wednesday, 06 August 2025",2025-08-07,33,4,2,5,House,13 Rostron Way,-37.63051,144.918,2025-09-09 16:47:16,17704826,,10,0,0,False,House,House,Merri-bek Real Estate,37342,Charbel Kattoura,"Shed, Ensuite, Built in wardrobes, Air-Conditioner, Split System Heating, Outdoor Entertainment",https://www.domain.com.au/13-rostron-way-roxburgh-park-vic-3064-17704826
17709519,ROXBURGH PARK,3064,510.0,2217,"Wednesday, 13 August 2025",2025-08-11,29,3,1,3,House,10 Parkinson Way,-37.639164,144.9263,2025-09-09 16:47:16,17709519,,18,0,1,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Ebony Montebello","Heating, Built in wardrobes, Internal Laundry, Bath, Secure Parking, Shed, Garden / Courtyard",https://www.domain.com.au/10-parkinson-way-roxburgh-park-vic-3064-17709519
17710455,ROXBURGH PARK,3064,595.0,2585,"Monday, 11 August 2025",2025-08-11,28,4,2,3,House,22 Edgewood Road,-37.612053,144.92627,2025-09-09 16:47:16,17710455,,17,0,0,False,House,House,Barry Plant Glenroy,11897,Aiesha Khoder,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/22-edgewood-road-roxburgh-park-vic-3064-17710455
17716655,ROXBURGH PARK,3064,575.0,2490,"Friday, 05 September 2025",2025-08-15,25,4,2,2,House,6 Hollywood Drive,-37.621544,144.92874,2025-09-09 16:47:16,17716655,,6,0,0,False,House,House,Living Melbourne Property,29950,Megan Giouzelis,"Secure Parking, Heating",https://www.domain.com.au/6-hollywood-drive-roxburgh-park-vic-3064-17716655
17723500,ROXBURGH PARK,3064,630.0,2738,"Monday, 25 August 2025",2025-08-20,20,4,2,2,House,3 Serpens Court,-37.62145,144.93669,2025-09-09 16:47:16,17723500,,17,0,0,False,House,House,LJ Hooker Craigieburn,20696,Aiden Be-Hanna,"Built in wardrobes, Dishwasher, Heating, Air conditioning, Intercom, Remote Garage, Shed, Solar panels, Ensuite",https://www.domain.com.au/3-serpens-court-roxburgh-park-vic-3064-17723500
17727477,ROXBURGH PARK,3064,500.0,2173,"Friday, 19 September 2025",2025-08-22,18,3,2,2,Townhouse,8 Fouz Street,-37.621105,144.93039,2025-09-09 16:47:16,17727477,,6,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,Melissa Di Blasio,"Gas, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Openable Windows, Cooling, Split System Cooling",https://www.domain.com.au/8-fouz-street-roxburgh-park-vic-3064-17727477
17730248,ROXBURGH PARK,3064,600.0,2600,"Monday, 25 August 2025",2025-08-25,15,4,2,2,House,12 Delphinius Crescent,-37.625942,144.93532,2025-09-09 16:47:16,17730248,,7,0,0,False,House,House,YPA Hume City,12708,Gonul Yesilkaya,"Built in wardrobes, Close to schools, Close to shops, Close to transport, Ensuite, Heating",https://www.domain.com.au/12-delphinius-crescent-roxburgh-park-vic-3064-17730248
17736816,ROXBURGH PARK,3064,505.0,2195,"Wednesday, 24 September 2025",2025-08-28,12,3,2,1,House,11 Judge Place,-37.63462,144.92604,2025-09-09 16:47:16,17736816,,4,0,0,False,House,House,YPA Hume City,12708,Payal Payal,"Built in wardrobes, Heating",https://www.domain.com.au/11-judge-place-roxburgh-park-vic-3064-17736816
17738928,ROXBURGH PARK,3064,495.0,2151,"Friday, 29 August 2025",2025-08-29,11,2,2,1,House,14 Belle Walk,-37.632084,144.9311,2025-09-09 16:47:16,17738928,,13,0,0,False,House,House,Kay & Burton Stonnington,88,Jonathan Boon,"Balcony, Secure Parking, Split System AirCon, Split System Heating",https://www.domain.com.au/14-belle-walk-roxburgh-park-vic-3064-17738928
