listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14150869,RYE,3941,640.0,2780.0,"Friday, 17 October 2025",2025-09-08,0.0,4,3,2.0,House,109 Brights Drive,-38.38319,144.83583,2025-09-09 16:58:35,14150869,RI-9257-QU,14.0,0.0,0.0,False,House,House,Raine&Horne Shoreline,32633.0,Courtney Hillis,"Secure Parking, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Gas, Bath, Fireplace(s), Heating, Dishwasher, Fully fenced, Balcony / Deck, Garden / Courtyard, Solar panels",https://www.domain.com.au/109-brights-drive-rye-vic-3941-14150869
16571797,RYE,3941,450.0,1955.0,"Monday, 01 September 2025",2025-08-25,15.0,2,1,,Apartment / Unit / Flat,4/16 Shirlow,-38.373886,144.83656,2025-09-09 16:58:35,16571797,KY-8345-JQ,7.0,1.0,0.0,False,Apartment,Apartment / Unit / Flat,Hodges Rye,12438.0,Shelley Clack,Secure Parking,https://www.domain.com.au/4-16-shirlow-rye-vic-3941-16571797
16781967,RYE,3941,550.0,2390.0,"Friday, 20 September 2024",2025-08-26,14.0,2,1,1.0,House,1/2A Government Road,-38.371464,144.83324,2025-09-09 16:58:35,16781967,EJ-8643-OT,6.0,0.0,0.0,False,House,House,Hodges Rye,12438.0,Shelley Clack,"Secure Parking, Furnished",https://www.domain.com.au/1-2a-government-road-rye-vic-3941-16781967
16981385,RYE,3941,600.0,2607.0,"Friday, 26 September 2025",2025-08-25,15.0,4,2,2.0,House,Gordon St,-38.367302,144.79634,2025-09-09 16:58:35,16981385,SU-0192-JR,12.0,0.0,0.0,False,House,House,Mornington Peninsula Rentals,30582.0,Jacqui Mark,"Pets Allowed, Shed, Deck, Outdoor Entertaining, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Con, Split-System Heating",https://www.domain.com.au/gordon-st-rye-vic-3941-16981385
17120984,RYE,3941,680.0,2955.0,"Friday, 17 October 2025",2025-09-02,7.0,4,3,2.0,House,41 Becket Street,-38.375217,144.79169,2025-09-09 16:58:35,17120984,OA-7482-SK,18.0,0.0,1.0,False,House,House,Raine&Horne Shoreline,32633.0,Courtney Hillis,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Fireplace(s), Heating, Dishwasher, Study, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard, North Facing",https://www.domain.com.au/41-becket-street-rye-vic-3941-17120984
17176988,RYE,3941,500.0,2173.0,"Wednesday, 29 October 2025",2025-09-04,5.0,3,1,3.0,House,Rosyth Rd,-38.37729,144.82002,2025-09-09 16:58:35,17176988,KB-2056-TF,7.0,0.0,0.0,False,House,House,Mornington Peninsula Rentals,30582.0,Jacqui Mark,"Internal Laundry, Bath, Shed, Fully fenced, Built in wardrobes, Floorboards, Split-System Air Con",https://www.domain.com.au/rosyth-rd-rye-vic-3941-17176988
17435801,RYE,3941,899.0,3000.0,"Sunday, 01 February 2026",2025-02-11,209.0,2,1,4.0,House,,-38.39651,144.80147,2025-09-09 16:58:35,17435801,AK-2336-IV,19.0,0.0,0.0,False,House,House,No Agent Property ,20869.0,No Agent Property - VIC,"Internal Laundry, Heating, Air conditioning, Fireplace(s), Furnished, Floorboards, Garden Shed, Pets Allowed, Broadband, Dishwasher, Balcony, Courtyard, Deck, Fully fenced",https://www.domain.com.au/rye-vic-3941-17435801
17548559,RYE,3941,570.0,2477.0,"Wednesday, 20 August 2025",2025-08-20,20.0,3,1,,House,28 Doe Street,-38.37747,144.7923,2025-09-09 16:58:35,17548559,QC-4181-GG,10.0,0.0,0.0,False,House,House,YPA Estate Agents Mornington Peninsula,17695.0,Jessica Trahar,"Internal Laundry, Furnished, Bath, Dishwasher, Balcony / Deck",https://www.domain.com.au/28-doe-street-rye-vic-3941-17548559
17624956,RYE,3941,950.0,5700.0,"Tuesday, 01 July 2025",2025-06-17,84.0,4,2,2.0,House,106 Creedmore Drive,-38.384712,144.81888,2025-09-09 16:58:35,17624956,,10.0,0.0,1.0,False,House,House,Marshall White Mornington Peninsula,33982.0,"Kate Morgan, Ashleigh Bird",,https://www.domain.com.au/106-creedmore-drive-rye-vic-3941-17624956
17735713,RYE,3941,499.0,2168.0,"Tuesday, 02 September 2025",2025-08-27,12.0,3,2,2.0,House,14 Norma Ave,-38.367756,144.80145,2025-09-09 16:58:35,17735713,,18.0,0.0,1.0,False,House,House,Belle Property Blairgowrie,22788.0,"Nicole Bradler, Jasmine Smith",,https://www.domain.com.au/14-norma-ave-rye-vic-3941-17735713
