listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16699911,SALE,3850,400,1738.0,"Wednesday, 24 September 2025",2025-09-01,8,2,1,1.0,House,120 Dawson St,-38.094032,147.07074,2025-09-09 17:05:53,16699911,ZS-0838-BX,7,0,1,False,House,House,Wellington Real Estate Pty Ltd,15011,Jordan McGregor,"Bath, Air conditioning, Secure Parking, Balcony / Deck, Fully fenced, Built in wardrobes, Floorboards, Internal Laundry",https://www.domain.com.au/120-dawson-st-sale-vic-3850-16699911
17717518,SALE,3850,360,1564.0,"Thursday, 18 September 2025",2025-08-15,25,2,1,1.0,House,1/20 Trood St,-38.091953,147.07208,2025-09-09 17:05:53,17717518,,6,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Matthew Fitzgerald,"Shed, Fully fenced, Internal Laundry",https://www.domain.com.au/1-20-trood-st-sale-vic-3850-17717518
17718362,SALE,3850,450,1950.0,"Friday, 15 August 2025",2025-08-15,24,3,1,1.0,House,38 McCole Street,-38.09487,147.07399,2025-09-09 17:05:53,17718362,,8,0,0,False,House,House,Ross Maddaluno Real Estate,6924,,,https://www.domain.com.au/38-mccole-street-sale-vic-3850-17718362
17719884,SALE,3850,515,2060.0,"Thursday, 09 October 2025",2025-08-18,22,3,2,2.0,Townhouse,8/121 Marley Street,-38.101532,147.06973,2025-09-09 17:05:53,17719884,,1,0,0,False,Townhouse/Villa,Townhouse,Alex Scott & Staff Sale,36265,Rod Anderson,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/8-121-marley-street-sale-vic-3850-17719884
17726462,SALE,3850,400,1738.0,"Wednesday, 01 October 2025",2025-08-21,19,3,1,1.0,House,9 Pine Grove,-38.096447,147.06996,2025-09-09 17:05:53,17726462,,6,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Matthew Fitzgerald,Shed,https://www.domain.com.au/9-pine-grove-sale-vic-3850-17726462
17728792,SALE,3850,530,2303.0,"Friday, 05 September 2025",2025-08-22,17,4,2,2.0,House,25 Woondella Boulevard,-38.086414,147.05638,2025-09-09 17:05:53,17728792,,12,0,1,False,House,House,Harcourts Cranbourne,8515,Cranbourne Rental Department,"Gas, Secure Parking, Heating, Ensuite, Built in wardrobes, Dishwasher, Shed, Fully fenced",https://www.domain.com.au/25-woondella-boulevard-sale-vic-3850-17728792
17733475,SALE,3850,320,1390.0,"Monday, 29 September 2025",2025-08-27,13,2,1,1.0,House,3/22 McCole St,-38.09624,147.07364,2025-09-09 17:05:53,17733475,,5,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Candice McGarry,"Air conditioning, Garden / Courtyard, Fully fenced, Built in wardrobes, Floorboards, Internal Laundry",https://www.domain.com.au/3-22-mccole-st-sale-vic-3850-17733475
17733718,SALE,3850,460,1998.0,"Tuesday, 16 September 2025",2025-08-27,13,3,2,,House,148 Market Street,-38.09942,147.07231,2025-09-09 17:05:53,17733718,,7,0,0,False,House,House,Gippsland Real Estate,20139,"Chloe Downie, Jarrod Freeman","Air conditioning, Built in wardrobes, Heating, Study, Shed",https://www.domain.com.au/148-market-street-sale-vic-3850-17733718
17735456,SALE,3850,400,1738.0,"Friday, 03 October 2025",2025-08-27,12,3,1,2.0,House,3 Alexandra Avenue,-38.096035,147.0696,2025-09-09 17:05:53,17735456,,8,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Matthew Fitzgerald,"Built in wardrobes, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/3-alexandra-avenue-sale-vic-3850-17735456
17736959,SALE,3850,480,2085.0,"Wednesday, 10 September 2025",2025-08-28,12,3,1,1.0,House,90 Patten St,-38.11072,147.08894,2025-09-09 17:05:53,17736959,,11,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Jaimii Gardner-Carroll,"Heating, Air conditioning, Secure Parking, Shed, Fully fenced, Internal Laundry",https://www.domain.com.au/90-patten-st-sale-vic-3850-17736959
17737370,SALE,3850,395,1716.0,"Wednesday, 27 August 2025",2025-08-28,12,2,1,1.0,Townhouse,3/12-14 Wright Ct,-38.098827,147.07713,2025-09-09 17:05:53,17737370,,9,0,0,False,Townhouse/Villa,Townhouse,Wellington Real Estate Pty Ltd,15011,Jaimii Gardner-Carroll,"Internal Laundry, Fully fenced, Air conditioning, Built in wardrobes, Gas Heating",https://www.domain.com.au/3-12-14-wright-ct-sale-vic-3850-17737370
17738697,SALE,3850,375,1629.0,"Friday, 03 October 2025",2025-08-29,11,2,1,1.0,House,3/151 Dawson Street,-38.09404,147.07558,2025-09-09 17:05:53,17738697,,11,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Matthew Fitzgerald,"Bath, Heating, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Out door entertaining area",https://www.domain.com.au/3-151-dawson-street-sale-vic-3850-17738697
17738724,SALE,3850,530,1720.0,"Monday, 22 September 2025",2025-08-29,11,2,2,2.0,House,98 Barkly Street,-38.103424,147.07547,2025-09-09 17:05:53,17738724,,22,0,1,False,House,House,Lisa Wegener Real Estate,25754,Lisa Wegener,"Deck, Fully fenced, Outdoor Entertainment Area, Secure Parking, Shed, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Split-System Air Conditioning",https://www.domain.com.au/98-barkly-street-sale-vic-3850-17738724
17739081,SALE,3850,425,,"Monday, 08 September 2025",2025-08-29,11,3,1,,House,19 Christie Ct,-38.106724,147.08849,2025-09-09 17:05:53,17739081,,9,0,0,False,House,House,FIRST NATIONAL REAL ESTATE CENTRAL KW,15017,Property Management,"Gas, Bath",https://www.domain.com.au/19-christie-ct-sale-vic-3850-17739081
17743302,SALE,3850,550,2200.0,"Tuesday, 02 September 2025",2025-09-02,7,4,2,2.0,House,22 Sandra Court,-38.114613,147.08961,2025-09-09 17:05:53,17743302,,26,0,0,False,House,House,Lisa Wegener Real Estate,25754,Lisa Wegener,"Fully fenced, Outdoor Entertainment Area, Shed, Broadband Internet Available, Built in wardrobes, Floorboards, Pay TV Access, Air conditioning, Reverse Cycle Air Conditioning, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/22-sandra-court-sale-vic-3850-17743302
17746353,SALE,3850,600,2607.0,"Friday, 12 September 2025",2025-09-03,5,2,1,1.0,House,61 Marley Street,-38.10645,147.0704,2025-09-09 17:05:53,17746353,,9,0,0,False,House,House,Gippsland Real Estate,20139,"Chloe Downie, Jarrod Freeman","Fireplace(s), Built in wardrobes, Garden / Courtyard, Dishwasher, Furnished, Heating, Outdoor Entertaining, Shed, Air conditioning",https://www.domain.com.au/61-marley-street-sale-vic-3850-17746353
17746713,SALE,3850,450,1955.0,"Friday, 05 September 2025",2025-09-04,5,3,1,1.0,House,19 Mathieson St,-38.094646,147.0721,2025-09-09 17:05:53,17746713,,13,0,0,False,House,House,Wellington Real Estate Pty Ltd,15011,Jordan McGregor,Pets Allowed,https://www.domain.com.au/19-mathieson-st-sale-vic-3850-17746713
