listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14739378,SANDRINGHAM,3191,500,2173,"Wednesday, 01 October 2025",2025-09-01,7,1,1,1,Apartment / Unit / Flat,239/218 Bay Road,-37.954475,145.0247,2025-09-09 16:24:31,14739378,LV-1636-NI,17,0,1,False,Apartment,Apartment / Unit / Flat,Xynergy Realty Oakleigh,26633,Leasing Oakleigh,"Internal Laundry, Intercom, Floorboards, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Gas Hot Water, Balcony, Remote Garage, Secure Parking",https://www.domain.com.au/239-218-bay-road-sandringham-vic-3191-14739378
15908046,SANDRINGHAM,3191,1350,6300,"Saturday, 07 June 2025",2025-06-02,99,4,2,3,Townhouse,4 Meredith Street,-37.961403,145.025,2025-09-09 16:24:31,15908046,FC-4882-FR,11,0,1,False,Townhouse/Villa,Townhouse,LongView Real Estate,7797,Simone Jonker,"Internal Laundry, Fireplace(s), Study, Built in wardrobes, Dishwasher, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Balcony, Courtyard, Deck, Remote Garage",https://www.domain.com.au/4-meredith-street-sandringham-vic-3191-15908046
17618146,SANDRINGHAM,3191,1950,8473,"Monday, 16 June 2025",2025-06-12,89,4,2,2,House,4 Cowper Street,-37.95438,145.00682,2025-09-09 16:24:31,17618146,,9,0,0,False,House,House,Jellis Craig Brighton,30118,Daniel Biviano,,https://www.domain.com.au/4-cowper-street-sandringham-vic-3191-17618146
17663758,SANDRINGHAM,3191,645,2803,"Friday, 08 August 2025",2025-07-10,60,2,1,1,Apartment / Unit / Flat,421/220 Bay Road,-37.954563,145.02513,2025-09-09 16:24:31,17663758,,9,0,0,False,Apartment,Apartment / Unit / Flat,Raine & Horne Springvale,8693,"Rental Department, Mary Tran","Built in wardrobes, Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/421-220-bay-road-sandringham-vic-3191-17663758
17679652,SANDRINGHAM,3191,1750,10000,"Tuesday, 22 July 2025",2025-07-22,49,4,2,2,House,1a/35 Victoria Street,-37.956406,145.01486,2025-09-09 16:24:31,17679652,,7,0,0,False,House,House,HODGES MENTONE,3918,Taya Davidson,"Gas, Internal Laundry, Secure Parking, Swimming Pool, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/1a-35-victoria-street-sandringham-vic-3191-17679652
17701120,SANDRINGHAM,3191,1595,7975,"Wednesday, 15 October 2025",2025-08-05,35,4,3,2,House,9 Abbott Street,-37.948284,145.00197,2025-09-09 16:24:31,17701120,,19,0,0,False,House,House,Buxton Real Estate Sandringham,3935,"Simone Buckley, Beth Bodi","Air conditioning, Balcony / Deck, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Fireplace(s), Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Split System Air Con, Split System Heating, Study",https://www.domain.com.au/9-abbott-street-sandringham-vic-3191-17701120
17716853,SANDRINGHAM,3191,1150,4997,"Monday, 22 September 2025",2025-08-15,25,5,2,2,House,149 Beach Road,-37.955654,145.00731,2025-09-09 16:24:31,17716853,,27,0,0,False,House,House,Luxe Property,20536,Maddie Aldouby,"Gas, Internal Laundry, Built in wardrobes, Dishwasher, Ensuite, Floorboards, Study, Balcony, Courtyard, Fully fenced, Outdoor Entertainment, Remote Garage, Secure Parking, Ducted Heating",https://www.domain.com.au/149-beach-road-sandringham-vic-3191-17716853
17718791,SANDRINGHAM,3191,895,3900,"Thursday, 04 September 2025",2025-08-18,22,3,2,2,Apartment / Unit / Flat,g04/4 Fernhill Road,-37.949947,145.00752,2025-09-09 16:24:31,17718791,,10,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/g04-4-fernhill-road-sandringham-vic-3191-17718791
17727089,SANDRINGHAM,3191,1250,6250,"Thursday, 11 September 2025",2025-08-22,18,4,2,2,House,26 Carew Street,-37.946815,145.00299,2025-09-09 16:24:31,17727089,,11,0,0,False,House,House,Buxton Real Estate Sandringham,3935,"Alvin Vitor, Beth Bodi","Dishwasher, Air conditioning, Ducted Heating, Floorboards",https://www.domain.com.au/26-carew-street-sandringham-vic-3191-17727089
17731658,SANDRINGHAM,3191,1200,6000,"Monday, 06 October 2025",2025-08-26,14,3,2,2,House,12A Vincent Street,-37.949547,145.01479,2025-09-09 16:24:31,17731658,,8,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Katie Pickering,,https://www.domain.com.au/12a-vincent-street-sandringham-vic-3191-17731658
