listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15248105,SEABROOK,3028,550,2390,"Friday, 03 October 2025",2025-09-05,4,4,2,2,House,33 Kingfisher Drive,-37.884647,144.75327,2025-09-09 16:41:11,15248105,EZ-8752-XL,22,1,0,True,House,House,Prime Residential Property Management,31221,Sophie Pearson,"Gas, Secure Parking, Alarm System, Built in wardrobes, Dishwasher, Ducted Heating, Ducted Air Conditioning, Outdoor Entertainment Area",https://www.domain.com.au/33-kingfisher-drive-seabrook-vic-3028-15248105
15795706,SEABROOK,3028,530,2303,"Friday, 05 September 2025",2025-07-22,49,3,2,2,House,45 Mintaro Way,-37.877216,144.76093,2025-09-09 16:41:11,15795706,NI-0345-WT,13,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Rainwater storage tank",https://www.domain.com.au/45-mintaro-way-seabrook-vic-3028-15795706
17355826,SEABROOK,3028,550,2390,"Monday, 23 December 2024",2024-12-17,266,4,2,3,House,13 Carole Court,-37.87588,144.75667,2025-09-09 16:41:11,17355826,EL-3093-MV,22,0,0,False,House,House,One Agency Property Partners,36088,Evangelina Chain,"Air conditioning, Internal Laundry, Study, Built in wardrobes, Balcony / Deck, Heating, Floorboards, Fully fenced, Furnished",https://www.domain.com.au/13-carole-court-seabrook-vic-3028-17355826
17358747,SEABROOK,3028,650,2816,"Friday, 20 December 2024",2024-12-18,264,5,2,2,House,12 Spinningdale Close,-37.883907,144.7577,2025-09-09 16:41:11,17358747,FY-5567-EK,14,0,0,False,House,House,Raine & Horne Point Cook - Williams Landing,23285,"Sonny Castillo, Tracey Li","Secure Parking, Heating, Balcony / Deck, Ensuite",https://www.domain.com.au/12-spinningdale-close-seabrook-vic-3028-17358747
17560222,SEABROOK,3028,535,2325,"Friday, 16 May 2025",2025-05-06,125,4,2,2,House,22 Shane Avenue,-37.87516,144.75641,2025-09-09 16:41:11,17560222,TM-8967-DL,3,0,0,False,House,House,LJ Hooker Property Point,22180,"Dema Haddad, Nathan Long","Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/22-shane-avenue-seabrook-vic-3028-17560222
17651696,SEABROOK,3028,500,2173,"Monday, 07 July 2025",2025-07-03,68,3,2,2,House,168 Shane Avenue,-37.88282,144.75652,2025-09-09 16:41:11,17651696,,11,0,0,False,House,House, Milestone Real Estate,38025,Yogesh Bhatia,"Gas, Internal Laundry, Bath",https://www.domain.com.au/168-shane-avenue-seabrook-vic-3028-17651696
17694208,SEABROOK,3028,540,2346,"Thursday, 31 July 2025",2025-07-31,40,3,2,2,House,4 Cintra Court,-37.879364,144.76007,2025-09-09 16:41:11,17694208,,10,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Secure Parking, Bath",https://www.domain.com.au/4-cintra-court-seabrook-vic-3028-17694208
17711560,SEABROOK,3028,520,2260,"Tuesday, 12 August 2025",2025-08-12,28,3,1,3,House,33 Mintaro Way,-37.877987,144.75949,2025-09-09 16:41:11,17711560,,15,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Newly renovated, new kitchen, new bathroom, freshly painted, new tiled flooring throughout",https://www.domain.com.au/33-mintaro-way-seabrook-vic-3028-17711560
17727730,SEABROOK,3028,490,2129,"Friday, 22 August 2025",2025-08-22,18,3,1,4,House,23 Mintaro Way,-37.877388,144.7592,2025-09-09 16:41:11,17727730,,12,0,0,False,House,House,Barry Plant Point Cook,11213,Simon Khouri,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/23-mintaro-way-seabrook-vic-3028-17727730
17729811,SEABROOK,3028,500,2173,"Monday, 18 August 2025",2025-08-25,15,3,1,1,House,38 Shane Avenue,-37.875877,144.75526,2025-09-09 16:41:11,17729811,,9,0,0,False,House,House,One Agency Property Partners,36088,Evangelina Chain,"Built in wardrobes, Secure Parking",https://www.domain.com.au/38-shane-avenue-seabrook-vic-3028-17729811
17734843,SEABROOK,3028,550,2390,"Wednesday, 03 September 2025",2025-08-27,13,3,1,3,House,6 Loretta Court,-37.881706,144.75522,2025-09-09 16:41:11,17734843,,16,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Garden / Courtyard, Ground floor",https://www.domain.com.au/6-loretta-court-seabrook-vic-3028-17734843
17751611,SEABROOK,3028,510,2216,"Monday, 15 September 2025",2025-09-08,1,3,2,3,House,4 Esther Court,-37.878887,144.75575,2025-09-09 16:41:11,17751611,,12,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Shed, Garden / Courtyard",https://www.domain.com.au/4-esther-court-seabrook-vic-3028-17751611
