listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16848133,SEAFORD,3198,550.0,2390,"Wednesday, 05 November 2025",2025-09-03,6,2,1,2.0,House,151 Austin Road,-38.106438,145.14572,2025-09-09 16:43:23,16848133,VB-5627-VP,9,0,1,True,House,House,McEwing Partners,7737,"Karen Blanchard, Cassie Lennon","Internal Laundry, Fireplace(s), Heating, Balcony / Deck",https://www.domain.com.au/151-austin-road-seaford-vic-3198-16848133
17649016,SEAFORD,3198,690.0,2998,"Friday, 01 August 2025",2025-07-02,69,3,2,2.0,Townhouse,1/71 Kirkwood Avenue,-38.12242,145.13092,2025-09-09 16:43:23,17649016,,8,0,0,False,Townhouse/Villa,Townhouse,Buxton Ashburton,15987,"Lynn Xu, Rosanna Matteo","Dishwasher, Ducted Heating, Remote Garage, Garden / Courtyard, Ensuite",https://www.domain.com.au/1-71-kirkwood-avenue-seaford-vic-3198-17649016
17672308,SEAFORD,3198,750.0,3259,"Thursday, 28 August 2025",2025-07-16,54,3,2,1.0,Townhouse,2C Weatherston Road,-38.109783,145.13074,2025-09-09 16:43:23,17672308,,16,0,0,False,Townhouse/Villa,Townhouse,Ray White Frankston,17898,"Charlotte Vercoe, Hayley Weston","Bath, Heating, Dishwasher, Study, Shed",https://www.domain.com.au/2c-weatherston-road-seaford-vic-3198-17672308
17676141,SEAFORD,3198,720.0,3128,"Friday, 01 August 2025",2025-07-18,53,4,2,4.0,House,15 Lyster Close,-38.124664,145.1313,2025-09-09 16:43:23,17676141,,17,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,Internal Laundry,https://www.domain.com.au/15-lyster-close-seaford-vic-3198-17676141
17678637,SEAFORD,3198,370.0,1480,"Thursday, 02 May 2024",2025-07-21,49,1,1,,New Apartments / Off the Plan,Room 7/4 Pildra Court,-38.113274,145.15411,2025-09-09 16:43:23,17678637,,8,0,1,True,New Developments,New Apartments / Off the Plan,Hodges Carrum Downs,29757,"Helen Greville, Carrum Downs Property Management","Built in wardrobes, Heating, Air conditioning",https://www.domain.com.au/room-7-4-pildra-court-seaford-vic-3198-17678637
17690014,SEAFORD,3198,380.0,1520,"Tuesday, 29 July 2025",2025-07-29,42,1,1,,New Apartments / Off the Plan,Room 4/4A Pildra Court,-38.113274,145.15411,2025-09-09 16:43:23,17690014,,5,0,1,True,New Developments,New Apartments / Off the Plan,Hodges Carrum Downs,29757,"Helen Greville, Carrum Downs Property Management","Built in wardrobes, Split System Air Con, Split System Heating, Balcony / Deck",https://www.domain.com.au/room-4-4a-pildra-court-seaford-vic-3198-17690014
17731662,SEAFORD,3198,750.0,3259,"Sunday, 05 October 2025",2025-08-26,14,4,2,2.0,House,26 Johnstone Street,-38.109184,145.13258,2025-09-09 16:43:23,17731662,,20,0,0,False,House,House,Jellis Craig Bentleigh,30117,Daniel Biviano,"Built in wardrobes, Pets Allowed, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/26-johnstone-street-seaford-vic-3198-17731662
17736047,SEAFORD,3198,750.0,3259,"Monday, 08 September 2025",2025-08-28,12,4,2,2.0,Apartment / Unit / Flat,90A Railway Pde,-38.092747,145.12862,2025-09-09 16:43:23,17736047,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/90a-railway-pde-seaford-vic-3198-17736047
17736067,SEAFORD,3198,750.0,3259,"Monday, 08 September 2025",2025-08-28,12,4,2,2.0,Apartment / Unit / Flat,90B Railway Pde,-38.092747,145.12862,2025-09-09 16:43:23,17736067,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Bath, Heating, Dishwasher, Remote Garage",https://www.domain.com.au/90b-railway-pde-seaford-vic-3198-17736067
17736974,SEAFORD,3198,625.0,2716,"Monday, 01 September 2025",2025-08-28,12,3,2,1.0,Villa,1/73 Kirkwood Avenue,-38.12268,145.1309,2025-09-09 16:43:23,17736974,,8,0,1,False,Townhouse/Villa,Villa,Metropole Properties Melbourne,18456,Vivian Nguyen,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Heating, Split System Air Conditioning, Ensuite(s), Courtyard, Deck",https://www.domain.com.au/1-73-kirkwood-avenue-seaford-vic-3198-17736974
