listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15912591,SEBASTOPOL,3356,430.0,1864.0,"Friday, 29 August 2025",2025-08-18,22,4,2,3,House,64 Yarrowee Street,-37.588306,143.84256,2025-09-09 16:52:40,15912591,NC-3988-AY,19,0,0,True,House,House,PRDnationwide Ballarat,5808,"Jenna Tomada, Shari Plater","Internal Laundry, Heating, Air conditioning, Ensuite, Built in wardrobes, Pets Allowed, Dishwasher, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/64-yarrowee-street-sebastopol-vic-3356-15912591
17520636,SEBASTOPOL,3356,415.0,1803.0,"Thursday, 25 September 2025",2025-08-22,17,2,1,1,House,5A Edwards Street,-37.59578,143.83705,2025-09-09 16:52:40,17520636,BV-2533-AM,11,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Tianna Vella","Air conditioning, Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/5a-edwards-street-sebastopol-vic-3356-17520636
17714099,SEBASTOPOL,3356,400.0,1738.0,"Friday, 22 August 2025",2025-08-13,27,3,1,2,House,10 Victoria Street,-37.59864,143.83954,2025-09-09 16:52:40,17714099,,8,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Chandra Budiman","Built in wardrobes, Heating",https://www.domain.com.au/10-victoria-street-sebastopol-vic-3356-17714099
17715299,SEBASTOPOL,3356,410.0,1781.0,"Monday, 18 August 2025",2025-08-14,26,3,1,1,House,1/109 Rubicon Street,-37.58234,143.83966,2025-09-09 16:52:40,17715299,,11,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Caine Hunter",Secure Parking,https://www.domain.com.au/1-109-rubicon-street-sebastopol-vic-3356-17715299
17716280,SEBASTOPOL,3356,440.0,1911.0,"Thursday, 28 August 2025",2025-08-14,25,4,2,2,House,119A Edwards Street,-37.607178,143.8352,2025-09-09 16:52:40,17716280,,8,0,0,False,House,House,Ray White Ballarat,11641,Lauren Hodgson,"Secure Parking, Bath, Air conditioning, Built in wardrobes, Heating, Fully fenced",https://www.domain.com.au/119a-edwards-street-sebastopol-vic-3356-17716280
17719302,SEBASTOPOL,3356,390.0,1695.0,"Friday, 05 September 2025",2025-08-18,22,3,1,1,House,108 Grant Street,-37.595627,143.83124,2025-09-09 16:52:40,17719302,,17,0,0,False,House,House,McGrath Ballarat,32266,Chantal Ryan,"Air conditioning, Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/108-grant-street-sebastopol-vic-3356-17719302
17719332,SEBASTOPOL,3356,365.0,1586.0,"Wednesday, 10 September 2025",2025-08-18,22,2,1,1,Apartment / Unit / Flat,3/30 Albion Street,-37.596157,143.83334,2025-09-09 16:52:40,17719332,,8,0,0,False,Apartment,Apartment / Unit / Flat,Ballarat Real Estate,13411,"Adrian Marshall, Henry Geljon","Internal Laundry, Secure Parking, Heating, Built in wardrobes, Pets Allowed",https://www.domain.com.au/3-30-albion-street-sebastopol-vic-3356-17719332
17725724,SEBASTOPOL,3356,420.0,1820.0,"Thursday, 21 August 2025",2025-08-21,19,4,2,2,House,208 Walker Street,-37.595154,143.82812,2025-09-09 16:52:40,17725724,,10,0,0,False,House,House,Buxton (Ballarat) Pty Ltd,26896,Buxton Ballarat Leasing,"Air conditioning, Secure Parking, Bath, Heating",https://www.domain.com.au/208-walker-street-sebastopol-vic-3356-17725724
17727724,SEBASTOPOL,3356,460.0,1998.0,"Friday, 29 August 2025",2025-08-22,18,4,2,2,House,28 Oscar Drive,-37.594402,143.8253,2025-09-09 16:52:40,17727724,,15,0,1,False,House,House,Ray White Ballarat,11641,Peter Ludbrook,"Air conditioning, Gas, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/28-oscar-drive-sebastopol-vic-3356-17727724
17728666,SEBASTOPOL,3356,400.0,,"Friday, 22 August 2025",2025-08-22,18,3,1,2,House,71 Albert Street,-37.587845,143.84131,2025-09-09 16:52:40,17728666,,8,0,0,False,House,House,Ballarat Real Estate,13411,"Tiarra Lockwood, Bailey Wilson","Secure Parking, Pets Allowed",https://www.domain.com.au/71-albert-street-sebastopol-vic-3356-17728666
