listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17679473,SEDDON,3011,545,2368,"Friday, 12 September 2025",2025-07-22,49,2,1,,House,199 Buckley Street,-37.802578,144.88818,2025-09-09 16:56:22,17679473,7,0,0,False,House,House,Village Real Estate ,20880,Cassandra Hutchings,,https://www.domain.com.au/199-buckley-street-seddon-vic-3011-17679473
17699261,SEDDON,3011,750,3259,"Wednesday, 10 September 2025",2025-08-04,36,3,2,1.0,House,18 Billy Button Close,-37.807472,144.8993,2025-09-09 16:56:22,17699261,9,0,0,False,House,House,Buxton Inner West,4371,Eliza O'Donnell,"Balcony / Deck, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/18-billy-button-close-seddon-vic-3011-17699261
17711298,SEDDON,3011,630,2738,"Tuesday, 09 September 2025",2025-08-12,28,2,1,1.0,House,301 Nicholson Street,-37.81019,144.89813,2025-09-09 16:56:22,17711298,3,0,0,False,House,House,Village Real Estate ,20880,Ann Borg,"Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/301-nicholson-street-seddon-vic-3011-17711298
17723471,SEDDON,3011,495,2145,"Saturday, 20 September 2025",2025-08-20,20,2,1,1.0,Apartment / Unit / Flat,4/21 Bellairs Avenue,-37.81017,144.89505,2025-09-09 16:56:22,17723471,5,0,0,False,Apartment,Apartment / Unit / Flat,Lease A Property ,21230,Marc Angelone,"Internal Laundry, Heating, Intercom, Built in wardrobes, Dishwasher, Broadband, Reverse Cycle Air Conditioning",https://www.domain.com.au/4-21-bellairs-avenue-seddon-vic-3011-17723471
17725646,SEDDON,3011,560,2433,"Friday, 29 August 2025",2025-08-21,19,2,1,1.0,House,18 Hotham Street,-37.80889,144.89357,2025-09-09 16:56:22,17725646,10,0,0,False,House,House,Nicholas Scott Real Estate,8676,Lisa Nguyen,"Dishwasher, Air conditioning, Heating, Close to shops, Close to schools",https://www.domain.com.au/18-hotham-street-seddon-vic-3011-17725646
17731610,SEDDON,3011,630,2738,"Friday, 29 August 2025",2025-08-26,14,3,1,1.0,House,189 Buckley Street,-37.80283,144.8887,2025-09-09 16:56:22,17731610,15,1,1,False,House,House,Jas Stephens Real Estate,22,"Shannon Naude, Alex Boyce","Balcony / Deck, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Heating, Evaporative Cooling",https://www.domain.com.au/189-buckley-street-seddon-vic-3011-17731610
17736059,SEDDON,3011,520,2253,"Thursday, 25 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,5/27 Hobbs Street,-37.80817,144.89366,2025-09-09 16:56:22,17736059,5,1,0,False,Apartment,Apartment / Unit / Flat,McGrath Yarraville,15054,Raelene Hallmark,"Internal Laundry, Broadband internet access, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-27-hobbs-street-seddon-vic-3011-17736059
17739971,SEDDON,3011,995,4324,"Friday, 10 October 2025",2025-09-01,8,3,2,,House,12 Junction Street,-37.806488,144.8959,2025-09-09 16:56:22,17739971,14,0,0,False,House,House,Nelson Alexander Flemington,4478,"Catherine Maugeri, Cheryl Garton","Built in wardrobes, Bath, Balcony / Deck",https://www.domain.com.au/12-junction-street-seddon-vic-3011-17739971
17740617,SEDDON,3011,650,2824,"Friday, 05 September 2025",2025-09-01,8,2,2,,Townhouse,2/107 Victoria Street,-37.806156,144.89212,2025-09-09 16:56:22,17740617,14,0,0,False,Townhouse/Villa,Townhouse,Sweeney Estate Agents Williamstown,28,Para Taneski,"Built in wardrobes, Internal Laundry, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/2-107-victoria-street-seddon-vic-3011-17740617
17745150,SEDDON,3011,800,3476,"Friday, 12 September 2025",2025-09-03,6,3,2,2.0,Townhouse,151 Buckley Street,-37.80315,144.89102,2025-09-09 16:56:22,17745150,6,0,0,False,Townhouse/Villa,Townhouse,Village Real Estate ,20880,Chantal Borg,,https://www.domain.com.au/151-buckley-street-seddon-vic-3011-17745150
17746746,SEDDON,3011,695,3012,"Monday, 06 October 2025",2025-09-04,5,2,1,1.0,House,9 Hamilton Street,-37.807167,144.88782,2025-09-09 16:56:22,17746746,21,0,0,False,House,House,McGrath Yarraville,15054,"Raelene Hallmark, Daniella Weissbacher","Built in wardrobes, Internal Laundry, Bath, Fireplace(s), Heating, Shed",https://www.domain.com.au/9-hamilton-street-seddon-vic-3011-17746746
17748851,SEDDON,3011,650,2824,"Saturday, 13 September 2025",2025-09-05,4,3,1,,House,2 Bourke Street,-37.80598,144.89244,2025-09-09 16:56:22,17748851,7,0,1,False,House,House,WP Real Estate,8491,Tania Smith,"Air conditioning, Heating, Balcony / Deck",https://www.domain.com.au/2-bourke-street-seddon-vic-3011-17748851
17750026,SEDDON,3011,550,2390,"Friday, 26 September 2025",2025-09-05,3,2,1,1.0,Apartment / Unit / Flat,6/87 Gamon Street,-37.807693,144.89023,2025-09-09 16:56:22,17750026,7,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Gas, Internal Laundry, Broadband internet access, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Secure Parking, Shed",https://www.domain.com.au/6-87-gamon-street-seddon-vic-3011-17750026
17750233,SEDDON,3011,450,1955,"Monday, 22 September 2025",2025-09-06,3,2,1,1.0,Apartment / Unit / Flat,2/34 Hyde street,-37.808548,144.8992,2025-09-09 16:56:22,17750233,7,0,0,False,Apartment,Apartment / Unit / Flat,Nguyen Real Estate,19313,"Andy Toan Pham, Kevin Nguyen",,https://www.domain.com.au/2-34-hyde-street-seddon-vic-3011-17750233
