listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16999020,SOUTH MELBOURNE,3205,600.0,2607.0,"Friday, 03 October 2025",2025-09-05,4,1.0,1,1.0,Apartment / Unit / Flat,1507/41 Bank Street,-37.83219,144.96844,2025-09-09 16:20:40,16999020,,13,0,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,Dishwasher,https://www.domain.com.au/1507-41-bank-street-south-melbourne-vic-3205-16999020
17613759,SOUTH MELBOURNE,3205,560.0,2433.0,"Tuesday, 10 June 2025",2025-09-03,6,2.0,1,1.0,Apartment / Unit / Flat,3/56 Smith Street,-37.83742,144.95084,2025-09-09 16:20:40,17613759,,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Port Phillip,18211,Jack Alexander,,https://www.domain.com.au/3-56-smith-street-south-melbourne-vic-3205-17613759
17695763,SOUTH MELBOURNE,3205,450.0,1955.0,"Tuesday, 05 August 2025",2025-08-01,39,1.0,1,,Apartment / Unit / Flat,5/164 Albert Road,-37.836594,144.9687,2025-09-09 16:20:40,17695763,,12,0,0,False,Apartment,Apartment / Unit / Flat,Buxton/Cayzer Albert Park,2783,Thembie Sikwila,"Split System Air Con, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/5-164-albert-road-south-melbourne-vic-3205-17695763
17704121,SOUTH MELBOURNE,3205,675.0,2925.0,"Wednesday, 20 August 2025",2025-08-06,33,2.0,2,1.0,Apartment / Unit / Flat,1809/50 Albert Road,-37.83405,144.97131,2025-09-09 16:20:40,17704121,,17,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Maria Schettino,"Built in wardrobes, Gas, Internal Laundry, Intercom, Broadband internet access, Heating, Dishwasher",https://www.domain.com.au/1809-50-albert-road-south-melbourne-vic-3205-17704121
17737891,SOUTH MELBOURNE,3205,800.0,,"Friday, 29 August 2025",2025-08-29,11,2.0,2,2.0,Apartment / Unit / Flat,61/69 Dorcas Street,-37.831116,144.96788,2025-09-09 16:20:40,17737891,,24,0,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,William Chin,"Secure Parking, Tennis Court, Swimming Pool, Air conditioning, Alarm System, Balcony / Deck, Dishwasher, Floorboards, Gym, Intercom, Ensuite",https://www.domain.com.au/61-69-dorcas-street-south-melbourne-vic-3205-17737891
17744381,SOUTH MELBOURNE,3205,750.0,3259.0,"Friday, 12 September 2025",2025-09-03,6,2.0,1,2.0,Apartment / Unit / Flat,801/2-14 Albert Road,-37.83284,144.97148,2025-09-09 16:20:40,17744381,,8,0,1,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Thembie Sikwila, Jay Jacob-Green","Air conditioning, Balcony / Deck, Study, Built in wardrobes, Intercom, Dishwasher, Secure Parking",https://www.domain.com.au/801-2-14-albert-road-south-melbourne-vic-3205-17744381
17744871,SOUTH MELBOURNE,3205,860.0,3737.0,"Tuesday, 02 September 2025",2025-09-03,6,2.0,1,2.0,House,534 City Road,-37.832806,144.95155,2025-09-09 16:20:40,17744871,,11,0,1,False,House,House,Ray White CRE,7728,RACHEL BOGGS,,https://www.domain.com.au/534-city-road-south-melbourne-vic-3205-17744871
17747716,SOUTH MELBOURNE,3205,598.0,,"Saturday, 13 September 2025",2025-09-04,5,,1,,Studio,C1306/15-85 Gladstone St,-37.82917,144.95187,2025-09-09 16:20:40,17747716,,40,0,1,False,Apartment,Studio,Greystar Australia Property Management Pty Ltd,38235,"Haiku The Gladstone, Kerrin Chalmers","Air conditioning, Floorboards, Gym, Intercom, Built in wardrobes, Furnished, Internal Laundry, Pets Allowed, Broadband internet access, Heating, Dishwasher, City Views, Double glazed windows, Energy efficient appliances, Water efficient appliances, Water efficient fixtures, Swimming Pool, Garden / Courtyard",https://www.domain.com.au/c1306-15-85-gladstone-st-south-melbourne-vic-3205-17747716
17747759,SOUTH MELBOURNE,3205,749.0,,"Saturday, 06 September 2025",2025-09-04,5,1.0,1,,Apartment / Unit / Flat,1 bed/15-85 Gladstone St,-37.829514,144.95099,2025-09-09 16:20:40,17747759,,33,0,1,False,Apartment,Apartment / Unit / Flat,Greystar Australia Property Management Pty Ltd,38235,"Haiku The Gladstone, Kerrin Chalmers","Air conditioning, Floorboards, Gym, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Broadband internet access, Heating, Double glazed windows, Energy efficient appliances, Water efficient appliances, Balcony / Deck, Garden / Courtyard, Swimming Pool",https://www.domain.com.au/1-bed-15-85-gladstone-st-south-melbourne-vic-3205-17747759
17748033,SOUTH MELBOURNE,3205,867.0,,"Thursday, 04 September 2025",2025-09-04,4,2.0,2,,Apartment / Unit / Flat,2 beds/15-85 Gladstone St,-37.829514,144.95099,2025-09-09 16:20:40,17748033,,25,0,1,False,Apartment,Apartment / Unit / Flat,Greystar Australia Property Management Pty Ltd,38235,"Haiku The Gladstone, Kerrin Chalmers","Air conditioning, Ensuite, Floorboards, Gym, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Broadband internet access, Heating, Dishwasher, Double glazed windows, Energy efficient appliances, Water efficient appliances, Garden / Courtyard, Swimming Pool, Balcony / Deck",https://www.domain.com.au/2-beds-15-85-gladstone-st-south-melbourne-vic-3205-17748033
17749669,SOUTH MELBOURNE,3205,595.0,2585.0,"Friday, 03 October 2025",2025-09-05,4,2.0,1,1.0,Apartment / Unit / Flat,1201/338 Kings Way,-37.83492,144.96999,2025-09-09 16:20:40,17749669,,9,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Sandringham,3720,"Andrew Pettman, Danni Cipriano","Air conditioning, Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, City Views, Lift Installed, Floorboards, Secure Parking, Broadband Internet Available, Pay TV Access, Dishwasher",https://www.domain.com.au/1201-338-kings-way-south-melbourne-vic-3205-17749669
17750335,SOUTH MELBOURNE,3205,550.0,2390.0,"Saturday, 06 September 2025",2025-09-06,2,1.0,1,1.0,Apartment / Unit / Flat,211/274 Coventry Street,-37.83195,144.95906,2025-09-09 16:20:40,17750335,,9,0,0,False,Apartment,Apartment / Unit / Flat,Home AU Real Estate,26671,Angie Vakrinos,,https://www.domain.com.au/211-274-coventry-street-south-melbourne-vic-3205-17750335
17750510,SOUTH MELBOURNE,3205,1300.0,7800.0,"Friday, 17 October 2025",2025-09-08,1,4.0,2,1.0,House,164 Bank Street,-37.833492,144.96246,2025-09-09 16:20:40,17750510,,13,0,1,False,House,House,  Buxton Port Phillip,15964,"Lani Perry, Linda  Evans","Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/164-bank-street-south-melbourne-vic-3205-17750510
17750594,SOUTH MELBOURNE,3205,420.0,1825.0,"Tuesday, 09 September 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,8/300 Ferrars Street,-37.836216,144.9561,2025-09-09 16:20:40,17750594,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Port Phillip Pty Ltd,17566,Taleah Smith,"Split System Heating, Floorboards, Split System Air Con, Built in wardrobes",https://www.domain.com.au/8-300-ferrars-street-south-melbourne-vic-3205-17750594
17750842,SOUTH MELBOURNE,3205,530.0,2303.0,"Thursday, 02 October 2025",2025-09-08,1,1.0,1,,House,8 Church Street,-37.83606,144.96051,2025-09-09 16:20:40,17750842,,6,0,0,False,House,House,  Buxton Port Phillip,15964,"Lani Perry, Samantha Brennan","Split System Air Con, Split System Heating, Garden / Courtyard",https://www.domain.com.au/8-church-street-south-melbourne-vic-3205-17750842
17750845,SOUTH MELBOURNE,3205,550.0,2389.0,"Friday, 19 September 2025",2025-09-08,1,1.0,1,,Apartment / Unit / Flat,1107/50 Albert Road,-37.83405,144.97131,2025-09-09 16:20:40,17750845,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Port Phillip Pty Ltd,17566,Taleah Smith,Split System Air Con,https://www.domain.com.au/1107-50-albert-road-south-melbourne-vic-3205-17750845
17752103,SOUTH MELBOURNE,3205,750.0,3259.0,"Monday, 15 September 2025",2025-09-08,1,2.0,2,1.0,Apartment / Unit / Flat,2305/89 Gladstone Street,-37.830162,144.95007,2025-09-09 16:20:40,17752103,,16,0,0,False,Apartment,Apartment / Unit / Flat,Shape Property ,26902,Amelie Frere,"Intercom, Balcony, Built in wardrobes, Ensuite, Floorboards, Gym, Secure Parking, Split System AirCon, Split System Heating, Split-system Air-conditioning, Swimming Pool",https://www.domain.com.au/2305-89-gladstone-street-south-melbourne-vic-3205-17752103
17753017,SOUTH MELBOURNE,3205,500.0,2173.0,"Friday, 05 September 2025",2025-09-09,0,1.0,1,,Apartment / Unit / Flat,2704/89 Gladstone Street,-37.830162,144.95007,2025-09-09 16:20:40,17753017,,9,0,1,False,Apartment,Apartment / Unit / Flat,No Agent Property ,20869,No Agent Property - VIC,"Heating, Air conditioning, Furnished, Floorboards, Dishwasher",https://www.domain.com.au/2704-89-gladstone-street-south-melbourne-vic-3205-17753017
17753191,SOUTH MELBOURNE,3205,630.0,2738.0,"Wednesday, 17 September 2025",2025-09-09,0,2.0,1,1.0,Apartment / Unit / Flat,807/75 Palmerston Crescent,-37.835293,144.96909,2025-09-09 16:20:40,17753191,,5,0,1,False,Apartment,Apartment / Unit / Flat,Lucas Real Estate,7574,"Juan Hernandez, Melissa Argyriou","Gas, Internal Laundry, Dishwasher, Air-Conditioner, Split System Heating, Secure Parking",https://www.domain.com.au/807-75-palmerston-crescent-south-melbourne-vic-3205-17753191
17753875,SOUTH MELBOURNE,3205,695.0,3020.0,"Friday, 24 October 2025",2025-09-09,0,2.0,1,2.0,Apartment / Unit / Flat,804/50 Albert Road,-37.83405,144.97131,2025-09-09 16:20:40,17753875,,7,0,0,True,Apartment,Apartment / Unit / Flat,Dingle Partners,345,Denis Allen,,https://www.domain.com.au/804-50-albert-road-south-melbourne-vic-3205-17753875
14846277,SOUTH MELBOURNE,3205,530.0,2303.0,"Wednesday, 23 September 2026",2025-09-03,6,1.0,1,1.0,Apartment / Unit / Flat,33/1 Sandilands Street,-37.83609,144.96817,2025-09-09 16:20:46,14846277,EY-9454-GW,9,0,1,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Ashlen Lont,"Internal Laundry, Heating, Balcony / Deck, Floorboards, Built in wardrobes, Dishwasher, Air conditioning",https://www.domain.com.au/33-1-sandilands-street-south-melbourne-vic-3205-14846277
