listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16505030,SOUTH MORANG,3752,1100,4780,"Monday, 29 September 2025",2025-09-03,6,4,3,3,House,18 Belinda Court,-37.62408,145.06424,2025-09-09 16:31:04,16505030,AZ-1835-AT,12,0,0,False,House,House,Ray White South Morang,12623,Brooklyn Ring,Balcony / Deck,https://www.domain.com.au/18-belinda-court-south-morang-vic-3752-16505030
16915208,SOUTH MORANG,3752,520,2260,"Monday, 18 March 2024",2025-09-09,0,3,1,1,House,262 The Lakes Boulevard,-37.63013,145.0829,2025-09-09 16:31:04,16915208,CU-5852-YL,11,1,0,False,House,House,Ray White South Morang,12623,Lauren Gray,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/262-the-lakes-boulevard-south-morang-vic-3752-16915208
17288432,SOUTH MORANG,3752,500,2173,"Friday, 24 October 2025",2025-09-03,6,3,2,2,House,40 Tuross Crescent,-37.635906,145.0914,2025-09-09 16:31:04,17288432,YY-5902-CJ,8,0,1,False,House,House,Millership & Co,18340,Ingrid Elliott,"Courtyard, Remote Garage, Secure Parking, Dishwasher, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/40-tuross-crescent-south-morang-vic-3752-17288432
17692994,SOUTH MORANG,3752,350,1521,"Wednesday, 27 August 2025",2025-07-30,41,1,1,1,Apartment / Unit / Flat,1/798 Plenty Road,-37.65261,145.08664,2025-09-09 16:31:04,17692994,,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",Built in wardrobes,https://www.domain.com.au/1-798-plenty-road-south-morang-vic-3752-17692994
17700319,SOUTH MORANG,3752,600,2607,"Friday, 22 August 2025",2025-08-05,35,4,2,2,House,2 Ellendale Way,-37.63716,145.0773,2025-09-09 16:31:04,17700319,,10,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-ellendale-way-south-morang-vic-3752-17700319
17701893,SOUTH MORANG,3752,550,2389,"Tuesday, 02 September 2025",2025-08-05,35,3,2,2,Apartment / Unit / Flat,2/11 Payne Place,-37.651543,145.09358,2025-09-09 16:31:04,17701893,,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,"Karin Kaine, Michelle De Luca","Secure Parking, Furnished, Dishwasher",https://www.domain.com.au/2-11-payne-place-south-morang-vic-3752-17701893
17731517,SOUTH MORANG,3752,530,2303,"Monday, 08 September 2025",2025-08-26,14,3,2,4,House,9 Avion Rise,-37.638866,145.06529,2025-09-09 16:31:04,17731517,,22,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating",https://www.domain.com.au/9-avion-rise-south-morang-vic-3752-17731517
17733849,SOUTH MORANG,3752,550,2390,"Tuesday, 30 September 2025",2025-08-27,13,3,2,2,House,31 McGlynn Avenue,-37.65504,145.08914,2025-09-09 16:31:04,17733849,,9,0,0,False,House,House,Millership & Co,18340,Ingrid Elliott,"Deck, Fully fenced, Outdoor Entertainment Area, Remote Garage, Built in wardrobes, Dishwasher, Air conditioning, Ducted Heating, Reverse Cycle Air Conditioning",https://www.domain.com.au/31-mcglynn-avenue-south-morang-vic-3752-17733849
17741917,SOUTH MORANG,3752,560,2433,"Monday, 01 September 2025",2025-09-01,7,3,2,1,House,20 Lazar Grove,-37.637383,145.07413,2025-09-09 16:31:04,17741917,,11,0,0,False,House,House,Love & Co Mill Park,7119,Merve Ozer,,https://www.domain.com.au/20-lazar-grove-south-morang-vic-3752-17741917
17742936,SOUTH MORANG,3752,680,2955,"Tuesday, 02 September 2025",2025-09-02,7,4,2,2,House,1071 Plenty Road,-37.63168,145.09564,2025-09-09 16:31:04,17742936,,9,0,0,False,House,House,Ray White South Morang,12623,Brooklyn Ring,"Built in wardrobes, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1071-plenty-road-south-morang-vic-3752-17742936
