listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11473321,SOUTHBANK,3006,680,2955.0,"Monday, 06 October 2025",2025-09-08,1,2.0,1,,Apartment / Unit / Flat,3601/241 City Road,-37.82645,144.95996,2025-09-09 16:53:44,11473321,BF-8767-XH,14,0,0,False,Apartment,Apartment / Unit / Flat,CAN Estate Agents Pty Ltd,27962,Frank Du,"Air conditioning, Intercom, In ground pool, Balcony, Gym, Broadband, Built in wardrobes, Dishwasher",https://www.domain.com.au/3601-241-city-road-southbank-vic-3006-11473321
14108019,SOUTHBANK,3006,540,2346.0,"Thursday, 09 October 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,706/63-75 Coventry Street,-37.829857,144.96785,2025-09-09 16:53:44,14108019,,15,1,1,False,Apartment,Apartment / Unit / Flat,Xynergy Realty Oakleigh,26633,Leasing Oakleigh,"Internal Laundry, Intercom, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Secure Parking, Swimming Pool, City Views",https://www.domain.com.au/706-63-75-coventry-street-southbank-vic-3006-14108019
16048120,SOUTHBANK,3006,780,3389.0,"Thursday, 28 August 2025",2025-09-08,1,2.0,2,,Apartment / Unit / Flat,3908E/18 Hoff Blvd,-37.82517,144.96382,2025-09-09 16:53:44,16048120,,13,0,0,False,Apartment,Apartment / Unit / Flat,CAN Estate Agents Pty Ltd,27962,Frank Du,"Air conditioning, Alarm System, Intercom, In ground pool, Balcony, Floorboards, Split system air conditioning, Gym, Broadband, Built in wardrobes, Dishwasher",https://www.domain.com.au/3908e-18-hoff-blvd-southbank-vic-3006-16048120
16073859,SOUTHBANK,3006,745,3237.0,"Monday, 15 September 2025",2025-09-08,1,2.0,2,1.0,Apartment / Unit / Flat,306/70 Dorcas Street,-37.830757,144.96753,2025-09-09 16:53:44,16073859,JV-8049-ZL,13,0,1,False,Apartment,Apartment / Unit / Flat,Asset Advantage Management,7605,Jasmin Hickey,"Internal Laundry, Intercom, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking",https://www.domain.com.au/306-70-dorcas-street-southbank-vic-3006-16073859
17750799,SOUTHBANK,3006,680,2998.0,"Wednesday, 24 September 2025",2025-09-08,1,2.0,1,1.0,Apartment / Unit / Flat,3705/1 Balston Street,-37.824986,144.9616,2025-09-09 16:53:44,17750799,,10,0,0,False,Apartment,Apartment / Unit / Flat,Melcorp Real Estate,11842,"Romina Alessi, Leasing Team","Built in wardrobes, Internal Laundry, Intercom, Heating, Balcony / Deck",https://www.domain.com.au/3705-1-balston-street-southbank-vic-3006-17750799
17750977,SOUTHBANK,3006,1380,,"Friday, 26 September 2025",2025-09-08,1,3.0,2,,Apartment / Unit / Flat,1206/153 Sturt Street,-37.82606,144.96228,2025-09-09 16:53:44,17750977,,35,0,1,True,Apartment,Apartment / Unit / Flat,NOVUS on Sturt,38102,Lee Pearson,"Ensuite(s), Air conditioning, Ensuite, Floorboards, Indoor Spa, Gym, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Cable or Satellite, Gas, Broadband internet access, Heating, Dishwasher, Study, City Views, Double glazed windows, Energy efficient appliances, Wall / ceiling insulation, Greywater system, Water efficient fixtures, Solar panels, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Swimming Pool",https://www.domain.com.au/1206-153-sturt-street-southbank-vic-3006-17750977
17751212,SOUTHBANK,3006,690,,"Tuesday, 23 September 2025",2025-09-08,1,2.0,1,1.0,Apartment / Unit / Flat,5/79 Whiteman Street,-37.826687,144.95584,2025-09-09 16:53:44,17751212,,9,1,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Michelle Mesaric,"Secure Parking, Tennis Court, Swimming Pool, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Furnished",https://www.domain.com.au/5-79-whiteman-street-southbank-vic-3006-17751212
17751752,SOUTHBANK,3006,1300,7800.0,"Thursday, 25 September 2025",2025-09-08,1,3.0,2,1.0,Apartment / Unit / Flat,2806/9 Power Street,-37.82316,144.96135,2025-09-09 16:53:44,17751752,,16,0,1,False,Apartment,Apartment / Unit / Flat,Melcorp Real Estate,11842,"Romina Alessi, Leasing Team","Gas, Internal Laundry, Furnished, Dishwasher, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Alarm System, Swimming Pool, Spa, Intercom, Security Access, Car Parking - Surface, Security System",https://www.domain.com.au/2806-9-power-street-southbank-vic-3006-17751752
17752317,SOUTHBANK,3006,1800,10800.0,"Monday, 08 September 2025",2025-09-08,0,3.0,3,2.0,Apartment / Unit / Flat,5102/11 Bale Circuit,-37.82619,144.96288,2025-09-09 16:53:44,17752317,,16,1,1,False,Apartment,Apartment / Unit / Flat,Melbourne Square Property,33008,Nikki Nguyen,"Internal Laundry, Study, Ensuite, Built in wardrobes, Gym, Ducted Heating, Ducted Cooling, Swimming Pool, Secure Parking",https://www.domain.com.au/5102-11-bale-circuit-southbank-vic-3006-17752317
17752382,SOUTHBANK,3006,620,,"Friday, 10 October 2025",2025-09-08,0,1.0,1,,Apartment / Unit / Flat,2814/81 City Road,-37.822334,144.9653,2025-09-09 16:53:44,17752382,,19,0,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Hailey Vo,"Gym, Intercom, Heating, Study",https://www.domain.com.au/2814-81-city-road-southbank-vic-3006-17752382
