listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16770094,SPOTSWOOD,3015,260,260,"Saturday, 16 August 2025",2025-08-12,28,1,1,,House,62 Hudson Road,-37.829605,144.88661,2025-09-09 17:26:30,16770094,IJ-4269-CN,9,0,0,False,House,House,Raine & Horne Williamstown,27263,Jane Brettell,,https://www.domain.com.au/62-hudson-road-spotswood-vic-3015-16770094
16920597,SPOTSWOOD,3015,730,3172,"Tuesday, 11 March 2025",2024-08-06,399,2,2,1.0,Apartment / Unit / Flat,412/49 McLister Street,-37.83131,144.88284,2025-09-09 17:26:30,16920597,CY-2533-MY,7,0,0,False,Apartment,Apartment / Unit / Flat,Evoke Property,36939,Laura Braun,"Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Pets Allowed",https://www.domain.com.au/412-49-mclister-street-spotswood-vic-3015-16920597
17249371,SPOTSWOOD,3015,520,2259,"Friday, 22 August 2025",2025-07-30,41,1,1,1.0,Apartment / Unit / Flat,206/51 Birmingham Street,-37.83083,144.87898,2025-09-09 17:26:30,17249371,UP-7532-ZT,13,0,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Broadband, Split System Heating, Split System Air Conditioning, Electric Hot Water, Balcony",https://www.domain.com.au/206-51-birmingham-street-spotswood-vic-3015-17249371
17589307,SPOTSWOOD,3015,995,4312,"Wednesday, 28 May 2025",2025-05-23,108,4,2,5.0,House,37 Mary Street,-37.827984,144.87733,2025-09-09 17:26:30,17589307,HU-5382-QF,9,0,0,False,House,House,Lease A Property ,21230,Marc Angelone,"Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Courtyard, Deck, Remote Garage, Secure Parking, Shed, Pets Allowed",https://www.domain.com.au/37-mary-street-spotswood-vic-3015-17589307
17594476,SPOTSWOOD,3015,995,4312,"Wednesday, 28 May 2025",2025-05-28,104,4,2,4.0,House,37 Mary St,-37.827984,144.87733,2025-09-09 17:26:30,17594476,HU-5382-QF,10,0,0,False,House,House,RentBetter,27499,,"Internal Laundry, Air conditioning, Built in wardrobes, Dishwasher, Garden / Courtyard, Heating, Secure Parking, Shed",https://www.domain.com.au/37-mary-st-spotswood-vic-3015-17594476
17615982,SPOTSWOOD,3015,550,2390,"Saturday, 09 August 2025",2025-06-11,90,3,1,1.0,House,26 Reed Street,-37.829903,144.88203,2025-09-09 17:26:30,17615982,,11,0,0,False,House,House,Raine & Horne Williamstown,27263,Jane Brettell,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/26-reed-street-spotswood-vic-3015-17615982
17655695,SPOTSWOOD,3015,420,1825,"Wednesday, 09 July 2025",2025-07-07,64,2,1,1.0,Apartment / Unit / Flat,1/15 Kernot Street,-37.827732,144.87337,2025-09-09 17:26:30,17655695,,11,0,0,False,Apartment,Apartment / Unit / Flat,Nicholas Scott Real Estate,8676,Marcela Barragan,"Internal Laundry, Bath, Air conditioning, Heating, Built in wardrobes",https://www.domain.com.au/1-15-kernot-street-spotswood-vic-3015-17655695
17690201,SPOTSWOOD,3015,590,2564,"Tuesday, 29 July 2025",2025-07-29,42,2,2,,Apartment / Unit / Flat,421/49 McLister Street,-37.83131,144.88284,2025-09-09 17:26:30,17690201,,5,0,0,False,Apartment,Apartment / Unit / Flat,Evoke Property,36939,Laura Braun,"Air conditioning, Gas, Internal Laundry, Intercom, Balcony / Deck, Dishwasher, Bathtub, Split System Heating, Pets Allowed",https://www.domain.com.au/421-49-mclister-street-spotswood-vic-3015-17690201
17690213,SPOTSWOOD,3015,730,3172,"Tuesday, 29 July 2025",2025-07-29,42,2,2,1.0,Apartment / Unit / Flat,504/49 McLister Street,-37.83131,144.88284,2025-09-09 17:26:30,17690213,,6,0,0,False,Apartment,Apartment / Unit / Flat,Evoke Property,36939,Laura Braun,"Dishwasher, Split System Heating, Pets Allowed",https://www.domain.com.au/504-49-mclister-street-spotswood-vic-3015-17690213
17712718,SPOTSWOOD,3015,570,2477,"Wednesday, 10 September 2025",2025-08-13,27,2,1,,Apartment / Unit / Flat,302/49 McLister Street,-37.83131,144.88284,2025-09-09 17:26:30,17712718,,7,0,0,False,Apartment,Apartment / Unit / Flat,Evoke Property,36939,Laura Braun,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Intercom, Balcony / Deck, Dishwasher, Split System Heating, Pets Allowed",https://www.domain.com.au/302-49-mclister-street-spotswood-vic-3015-17712718
17738412,SPOTSWOOD,3015,980,4247,"Monday, 29 September 2025",2025-08-29,11,4,3,2.0,House,26 Birmingham Street,-37.83045,144.87866,2025-09-09 17:26:30,17738412,,8,0,1,False,House,House,McGrath Yarraville,15054,Raelene Hallmark,"Air conditioning, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/26-birmingham-street-spotswood-vic-3015-17738412
17743813,SPOTSWOOD,3015,680,2955,"Saturday, 13 September 2025",2025-09-02,7,3,2,1.0,House,57 Hope Street,-37.82849,144.88603,2025-09-09 17:26:30,17743813,,9,0,0,False,House,House,Compton Green,3133,"Linda Lawrence, Gia Rigas","Secure Parking, Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Garden / Courtyard",https://www.domain.com.au/57-hope-street-spotswood-vic-3015-17743813
17747045,SPOTSWOOD,3015,830,3606,"Friday, 26 September 2025",2025-09-04,5,3,2,2.0,Townhouse,1/8 Strong Street,-37.82476,144.86974,2025-09-09 17:26:30,17747045,,12,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Inner West,19574,"Elliott Heslop, Sala Liku","Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Outdoor Entertainment Area, Remote Garage, Secure Parking",https://www.domain.com.au/1-8-strong-street-spotswood-vic-3015-17747045
17750448,SPOTSWOOD,3015,440,1912,"Friday, 03 October 2025",2025-09-08,1,1,1,,Apartment / Unit / Flat,2/84 The Avenue,-37.82647,144.87599,2025-09-09 17:26:30,17750448,,5,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Northcote,4721,"Yana Colosimo, Ann Adams",,https://www.domain.com.au/2-84-the-avenue-spotswood-vic-3015-17750448
17753262,SPOTSWOOD,3015,500,2173,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,1/617 Melbourne Road,-37.828747,144.88101,2025-09-09 17:26:30,17753262,,10,0,0,False,Apartment,Apartment / Unit / Flat,Biggin & Scott Altona North,31641,Mick Abdou,Furnished,https://www.domain.com.au/1-617-melbourne-road-spotswood-vic-3015-17753262
