listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14141482,SPRINGVALE,3171,315,1260,"Tuesday, 23 September 2025",2025-08-25,15,1,1,,House,Room 4/18 Gunther Avenue,-37.958073,145.15967,2025-09-09 17:32:53,14141482,,4,0,0,False,House,House,Raine & Horne Springvale,8693,"Rental Department, Mary Tran","Gas, Air conditioning, Built in wardrobes",https://www.domain.com.au/room-4-18-gunther-avenue-springvale-vic-3171-14141482
15314629,SPRINGVALE,3171,640,2781,"Friday, 29 August 2025",2025-07-31,40,3,2,2.0,Townhouse,2/3 Wales Street,-37.94691,145.157,2025-09-09 17:32:53,15314629,XT-6341-HN,8,0,0,False,Townhouse/Villa,Townhouse,Raine & Horne Springvale,8693,"Rental Department, Mary Tran","Gas, Internal Laundry, Dishwasher, Shed",https://www.domain.com.au/2-3-wales-street-springvale-vic-3171-15314629
16289772,SPRINGVALE,3171,500,2173,"Tuesday, 09 September 2025",2025-09-09,0,3,1,1.0,House,26 Avondale Street,-37.939857,145.15207,2025-09-09 17:32:53,16289772,XD-0990-VT,9,0,0,False,House,House,Leyton Real Estate,17482,Diane Nguyen,"Balcony / Deck, Garden / Courtyard, Fully fenced, Floorboards, Internal Laundry",https://www.domain.com.au/26-avondale-street-springvale-vic-3171-16289772
16431697,SPRINGVALE,3171,500,2172,"Thursday, 09 October 2025",2025-09-08,1,2,1,2.0,Apartment / Unit / Flat,5/8-10 View Road,-37.954132,145.1571,2025-09-09 17:32:53,16431697,HD-7769-KT,12,1,0,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Chris Lu, Mary Navarro","Built in wardrobes, Internal Laundry, Floorboards, Secure Parking",https://www.domain.com.au/5-8-10-view-road-springvale-vic-3171-16431697
17191790,SPRINGVALE,3171,360,1560,"Friday, 05 September 2025",2025-09-03,6,1,1,1.0,Apartment / Unit / Flat,12/4A Colonsay Road,-37.955917,145.15854,2025-09-09 17:32:53,17191790,HF-1309-EH,7,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Noble Park | Springvale,6380,"Joseph Taranto, Mohammad Nawed",Bath,https://www.domain.com.au/12-4a-colonsay-road-springvale-vic-3171-17191790
17690521,SPRINGVALE,3171,795,3454,"Friday, 19 September 2025",2025-07-29,42,3,2,2.0,Townhouse,1/4 Hillside Street,-37.93968,145.16568,2025-09-09 17:32:53,17690521,,6,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Glen Waverley,5378,"Jocelyn  Leong, Athena Leung","Gas, Internal Laundry, Split System Air Con, Split System Heating, Study, Built in wardrobes, Dishwasher, Remote Garage",https://www.domain.com.au/1-4-hillside-street-springvale-vic-3171-17690521
17718077,SPRINGVALE,3171,600,2607,"Saturday, 16 August 2025",2025-08-15,25,3,1,2.0,House,55 Peter Street,-37.961597,145.16246,2025-09-09 17:32:53,17718077,,8,0,0,False,House,House,Dynamic Estate Group,23759,Rental Dynamic,"Gas, Internal Laundry, Heating, Pets Allowed",https://www.domain.com.au/55-peter-street-springvale-vic-3171-17718077
17719982,SPRINGVALE,3171,480,2086,"Thursday, 21 August 2025",2025-08-18,22,3,1,1.0,Apartment / Unit / Flat,2/854 Heatherton Road,-37.961388,145.15068,2025-09-09 17:32:53,17719982,,12,0,0,False,Apartment,Apartment / Unit / Flat,Del Real Estate,18196,Theo Maric,"Secure Parking, Ducted Heating, Kitchen, Separate Living Unit, Entrance Hall, Formal Entry, Built in wardrobes, Floorboards, Air conditioning, Laundry",https://www.domain.com.au/2-854-heatherton-road-springvale-vic-3171-17719982
17728810,SPRINGVALE,3171,600,2400,"Monday, 18 August 2025",2025-08-22,17,3,2,2.0,House,44 Whitworth Avenue,-37.940273,145.14798,2025-09-09 17:32:53,17728810,,30,0,3,False,House,House,VIET HA Selling Expert Property Group,37907,Viet Ha,"Pets Allowed, Deck, Outdoor Entertainment Area, Secure Parking, Courtyard, Shed, Entertainment Area, Fully fenced, Alarm System, Broadband Internet Available, Dishwasher, Study, Floorboards, Air conditioning, Ducted Cooling, Split System Heating, Split System Airconditioning",https://www.domain.com.au/44-whitworth-avenue-springvale-vic-3171-17728810
17732875,SPRINGVALE,3171,640,2781,"Tuesday, 26 August 2025",2025-08-26,14,2,1,1.0,Apartment / Unit / Flat,3/35 Whitworth Avenue,-37.939964,145.15085,2025-09-09 17:32:53,17732875,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Glen Waverley,5378,"Stephanie Petrakis, Trent Dickson, Andre Barker","Gas, Internal Laundry, Bath, Split System Air Con, Split System Heating, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Heating, Evaporative Cooling, Remote Garage",https://www.domain.com.au/3-35-whitworth-avenue-springvale-vic-3171-17732875
17734289,SPRINGVALE,3171,495,2151,"Wednesday, 27 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,12/2-6 Kelvin Grove,-37.9487,145.15388,2025-09-09 17:32:53,17734289,,6,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Northcote,37294,"Sophie Bilias, George Boutsiavaras","Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/12-2-6-kelvin-grove-springvale-vic-3171-17734289
17735509,SPRINGVALE,3171,790,3433,"Wednesday, 27 August 2025",2025-08-27,13,4,3,2.0,Townhouse,1/20 Peace Street,-37.93571,145.15265,2025-09-09 17:32:53,17735509,,14,0,0,False,Townhouse/Villa,Townhouse,Roger Davis Real Estate,6422,Vicki Zhang,"Shed, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Remote Garage, Floorboards, Garden / Courtyard, Ensuite",https://www.domain.com.au/1-20-peace-street-springvale-vic-3171-17735509
17742682,SPRINGVALE,3171,560,2433,"Saturday, 06 September 2025",2025-09-02,7,3,1,1.0,Apartment / Unit / Flat,4/83 View Road,-37.96228,145.15721,2025-09-09 17:32:53,17742682,,11,0,1,False,Apartment,Apartment / Unit / Flat,J&J Realtors,33865,Andre Whelan,"Built in wardrobes, Air-Conditioner, Split System Heating, Secure Parking, Courtyard, Fully fenced",https://www.domain.com.au/4-83-view-road-springvale-vic-3171-17742682
17742697,SPRINGVALE,3171,515,2238,"Tuesday, 16 July 2024",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,110/31B Buckingham Avenue,-37.949703,145.15158,2025-09-09 17:32:53,17742697,,8,0,0,False,Apartment,Apartment / Unit / Flat,Le & Co Estate Agents,30140,Le & Co Rentals,"Built in wardrobes, Gas, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/110-31b-buckingham-avenue-springvale-vic-3171-17742697
17743754,SPRINGVALE,3171,710,3076,"Tuesday, 07 October 2025",2025-09-02,7,4,2,2.0,House,30 Flynn Street,-37.947544,145.15886,2025-09-09 17:32:53,17743754,,7,0,0,False,House,House,Ray White Oakleigh,12122,"David Hua, Joel McBow",,https://www.domain.com.au/30-flynn-street-springvale-vic-3171-17743754
17748516,SPRINGVALE,3171,580,2520,"Sunday, 05 October 2025",2025-09-05,4,3,1,2.0,House,16 Dodds Street,-37.961075,145.16077,2025-09-09 17:32:53,17748516,,10,0,0,False,House,House,Top Estate Agents,37270,"Jagjeet Singh, Karan Singh","Gas, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/16-dodds-street-springvale-vic-3171-17748516
