listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14063593,ST ALBANS,3021,340.0,1477.0,"Thursday, 18 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,2/7 Gertrude Street,-37.740814,144.79544,2025-09-09 17:38:48,14063593,NE-4811-ML,5,0,0,False,Apartment,Apartment / Unit / Flat,Raine & Horne Brunswick Sales,5247,Jake Higgins,"Internal Laundry, Heating, Ensuite",https://www.domain.com.au/2-7-gertrude-street-st-albans-vic-3021-14063593
15649206,ST ALBANS,3021,525.0,2275.0,"Friday, 15 August 2025",2025-07-17,54,3,2,1.0,House,5 Station Avenue,-37.742054,144.81189,2025-09-09 17:38:48,15649206,ZK-7211-FN,1,0,0,False,House,House,Raine & Horne Blackburn,29609,"Patrick Mane, Rupa Mane","Secure Parking, Heating",https://www.domain.com.au/5-station-avenue-st-albans-vic-3021-15649206
16960483,ST ALBANS,3021,500.0,2167.0,"Wednesday, 03 September 2025",2025-09-03,6,3,1,2.0,House,1 Pottenger Way,-37.760403,144.80397,2025-09-09 17:38:48,16960483,TX-0271-NP,12,0,0,False,House,House,Biggin & Scott Deer Park,4688,Elena Mandalas,,https://www.domain.com.au/1-pottenger-way-st-albans-vic-3021-16960483
17126521,ST ALBANS,3021,430.0,1869.0,"Monday, 22 September 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,6/428 Main Road West,-37.7428,144.78917,2025-09-09 17:38:48,17126521,IQ-7341-FK,10,0,0,False,Apartment,Apartment / Unit / Flat,Westside Real Estate,12961,Leasing,"Air conditioning, Gas, Heating",https://www.domain.com.au/6-428-main-road-west-st-albans-vic-3021-17126521
17292147,ST ALBANS,3021,400.0,1733.0,"Monday, 08 September 2025",2025-08-18,22,2,1,1.0,Townhouse,3/48-50 William Street,-37.73736,144.81644,2025-09-09 17:38:48,17292147,XI-6222-OJ,11,0,0,False,Townhouse/Villa,Townhouse, Sweeney Estate Agents St. Albans,18290,"Roz Gauci, Administration Sunshine","Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck, Intercom, Tennis Court",https://www.domain.com.au/3-48-50-william-street-st-albans-vic-3021-17292147
17662328,ST ALBANS,3021,180.0,360.0,"Friday, 11 July 2025",2025-07-10,61,1,3,,House,68 View St,-37.739555,144.80519,2025-09-09 17:38:48,17662328,,14,0,0,False,House,House,Realty Finder Group,37363,"Peter Dang, Tam Huynh","Broadband internet access, Air conditioning, Garden / Courtyard, Fully fenced, Floorboards, Internal Laundry, Furnished",https://www.domain.com.au/68-view-st-st-albans-vic-3021-17662328
17671877,ST ALBANS,3021,330.0,1434.0,"Wednesday, 16 July 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,1/12 Marsden Crescent,-37.74507,144.79852,2025-09-09 17:38:48,17671877,,8,0,0,False,Apartment,Apartment / Unit / Flat,Westside Real Estate,12961,"Leasing, Ritesh Chauhan","Alarm System, Built in wardrobes, Air conditioning",https://www.domain.com.au/1-12-marsden-crescent-st-albans-vic-3021-17671877
17696918,ST ALBANS,3021,520.0,2253.0,"Friday, 01 August 2025",2025-08-01,39,3,1,2.0,House,1 Kubura Place,-37.748276,144.82721,2025-09-09 17:38:48,17696918,,8,0,0,False,House,House,Raine & Horne St Albans,19493,"Ana Lamprou, Jelena Milosevic","Built in wardrobes, Gas, Bath, Balcony / Deck",https://www.domain.com.au/1-kubura-place-st-albans-vic-3021-17696918
17705908,ST ALBANS,3021,390.0,1690.0,"Friday, 08 August 2025",2025-08-07,33,2,1,1.0,Apartment / Unit / Flat,3/66-68 Avondale Avenue,-37.740807,144.81586,2025-09-09 17:38:48,17705908,,10,0,0,False,Apartment,Apartment / Unit / Flat,Raine & Horne St Albans,19493,"Danny Trkulja, Jelena Milosevic","Air conditioning, Built in wardrobes",https://www.domain.com.au/3-66-68-avondale-avenue-st-albans-vic-3021-17705908
17719503,ST ALBANS,3021,500.0,2173.0,"Tuesday, 26 August 2025",2025-08-18,22,3,1,3.0,House,99 Alfrieda Street,-37.735424,144.80176,2025-09-09 17:38:48,17719503,,10,0,0,False,House,House,Create Real Estate,13833,Create Rentals,"Gas, Internal Laundry, Separate Dining Room",https://www.domain.com.au/99-alfrieda-street-st-albans-vic-3021-17719503
