listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17520350,ST KILDA,3182,900.0,3911.0,"Monday, 08 September 2025",2025-09-08,1,2.0,2.0,2.0,Apartment / Unit / Flat,33/352 Canterbury Road,-37.85898,144.97668,2025-09-09 17:52:35,17520350,HI-5278-EW,15,1,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,Millie Bowles,"Air conditioning, Dishwasher, Balcony / Deck, Car Accom: Carport, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven, Laundry: yes, Pool/Spa Count: 0",https://www.domain.com.au/33-352-canterbury-road-st-kilda-vic-3182-17520350
17661144,ST KILDA,3182,360.0,1564.0,"Tuesday, 15 July 2025",2025-09-08,1,1.0,1.0,1.0,Apartment / Unit / Flat,32/25 Redan Street,-37.860126,144.9903,2025-09-09 17:52:35,17661144,,8,0,2,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Tass Roussos",,https://www.domain.com.au/32-25-redan-street-st-kilda-vic-3182-17661144
17743593,ST KILDA,3182,450.0,1955.0,"Friday, 05 September 2025",2025-09-02,7,1.0,1.0,1.0,Apartment / Unit / Flat,22/82 Grey Street,-37.862785,144.98056,2025-09-09 17:52:35,17743593,,8,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Real Estate Brighton,3915,Paul West,,https://www.domain.com.au/22-82-grey-street-st-kilda-vic-3182-17743593
17746835,ST KILDA,3182,530.0,2303.0,"Thursday, 04 September 2025",2025-09-04,5,1.0,1.0,1.0,Apartment / Unit / Flat,317/163 Fitzroy Street,-37.85867,144.97974,2025-09-09 17:52:35,17746835,,6,0,0,False,Apartment,Apartment / Unit / Flat,Biggin & Scott Stonnington,3276,"Tom Koller, Etienne des Anges",,https://www.domain.com.au/317-163-fitzroy-street-st-kilda-vic-3182-17746835
17748974,ST KILDA,3182,650.0,2824.0,"Friday, 12 September 2025",2025-09-05,4,2.0,1.0,2.0,Apartment / Unit / Flat,4/1 Duke Street,-37.867386,144.98817,2025-09-09 17:52:35,17748974,,14,0,1,False,Apartment,Apartment / Unit / Flat,McGrath St Kilda,16646,"Joanne Pearson, Callum Haydock",,https://www.domain.com.au/4-1-duke-street-st-kilda-vic-3182-17748974
17749079,ST KILDA,3182,400.0,1738.0,"Tuesday, 16 September 2025",2025-09-05,4,1.0,1.0,1.0,Apartment / Unit / Flat,3/54 Barkly Street,-37.861076,144.98253,2025-09-09 17:52:35,17749079,,6,0,2,False,Apartment,Apartment / Unit / Flat,McGrath St Kilda,16646,"Callum Haydock, Artem Chereshkov",,https://www.domain.com.au/3-54-barkly-street-st-kilda-vic-3182-17749079
17750635,ST KILDA,3182,850.0,4250.0,"Monday, 22 September 2025",2025-09-08,1,2.0,1.0,,Apartment / Unit / Flat,6/11 Wimmera Place,-37.864178,144.97496,2025-09-09 17:52:35,17750635,,14,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property Albert Park,3702,"Shar Claridge, William Brydon Waldren","Fireplace(s), Balcony / Deck, Air conditioning, Heating, Area Views, Ocean Views, Furnished, Dishwasher",https://www.domain.com.au/6-11-wimmera-place-st-kilda-vic-3182-17750635
17750908,ST KILDA,3182,460.0,1999.0,"Saturday, 13 September 2025",2025-09-08,1,1.0,1.0,1.0,Apartment / Unit / Flat,107/126 Carlisle Street,-37.867928,144.98827,2025-09-09 17:52:35,17750908,,5,0,2,False,Apartment,Apartment / Unit / Flat,Belle Property South Yarra,3721,"Sam Landale, Lauren Herber","Secure Parking, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/107-126-carlisle-street-st-kilda-vic-3182-17750908
17750922,ST KILDA,3182,700.0,3042.0,"Friday, 12 September 2025",2025-09-08,1,2.0,1.0,,Apartment / Unit / Flat,1/39-41 Vale Street,-37.866608,144.98506,2025-09-09 17:52:35,17750922,,9,0,0,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Thembie Sikwila, Lachie Brown","Split System Air Con, Split System Heating, Garden / Courtyard",https://www.domain.com.au/1-39-41-vale-street-st-kilda-vic-3182-17750922
17751249,ST KILDA,3182,550.0,2390.0,"Thursday, 25 September 2025",2025-09-08,1,1.0,1.0,1.0,Apartment / Unit / Flat,72/13 The Esplanade,-37.864605,144.97322,2025-09-09 17:52:35,17751249,,5,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Alison Loiterton","Air conditioning, Dishwasher",https://www.domain.com.au/72-13-the-esplanade-st-kilda-vic-3182-17751249
17751979,ST KILDA,3182,725.0,3151.0,"Friday, 12 September 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,101/54-56 Chapel Street,-37.86611,144.99097,2025-09-09 17:52:35,17751979,,9,0,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,Juan Mova,"Air conditioning, Built in wardrobes, Gas, Pool/Spa Count: 0",https://www.domain.com.au/101-54-56-chapel-street-st-kilda-vic-3182-17751979
17752006,ST KILDA,3182,695.0,3020.0,"Monday, 29 September 2025",2025-09-08,1,2.0,1.0,1.0,Apartment / Unit / Flat,5/2 Emilton Avenue,-37.86218,144.98169,2025-09-09 17:52:35,17752006,,9,1,2,True,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Hannah West","Heating, Close to transport, Close to shops, Floorboards, Secure Parking, Dishwasher",https://www.domain.com.au/5-2-emilton-avenue-st-kilda-vic-3182-17752006
17752350,ST KILDA,3182,700.0,3042.0,"Monday, 15 September 2025",2025-09-08,1,2.0,1.0,1.0,Apartment / Unit / Flat,4/39 Marine Parade,-37.87333,144.9769,2025-09-09 17:52:35,17752350,,7,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott St Kilda / Elwood,3356,Bella Perruzza,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/4-39-marine-parade-st-kilda-vic-3182-17752350
