listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17579963,ST KILDA EAST,3183,380,1651.0,"Wednesday, 24 September 2025",2025-09-04,5,,1,1.0,Studio,12/24-26 Lansdowne Road,-37.862312,145.0064,2025-09-09 18:07:08,17579963,AG-0421-ZP,10,0,1,False,Apartment,Studio,McGrath St Kilda,16646,"Joanne Pearson, Artem Chereshkov","Heating, Close to transport, Close to shops, Swimming Pool, Intercom, Close to schools, Security Access",https://www.domain.com.au/12-24-26-lansdowne-road-st-kilda-east-vic-3183-17579963
17655032,ST KILDA EAST,3183,1390,9000.0,"Thursday, 07 August 2025",2025-07-06,65,6.0,4,4.0,House,9A Loch Avenue,-37.87575,145.00604,2025-09-09 18:07:08,17655032,,11,0,1,False,House,House,Buxton Real Estate Brighton,3934,Michelle Murray,Ensuite,https://www.domain.com.au/9a-loch-avenue-st-kilda-east-vic-3183-17655032
17682142,ST KILDA EAST,3183,340,1477.0,"Wednesday, 20 August 2025",2025-07-23,48,1.0,1,1.0,Studio,30/4 Wando Grove,-37.860863,145.00822,2025-09-09 18:07:08,17682142,,8,0,0,False,Apartment,Studio,  Buxton Port Phillip,15964,"Lani Perry, Jacci Dunne",Built in wardrobes,https://www.domain.com.au/30-4-wando-grove-st-kilda-east-vic-3183-17682142
17684022,ST KILDA EAST,3183,545,2368.0,"Thursday, 14 August 2025",2025-07-24,47,2.0,1,1.0,Apartment / Unit / Flat,1/1 Marne Street,-37.86679,145.00716,2025-09-09 18:07:08,17684022,,12,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Stonnington,122,Cameron  Gibson,"Air conditioning, Split System Air Con, Split System Heating, Study, Built in wardrobes, Dishwasher, Floorboards, Intercom",https://www.domain.com.au/1-1-marne-street-st-kilda-east-vic-3183-17684022
17721585,ST KILDA EAST,3183,500,2173.0,"Friday, 29 August 2025",2025-08-19,21,2.0,1,1.0,Apartment / Unit / Flat,6/145A Hotham Street,-37.873333,144.99849,2025-09-09 18:07:08,17721585,,9,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Prahran South Yarra,3916,"Ebony Wise, Prahran Leasing","Gas, Balcony / Deck, Dishwasher, Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/6-145a-hotham-street-st-kilda-east-vic-3183-17721585
17724637,ST KILDA EAST,3183,760,3302.0,"Wednesday, 20 August 2025",2025-08-20,20,3.0,1,,House,10 Kalymna Grove,-37.86631,145.00557,2025-09-09 18:07:08,17724637,,8,0,0,False,House,House,Flare Real Estate,8251,"Laura Marshalik, Leasing Agent","Ducted Heating, Built in wardrobes, Outdoor Entertainment Area, Laundry Facilities, Backyard",https://www.domain.com.au/10-kalymna-grove-st-kilda-east-vic-3183-17724637
17727650,ST KILDA EAST,3183,595,2585.0,"Friday, 05 September 2025",2025-08-22,18,2.0,1,1.0,Apartment / Unit / Flat,1/2 Boondara Gr,-37.862797,144.99884,2025-09-09 18:07:08,17727650,,9,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Gas, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/1-2-boondara-gr-st-kilda-east-vic-3183-17727650
17730126,ST KILDA EAST,3183,600,2607.0,"Friday, 12 September 2025",2025-08-25,15,2.0,1,1.0,Apartment / Unit / Flat,10/154 Alma Road,-37.862366,145.00002,2025-09-09 18:07:08,17730126,,10,0,1,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Angela Clark","Air conditioning, Balcony / Deck, Built in wardrobes, Secure Parking",https://www.domain.com.au/10-154-alma-road-st-kilda-east-vic-3183-17730126
17733424,ST KILDA EAST,3183,510,2216.0,"Monday, 22 September 2025",2025-08-27,13,2.0,1,1.0,Apartment / Unit / Flat,7/224 Alma Road,-37.863483,145.00919,2025-09-09 18:07:08,17733424,,7,0,1,False,Apartment,Apartment / Unit / Flat,  Buxton Port Phillip,15964,"Lani Perry, Samantha Brennan","Dishwasher, Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/7-224-alma-road-st-kilda-east-vic-3183-17733424
17735607,ST KILDA EAST,3183,500,2173.0,"Friday, 29 August 2025",2025-08-27,12,1.0,1,1.0,Apartment / Unit / Flat,8/2 Shirley Grove,-37.860287,145.00511,2025-09-09 18:07:08,17735607,,10,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Brodie Mcphie",,https://www.domain.com.au/8-2-shirley-grove-st-kilda-east-vic-3183-17735607
