listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17656213,STRATHMORE,3041,595,2586,"Saturday, 26 July 2025",2025-07-07,64,3,2,1.0,House,19A Melissa Street,-37.72996,144.91795,2025-09-09 16:49:33,17656213,7,0,0,False,House,House,Woodards Essendon,2743,Ashleigh Owens,"Internal Laundry, Broadband internet access, Heating, Dishwasher, Air conditioning, Gas, Ensuite",https://www.domain.com.au/19a-melissa-street-strathmore-vic-3041-17656213
17680985,STRATHMORE,3041,520,2259,"Monday, 18 August 2025",2025-07-22,48,2,1,1.0,Apartment / Unit / Flat,14/2 North Avenue,-37.742805,144.92735,2025-09-09 16:49:33,17680985,15,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Moonee Valley,13365,"Megan Reddy, Laura La Bruna","Air conditioning, Internal Laundry, Secure Parking, Intercom, Bath, Heating, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/14-2-north-avenue-strathmore-vic-3041-17680985
17684547,STRATHMORE,3041,650,2824,"Thursday, 21 August 2025",2025-07-24,47,3,2,2.0,Townhouse,3/42 Streldon Avenue,-37.722393,144.90877,2025-09-09 16:49:33,17684547,12,0,1,True,Townhouse/Villa,Townhouse,Jellis Craig Moonee Valley,13365,"Megan Reddy, Kayla Young","Gas, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck, Split System Heating, Built in wardrobes",https://www.domain.com.au/3-42-streldon-avenue-strathmore-vic-3041-17684547
17685685,STRATHMORE,3041,400,1738,"Friday, 25 July 2025",2025-07-25,46,2,1,,Apartment / Unit / Flat,2/30 Lebanon Street,-37.72813,144.91914,2025-09-09 16:49:33,17685685,14,0,1,True,Apartment,Apartment / Unit / Flat,Jellis Craig Moonee Valley,13365,"Megan Reddy, Laura La Bruna","Internal Laundry, Split System Heating, Built in wardrobes",https://www.domain.com.au/2-30-lebanon-street-strathmore-vic-3041-17685685
17688671,STRATHMORE,3041,600,2607,"Monday, 28 July 2025",2025-07-30,40,3,2,1.0,Apartment / Unit / Flat,3/16 Lind Street,-37.732063,144.92175,2025-09-09 16:49:33,17688671,11,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Moonee Valley,13365,"Megan Reddy, Laura La Bruna","Gas, Dishwasher, Balcony / Deck, Split System Heating, Built in wardrobes",https://www.domain.com.au/3-16-lind-street-strathmore-vic-3041-17688671
17703929,STRATHMORE,3041,880,3824,"Wednesday, 27 August 2025",2025-08-06,34,4,2,2.0,House,479 Pascoe Vale Road,-37.731342,144.9234,2025-09-09 16:49:33,17703929,10,0,0,False,House,House,Nelson Alexander Essendon,4722,Mia Stanley,"Gas, Secure Parking, Heating, Dishwasher, Fully fenced, Ensuite",https://www.domain.com.au/479-pascoe-vale-road-strathmore-vic-3041-17703929
17713782,STRATHMORE,3041,550,2389,"Friday, 12 September 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,304/82 Bulla Road,-37.736153,144.90549,2025-09-09 16:49:33,17713782,5,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Essendon,4722,Chelsea Barber,"Air conditioning, Internal Laundry, Balcony / Deck",https://www.domain.com.au/304-82-bulla-road-strathmore-vic-3041-17713782
17727648,STRATHMORE,3041,650,2824,"Friday, 22 August 2025",2025-08-22,18,3,1,2.0,House,188 Mascoma St,-37.71879,144.90433,2025-09-09 16:49:33,17727648,8,0,0,False,House,House,McDonald Upton,11154,Sheryl Upton,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/188-mascoma-st-strathmore-vic-3041-17727648
17728448,STRATHMORE,3041,820,3563,"Friday, 22 August 2025",2025-08-22,18,4,1,4.0,House,306 Napier St,-37.7351,144.91937,2025-09-09 16:49:33,17728448,11,0,0,False,House,House,McDonald Upton,11154,Lina Alyas,"Built in wardrobes, Gas, Bath, Heating, Dishwasher, Solar panels",https://www.domain.com.au/306-napier-st-strathmore-vic-3041-17728448
17730613,STRATHMORE,3041,610,2650,"Wednesday, 10 September 2025",2025-08-25,15,2,1,1.0,Townhouse,2/7 Drina Street,-37.730927,144.92041,2025-09-09 16:49:33,17730613,6,0,0,False,Townhouse/Villa,Townhouse,RT Edgar - Northside,32225,Lily Passarelli,"Split System Air Con, Alarm System, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Fully fenced, Remote Garage",https://www.domain.com.au/2-7-drina-street-strathmore-vic-3041-17730613
