listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16504794,SUNBURY,3429,470.0,2043.0,"Friday, 17 October 2025",2025-09-08,1,2,2,1.0,Townhouse,3/40 Barkly Street,-37.582405,144.73035,2025-09-09 16:17:31,16504794,ZT-4899-QZ,8,0,0,False,Townhouse/Villa,Townhouse,Leading Real Estate Sunbury Pty Ltd,24193,"Tiffany Sacco, Alicia Coronica","Study, Air conditioning, Floorboards, Built in wardrobes, Secure Parking, keyless entry, low maintenance yard",https://www.domain.com.au/3-40-barkly-street-sunbury-vic-3429-16504794
16590717,SUNBURY,3429,450.0,1955.0,"Friday, 19 September 2025",2025-08-04,36,3,1,1.0,House,24 Melba Avenue,-37.573997,144.70508,2025-09-09 16:17:31,16590717,KV-2435-VX,10,0,1,False,House,House,Raine & Horne Sunbury,5265,Jessica Old,"Built in wardrobes, Fireplace(s), Heating",https://www.domain.com.au/24-melba-avenue-sunbury-vic-3429-16590717
16994912,SUNBURY,3429,440.0,1912.0,"Wednesday, 23 July 2025",2025-07-23,48,3,1,2.0,House,85 Riddell Road,-37.569,144.72021,2025-09-09 16:17:31,16994912,NJ-4389-TG,6,0,0,False,House,House,Raine & Horne Sunbury,5265,Jessica Old,"Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/85-riddell-road-sunbury-vic-3429-16994912
17172755,SUNBURY,3429,495.0,2150.0,"Friday, 19 September 2025",2025-08-11,28,3,1,1.0,House,56 Melba Avenue,-37.57371,144.70224,2025-09-09 16:17:31,17172755,AN-8860-VZ,12,0,0,False,House,House,Raine & Horne Sunbury,5265,Jessica Old,,https://www.domain.com.au/56-melba-avenue-sunbury-vic-3429-17172755
17215005,SUNBURY,3429,520.0,2260.0,"Wednesday, 15 October 2025",2025-09-08,1,4,2,2.0,House,17 Cannington Grove,-37.561714,144.69562,2025-09-09 16:17:31,17215005,OK-7997-QH,6,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Secure Parking,https://www.domain.com.au/17-cannington-grove-sunbury-vic-3429-17215005
17664799,SUNBURY,3429,560.0,,"Friday, 11 July 2025",2025-07-11,60,3,2,2.0,Townhouse,45 Rubrum Rd,-37.61935,144.7732,2025-09-09 16:17:31,17664799,,8,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,"Internal Laundry, Secure Parking, Dishwasher, Solar panels, Study",https://www.domain.com.au/45-rubrum-rd-sunbury-vic-3429-17664799
17665542,SUNBURY,3429,650.0,,"Friday, 11 July 2025",2025-07-11,59,4,3,2.0,Townhouse,46 Needlebush Dr,-37.61944,144.77231,2025-09-09 16:17:31,17665542,,6,0,0,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/46-needlebush-dr-sunbury-vic-3429-17665542
17674932,SUNBURY,3429,560.0,2433.0,"Monday, 21 July 2025",2025-08-28,12,4,2,2.0,House,57 Argant Loop,-37.59244,144.75374,2025-09-09 16:17:31,17674932,,11,0,1,True,House,House,Raine & Horne Sunbury,5265,Leah Stewart,"Air conditioning, Floorboards, Alarm System, Built in wardrobes, Bath, Heating, Dishwasher, Stone bench tops, alfresco, landscapped, open plan living & meals, alarm",https://www.domain.com.au/57-argant-loop-sunbury-vic-3429-17674932
17714810,SUNBURY,3429,510.0,2217.0,"Friday, 15 August 2025",2025-08-14,26,3,2,2.0,Apartment / Unit / Flat,3/73 Pasley Street,-37.582268,144.72295,2025-09-09 16:17:31,17714810,,10,0,0,True,Apartment,Apartment / Unit / Flat,Raine & Horne Sunbury,5265,Kayla Van Dort,"Air conditioning, Ensuite, Built in wardrobes",https://www.domain.com.au/3-73-pasley-street-sunbury-vic-3429-17714810
17715140,SUNBURY,3429,595.0,2585.0,"Monday, 18 August 2025",2025-08-14,26,4,2,2.0,House,13 Bamal Street,-37.60144,144.71498,2025-09-09 16:17:31,17715140,,10,0,1,True,House,House,Raine & Horne Sunbury,5265,Leah Stewart,"Air conditioning, Floorboards, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/13-bamal-street-sunbury-vic-3429-17715140
17723360,SUNBURY,3429,515.0,2238.0,"Thursday, 21 August 2025",2025-08-20,20,4,2,,House,8 Hogan Street,-37.573505,144.7267,2025-09-09 16:17:31,17723360,,10,0,0,True,House,House,Raine & Horne Sunbury,5265,Leah Stewart,"Air conditioning, Built in wardrobes, Bath, Heating, Secure Parking, Fully fenced",https://www.domain.com.au/8-hogan-street-sunbury-vic-3429-17723360
17735853,SUNBURY,3429,470.0,2042.0,"Monday, 15 September 2025",2025-08-28,12,3,3,1.0,House,41 Lawson Street,-37.58466,144.71457,2025-09-09 16:17:31,17735853,,13,0,0,False,House,House,Area Specialist Melton,36985,Rae Wilson,"Gas, Internal Laundry, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Broadband, Air-Conditioner, Shed, Fully fenced",https://www.domain.com.au/41-lawson-street-sunbury-vic-3429-17735853
17737754,SUNBURY,3429,515.0,2238.0,"Friday, 29 August 2025",2025-08-29,11,2,2,1.0,House,62 Alpaca Drive,-37.6036,144.7624,2025-09-09 16:17:31,17737754,,10,0,0,True,House,House,Raine & Horne Sunbury,5265,Leah Stewart,"Floorboards, Alarm System, Built in wardrobes, Bath, Dishwasher, Study, Fully fenced, Garden / Courtyard, free standing bath, apron sink, vaulted ceiling, ceiling fans",https://www.domain.com.au/62-alpaca-drive-sunbury-vic-3429-17737754
