listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10295644,SUNSHINE,3020,300,1300.0,"Tuesday, 25 March 2025",2025-08-24,16,1.0,1,,Apartment / Unit / Flat,2/13 Chapman Street,-37.794655,144.83276,2025-09-09 16:26:14,10295644,,8,0,0,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Bath, Formal Lounge, Heating, Modern Kitchen, Floorboards, Renovated, Renovated Kitchen, Entertainment Area, Garden, Level Lawn, Shower Facilities, Close to Parklands, Close to schools, Close to shops, Close to transport, Quiet Location, Non Smoking, Gas Enabled, Internal Laundry, Courtyard",https://www.domain.com.au/2-13-chapman-street-sunshine-vic-3020-10295644
15896541,SUNSHINE,3020,310,1347.0,"Monday, 15 September 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,280 Sunshine Road,-37.796318,144.83977,2025-09-09 16:26:14,15896541,,4,0,0,False,Apartment,Apartment / Unit / Flat,Burnham Real Estate Footscray,3381,Bryson De Guzman,,https://www.domain.com.au/280-sunshine-road-sunshine-vic-3020-15896541
16189562,SUNSHINE,3020,500,2173.0,"Tuesday, 12 August 2025",2025-08-07,33,3.0,1,1.0,House,14 Rufford Street,-37.770004,144.83429,2025-09-09 16:26:14,16189562,PT-0167-GO,9,0,0,False,House,House,Burnham Real Estate Footscray,3381,Bryson De Guzman,"Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/14-rufford-street-sunshine-vic-3020-16189562
17087674,SUNSHINE,3020,370,1608.0,"Friday, 25 July 2025",2025-07-07,64,1.0,1,1.0,Apartment / Unit / Flat,5/35 Sun Crescent,-37.786606,144.82924,2025-09-09 16:26:14,17087674,AB-3226-HV,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Sunshine,28523,Shenae Sutherland,"Floorboards, Heating, Secure Parking",https://www.domain.com.au/5-35-sun-crescent-sunshine-vic-3020-17087674
17560047,SUNSHINE,3020,350,,"Tuesday, 06 May 2025",2025-09-03,6,1.0,1,,Apartment / Unit / Flat,205/117 Durham Road,-37.788567,144.83066,2025-09-09 16:26:14,17560047,NF-1001-RD,7,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Sunshine,8753,"Alice Mosut, Demi Theoharou","Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/205-117-durham-road-sunshine-vic-3020-17560047
17607317,SUNSHINE,3020,560,1120.0,"Thursday, 29 May 2025",2025-06-05,96,1.0,1,1.0,Apartment / Unit / Flat,111/81 Derby Road,-37.790844,144.8329,2025-09-09 16:26:14,17607317,,5,0,0,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Internal Laundry, Heating, Air conditioning, Ensuite, Furnished, Lift, Modern Kitchen, Concierge/Manager, Safe, Security Lights, Swipe Card, Close to Parklands, Close to schools, Close to shops, Close to transport, Non Smoking, Rent Includes Utilities, Newly Built Property, Dishwasher, Living Area",https://www.domain.com.au/111-81-derby-road-sunshine-vic-3020-17607317
17676179,SUNSHINE,3020,350,1521.0,"Friday, 18 July 2025",2025-07-18,52,1.0,1,1.0,Apartment / Unit / Flat,3/4-6 Islington Street,-37.784943,144.83858,2025-09-09 16:26:14,17676179,,5,0,0,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,Built in wardrobes,https://www.domain.com.au/3-4-6-islington-street-sunshine-vic-3020-17676179
17699404,SUNSHINE,3020,430,1868.0,"Wednesday, 06 August 2025",2025-08-04,36,3.0,1,2.0,House,24 Boreham,-37.799767,144.82387,2025-09-09 16:26:14,17699404,,5,0,0,False,House,House,Create Real Estate,13833,Create Rentals,"Air conditioning, Built in wardrobes, Separate Dining Room, Heating",https://www.domain.com.au/24-boreham-sunshine-vic-3020-17699404
17710693,SUNSHINE,3020,450,1950.0,"Tuesday, 12 August 2025",2025-08-12,28,3.0,1,2.0,House,98 Wright Street,-37.795605,144.82979,2025-09-09 16:26:14,17710693,,9,0,0,False,House,House,Bells Real Estate Sunshine,4389,"Tris Waters, Rentals Sunshine","Air conditioning, Built in wardrobes, Gas, Internal Laundry",https://www.domain.com.au/98-wright-street-sunshine-vic-3020-17710693
17715223,SUNSHINE,3020,490,2123.0,"Friday, 22 August 2025",2025-08-14,26,3.0,1,,House,169 Morris Street,-37.792473,144.82791,2025-09-09 16:26:14,17715223,,7,0,1,False,House,House,Bells Real Estate Sunshine,4389,"Denisa Rubinic, Rentals Sunshine","Gas, Internal Laundry, Shed",https://www.domain.com.au/169-morris-street-sunshine-vic-3020-17715223
