listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17376191,SURREY HILLS,3127,200,320,"Friday, 04 November 2022",2025-01-07,245,1,2,6,Studio,Rooms/227 Elgar Road,-37.83535,145.11147,2025-09-09 16:28:55,17376191,7,0,0,True,Apartment,Studio,Woodards Blackburn,3599,"Cora Lu, Angelica Martinez","Furnished, Broadband internet access, Heating",https://www.domain.com.au/rooms-227-elgar-road-surrey-hills-vic-3127-17376191
17607034,SURREY HILLS,3127,1200,7200,"Thursday, 05 June 2025",2025-06-05,96,4,3,2,Townhouse,2B Suffolk Road,-37.82572,145.09381,2025-09-09 16:28:55,17607034,7,0,0,False,Townhouse/Villa,Townhouse,Kay & Burton Stonnington,88,Darren McMullin,"Built in wardrobes, Courtyard, Dishwasher, Floorboards, Fully fenced, Living Areas, Remote Garage, Rumpus Room, Secure Parking, Shed, Split System AirCon, Split System Heating, Study",https://www.domain.com.au/2b-suffolk-road-surrey-hills-vic-3127-17607034
17629926,SURREY HILLS,3127,625,2824,"Monday, 14 July 2025",2025-06-19,81,3,2,1,Apartment / Unit / Flat,4/7 Essex Road,-37.82643,145.0928,2025-09-09 16:28:55,17629926,11,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Coco Liao,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/4-7-essex-road-surrey-hills-vic-3127-17629926
17633308,SURREY HILLS,3127,800,3476,"Friday, 04 July 2025",2025-06-23,78,3,2,2,Townhouse,323 Elgar Road,-37.827835,145.11266,2025-09-09 16:28:55,17633308,10,0,0,True,Townhouse/Villa,Townhouse,Jellis Craig Whitehorse,20157,Katrina George,"Air conditioning, Gas, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/323-elgar-road-surrey-hills-vic-3127-17633308
17715155,SURREY HILLS,3127,900,3911,"Wednesday, 06 August 2025",2025-08-14,26,3,2,2,Townhouse,51 Boisdale Street,-37.834377,145.10446,2025-09-09 16:28:55,17715155,7,0,0,False,Townhouse/Villa,Townhouse,Ross-Hunt Real Estate,3459,Chelci Wynn,,https://www.domain.com.au/51-boisdale-street-surrey-hills-vic-3127-17715155
17717294,SURREY HILLS,3127,550,2390,"Thursday, 21 August 2025",2025-08-15,25,2,1,1,Apartment / Unit / Flat,1/19 Elm St,-37.832706,145.10619,2025-09-09 16:28:55,17717294,6,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,Glenda Martin,,https://www.domain.com.au/1-19-elm-st-surrey-hills-vic-3127-17717294
17719865,SURREY HILLS,3127,980,5880,"Thursday, 18 September 2025",2025-08-18,22,4,3,2,Townhouse,2/341 Elgar Road,-37.826393,145.11264,2025-09-09 16:28:55,17719865,9,0,0,False,Townhouse/Villa,Townhouse,Fletchers Canterbury,3923,"Edward Guo, Fletchers Property Management",,https://www.domain.com.au/2-341-elgar-road-surrey-hills-vic-3127-17719865
17727267,SURREY HILLS,3127,540,2346,"Thursday, 25 September 2025",2025-08-22,18,2,1,1,Apartment / Unit / Flat,2/14-16 Broughton Road,-37.828533,145.10405,2025-09-09 16:28:55,17727267,8,0,0,False,Apartment,Apartment / Unit / Flat,McGrath Blackburn,12105,Trudi Henn,"Internal Laundry, Secure Parking, Bath, Heating, Built in wardrobes, Close to transport, Close to shops, Carpeted, Courtyard",https://www.domain.com.au/2-14-16-broughton-road-surrey-hills-vic-3127-17727267
17728418,SURREY HILLS,3127,1100,4780,"Friday, 26 September 2025",2025-08-22,18,3,2,2,Townhouse,8a Scheele Street,-37.816048,145.09816,2025-09-09 16:28:55,17728418,10,0,1,False,Townhouse/Villa,Townhouse,Barry Marshall Real Estate,20024,"Bruce Richards, Paula Porter",Ensuite,https://www.domain.com.au/8a-scheele-street-surrey-hills-vic-3127-17728418
17729936,SURREY HILLS,3127,1100,6600,"Monday, 25 August 2025",2025-08-25,15,4,2,2,House,20 Payne Street,-37.829147,145.08888,2025-09-09 16:28:55,17729936,19,0,0,False,House,House,Langwell Harper,25956,Peter Daicos,"Gas, Secure Parking, Bath, Heating, Air conditioning, Built in wardrobes, Courtyard, Dishwasher",https://www.domain.com.au/20-payne-street-surrey-hills-vic-3127-17729936
