listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17190572,SYDENHAM,3037,530.0,,"Tuesday, 23 September 2025",2025-09-02,7,3,2,2,House,6 Cobb Junction,-37.69928,144.76805,2025-09-09 16:40:44,17190572,KU-2096-GA,15,0,1,False,House,House,Waterfront Real Estate,17081,"Jason Ealdama, Waterfront Real Estate","Gas, Dishwasher",https://www.domain.com.au/6-cobb-junction-sydenham-vic-3037-17190572
17499656,SYDENHAM,3037,460.0,1999.0,"Friday, 11 April 2025",2025-03-25,168,3,2,1,Townhouse,9/537 Melton Highway,-37.695576,144.76437,2025-09-09 16:40:44,17499656,DI-7097-EN,3,0,0,False,Townhouse/Villa,Townhouse,YPA Estate Agents Sydenham,18194,"Sienna Giannaula, Melanie Axiaq","Internal Laundry, Heating, Dishwasher, Air conditioning",https://www.domain.com.au/9-537-melton-highway-sydenham-vic-3037-17499656
17665172,SYDENHAM,3037,500.0,2173.0,"Friday, 01 August 2025",2025-07-11,60,2,2,1,Townhouse,18 Porteous Retreat,-37.70424,144.7746,2025-09-09 16:40:44,17665172,,8,0,0,False,Townhouse/Villa,Townhouse,Bells Real Estate Sunshine,4389,Rental Department Sydenham,"Ensuite, Dishwasher, Built in wardrobes, Floorboards, Air-Conditioner, Split System Heating, Remote Garage",https://www.domain.com.au/18-porteous-retreat-sydenham-vic-3037-17665172
17673443,SYDENHAM,3037,520.0,2259.0,"Friday, 25 July 2025",2025-08-19,20,3,2,2,Townhouse,1 Porteous Retreat,-37.704456,144.77505,2025-09-09 16:40:44,17673443,,8,0,0,False,Townhouse/Villa,Townhouse,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Dishwasher, Split System Heating, Pets Allowed",https://www.domain.com.au/1-porteous-retreat-sydenham-vic-3037-17673443
17680533,SYDENHAM,3037,420.0,1828.0,"Saturday, 23 August 2025",2025-07-22,49,2,1,1,Apartment / Unit / Flat,1/2 Chandos Street,-37.6902,144.7633,2025-09-09 16:40:44,17680533,,7,0,0,False,Apartment,Apartment / Unit / Flat,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-2-chandos-street-sydenham-vic-3037-17680533
17702058,SYDENHAM,3037,890.0,3868.0,"Monday, 18 August 2025",2025-08-05,34,4,2,2,House,30 Argyll St,-37.68877,144.7594,2025-09-09 16:40:44,17702058,,12,0,0,False,House,House,Barry Plant Gladstone Park,17270,Shenel Van Arkadie,"Air conditioning, Gas, Internal Laundry, Secure Parking, Bath, Fireplace(s), Dishwasher, Built in wardrobes",https://www.domain.com.au/30-argyll-st-sydenham-vic-3037-17702058
17702421,SYDENHAM,3037,475.0,2064.0,"Friday, 05 September 2025",2025-08-06,34,2,1,1,Townhouse,2/554 Melton Highway,-37.693554,144.76044,2025-09-09 16:40:44,17702421,,7,0,0,False,Townhouse/Villa,Townhouse,Professionals Taylors Lakes,8505,Julia Crisara,"Built in wardrobes, Secure Parking, Broadband internet access, Heating, Dishwasher, Balcony / Deck, Laundry",https://www.domain.com.au/2-554-melton-highway-sydenham-vic-3037-17702421
17705387,SYDENHAM,3037,510.0,2210.0,"Monday, 25 August 2025",2025-08-07,33,3,2,1,House,64 Stagecoach Crescent,-37.704594,144.76593,2025-09-09 16:40:44,17705387,,9,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea","Built in wardrobes, Heating",https://www.domain.com.au/64-stagecoach-crescent-sydenham-vic-3037-17705387
17707701,SYDENHAM,3037,500.0,2173.0,"Monday, 11 August 2025",2025-08-08,32,3,2,1,House,60 Meade Way,-37.700043,144.7594,2025-09-09 16:40:44,17707701,,11,0,0,True,House,House,First National Real Estate D & K ,15204,"Dorothy Schembri, Jordon Gillett",,https://www.domain.com.au/60-meade-way-sydenham-vic-3037-17707701
17727765,SYDENHAM,3037,560.0,2433.0,"Tuesday, 16 September 2025",2025-08-22,18,4,2,3,House,9 Rose Hedge Drive,-37.709377,144.77254,2025-09-09 16:40:44,17727765,,12,0,1,False,House,House,OBrien Real Estate Sydenham,20080,Jack Darcy,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Car Parking - Surface, Carpeted",https://www.domain.com.au/9-rose-hedge-drive-sydenham-vic-3037-17727765
