listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11125586,TARNEIT,3029,500.0,2173.0,"Monday, 17 November 2025",2025-09-08,0,3,2,2.0,House,43 Starling Avenue,-37.84019,144.70343,2025-09-09 16:18:52,11125586,PM-1215-PJ,7,0,0,False,House,House,LITTLE Real Estate Victoria,24974,Jason King,"Car Accom: Double Garage, Heating: Gas Ducted Heating, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/43-starling-avenue-tarneit-vic-3029-11125586
15343497,TARNEIT,3029,550.0,2390.0,"Friday, 10 October 2025",2025-09-08,1,4,2,2.0,House,25 Oreilly Road,-37.857323,144.66464,2025-09-09 16:18:52,15343497,SG-3007-ZT,21,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Air conditioning, Internal Laundry, Secure Parking, Heating, Study, Solar panels",https://www.domain.com.au/25-oreilly-road-tarneit-vic-3029-15343497
15428275,TARNEIT,3029,540.0,2346.0,"Tuesday, 09 September 2025",2025-09-09,0,4,2,2.0,House,9 Ravenshaw Chase,-37.84476,144.64688,2025-09-09 16:18:52,15428275,SP-9839-SX,12,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Built in wardrobes,https://www.domain.com.au/9-ravenshaw-chase-tarneit-vic-3029-15428275
16245063,TARNEIT,3029,530.0,2303.0,"Friday, 10 October 2025",2025-09-09,0,3,2,2.0,House,96 Yanga Avenue,-37.83084,144.65787,2025-09-09 16:18:52,16245063,HW-7187-QC,11,0,0,False,House,House,Bloom Estate Agents,31371,"Poushani bhattacharya, Lavisha Gahlyan",,https://www.domain.com.au/96-yanga-avenue-tarneit-vic-3029-16245063
17133436,TARNEIT,3029,510.0,2216.0,"Tuesday, 07 October 2025",2025-09-08,1,4,2,2.0,House,16 Bindi Avenue,-37.83798,144.64394,2025-09-09 16:18:52,17133436,QW-1504-GF,13,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Secure Parking, Bath, Heating, Solar panels",https://www.domain.com.au/16-bindi-avenue-tarneit-vic-3029-17133436
17414576,TARNEIT,3029,580.0,2520.0,"Thursday, 18 September 2025",2025-08-25,15,4,2,2.0,House,11 Stratus Street,-37.83887,144.63956,2025-09-09 16:18:52,17414576,RF-5410-CJ,19,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/11-stratus-street-tarneit-vic-3029-17414576
17596233,TARNEIT,3029,465.0,2020.0,"Wednesday, 15 October 2025",2025-09-04,5,4,2,1.0,House,48 Flintwood Street,-37.864166,144.64832,2025-09-09 16:18:52,17596233,HR-1961-SV,10,0,0,True,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Evaporative Cooling, Courtyard, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/48-flintwood-street-tarneit-vic-3029-17596233
17740879,TARNEIT,3029,650.0,2824.0,"Monday, 01 September 2025",2025-09-01,8,4,2,2.0,House,14 Clear Drive,-37.855755,144.64162,2025-09-09 16:18:52,17740879,,18,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi",Secure Parking,https://www.domain.com.au/14-clear-drive-tarneit-vic-3029-17740879
17750640,TARNEIT,3029,450.0,1956.0,"Friday, 03 October 2025",2025-09-08,1,3,2,1.0,House,7 Andie Way,-37.8388,144.65526,2025-09-09 16:18:52,17750640,,8,0,0,False,House,House,Landmark Real Estate,18654,Emily Leow,"Gas, Internal Laundry, Secure Parking, Courtyard, Built in wardrobes, Dishwasher, Air conditioning, Ensuite",https://www.domain.com.au/7-andie-way-tarneit-vic-3029-17750640
17750848,TARNEIT,3029,545.0,2368.0,"Tuesday, 30 September 2025",2025-09-08,1,4,2,2.0,House,37 Melville Street,-37.837788,144.68628,2025-09-09 16:18:52,17750848,,17,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/37-melville-street-tarneit-vic-3029-17750848
