listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17114989,TEMPLESTOWE,3106,540,2346,"Monday, 08 September 2025",2025-08-13,27,2,1,1,Apartment / Unit / Flat,10/57-59 Anderson Street,-37.754917,145.1303,2025-09-09 17:02:36,17114989,AS-9219-AA,8,1,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Tayla Opitz, Tiana Johnson","Secure Parking, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony",https://www.domain.com.au/10-57-59-anderson-street-templestowe-vic-3106-17114989
17401105,TEMPLESTOWE,3106,630,2737,"Tuesday, 26 August 2025",2025-01-21,231,3,2,1,Townhouse,1/74 Anderson Street,-37.753323,145.13138,2025-09-09 17:02:36,17401105,BH-1305-XO,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Tina Dekas, Kobe Shandley","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-74-anderson-street-templestowe-vic-3106-17401105
17469642,TEMPLESTOWE,3106,1250,5432,"Friday, 22 August 2025",2025-08-19,21,4,3,2,Townhouse,9 Renoir Avenue,-37.761444,145.16527,2025-09-09 17:02:36,17469642,BZ-6404-DX,10,0,1,False,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Jorja Ierardo, Tayla Opitz","Intercom, Study, Floorboards, Cable or Satellite, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Air conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Courtyard, Remote Garage, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/9-renoir-avenue-templestowe-vic-3106-17469642
17583373,TEMPLESTOWE,3106,875,5250,"Thursday, 03 July 2025",2025-05-21,111,4,3,2,Townhouse,4/29 Lawanna Drive,-37.76917,145.13725,2025-09-09 17:02:36,17583373,JJ-8105-TS,9,0,1,False,Townhouse/Villa,Townhouse,Fletchers Canterbury,3923,"Belinda Bisogno, Fletchers Property Management",,https://www.domain.com.au/4-29-lawanna-drive-templestowe-vic-3106-17583373
17678606,TEMPLESTOWE,3106,930,6061,"Monday, 01 September 2025",2025-07-21,50,4,2,2,Townhouse,2/267 Porter Street,-37.754227,145.1535,2025-09-09 17:02:36,17678606,,5,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Tina Dekas, Kate Rolfe","Internal Laundry, Dishwasher, Ducted Cooling, Ducted Heating, Built in wardrobes, Garden / Courtyard, Air conditioning, Remote Garage",https://www.domain.com.au/2-267-porter-street-templestowe-vic-3106-17678606
17685751,TEMPLESTOWE,3106,1500,9000,"Tuesday, 19 August 2025",2025-07-25,46,5,4,4,House,4 Bamfield Cl,-37.766346,145.13828,2025-09-09 17:02:36,17685751,,15,0,1,False,House,House,NOEL JONES WHITEHORSE,17383,"Ritchie Sean, Trinity Taylor","Ensuite, Air conditioning, Alarm System, Swimming Pool, Garden / Courtyard, Shed, Built in wardrobes, Gas Heating, Study, Out door entertaining area, Rumpus Room",https://www.domain.com.au/4-bamfield-cl-templestowe-vic-3106-17685751
17699795,TEMPLESTOWE,3106,670,2911,"Friday, 05 September 2025",2025-08-04,36,3,2,2,Townhouse,2/94-96 Parker Street,-37.7576,145.12619,2025-09-09 17:02:36,17699795,,1,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Tayla Opitz, Nicholas Caputo","Internal Laundry, Dishwasher",https://www.domain.com.au/2-94-96-parker-street-templestowe-vic-3106-17699795
17715166,TEMPLESTOWE,3106,550,2390,"Monday, 18 August 2025",2025-08-14,26,2,1,1,Apartment / Unit / Flat,12/31-33 King Street,-37.773197,145.14958,2025-09-09 17:02:36,17715166,,15,0,0,False,Apartment,Apartment / Unit / Flat,Hudson Bond,15409,Hudson Bond Rentals,"Internal Laundry, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, City Views, Car Parking - Basement, Carpeted, Disabled Access, Openable Windows, Toilet Facilities",https://www.domain.com.au/12-31-33-king-street-templestowe-vic-3106-17715166
17721433,TEMPLESTOWE,3106,850,3693,"Monday, 15 September 2025",2025-08-19,21,4,2,5,House,86 Atkinson Street,-37.754696,145.12753,2025-09-09 17:02:36,17721433,,10,0,0,False,House,House,Jellis Craig Doncaster,18680,"Tina Dekas, Kate Rolfe","Internal Laundry, Heating, Balcony / Deck, Built in wardrobes, Vacuum System, Dishwasher, Floorboards, Fully fenced, Outdoor Entertainment Area, Swimming Pool, Remote Garage, Secure Parking, Study",https://www.domain.com.au/86-atkinson-street-templestowe-vic-3106-17721433
17731566,TEMPLESTOWE,3106,580,2520,"Tuesday, 26 August 2025",2025-08-26,14,2,1,2,Apartment / Unit / Flat,2/47 Wood Street,-37.754486,145.12195,2025-09-09 17:02:36,17731566,,7,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Alexandra Graziano, Fletchers Property Management",,https://www.domain.com.au/2-47-wood-street-templestowe-vic-3106-17731566
