listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17161521,TEMPLESTOWE LOWER,3107,1050,4563,"Friday, 03 October 2025",2025-08-22,18,6,4,2.0,House,39 Ironbark Drive,-37.77377,145.12111,2025-09-09 17:05:01,17161521,OC-8078-WK,8,0,0,False,House,House,Barry Plant Manningham,7015,"Tayla Opitz, Darren Wang","Internal Laundry, Bath, Solar panels, Balcony / Deck, Rumpus Room, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Gas Hot Water, Remote Garage",https://www.domain.com.au/39-ironbark-drive-templestowe-lower-vic-3107-17161521
17697491,TEMPLESTOWE LOWER,3107,660,2867,"Friday, 29 August 2025",2025-08-01,38,3,1,2.0,House,20 Fyfe Drive,-37.771603,145.11813,2025-09-09 17:05:01,17697491,,9,0,0,False,House,House,Jellis Craig Eltham,30467,Sharon Zuo,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking",https://www.domain.com.au/20-fyfe-drive-templestowe-lower-vic-3107-17697491
17699536,TEMPLESTOWE LOWER,3107,900,3911,"Wednesday, 20 August 2025",2025-08-04,36,4,3,2.0,House,2A Hazel Drive,-37.772377,145.10759,2025-09-09 17:05:01,17699536,,13,0,1,False,House,House,Ray White Eltham,35346,Olivia Henry,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/2a-hazel-drive-templestowe-lower-vic-3107-17699536
17707792,TEMPLESTOWE LOWER,3107,1050,6600,"Thursday, 07 August 2025",2025-08-08,32,3,2,2.0,Townhouse,,-37.758896,145.1203,2025-09-09 17:05:01,17707792,,11,1,1,True,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Damian Gattone, Tayla Opitz","Internal Laundry, Balcony / Deck, Intercom, Study, Alarm System, Built in wardrobes, Dishwasher, Broadband, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Courtyard, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/templestowe-lower-vic-3107-17707792
17707800,TEMPLESTOWE LOWER,3107,750,3259,"Friday, 15 August 2025",2025-08-08,32,2,1,1.0,Townhouse,,-37.75876,145.12105,2025-09-09 17:05:01,17707800,,13,1,1,True,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Damian Gattone, Tayla Opitz","Internal Laundry, Balcony / Deck, Intercom, Study, Alarm System, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Courtyard, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/templestowe-lower-vic-3107-17707800
17707805,TEMPLESTOWE LOWER,3107,1150,7200,"Friday, 15 August 2025",2025-08-08,32,4,3,2.0,Townhouse,,-37.760967,145.12038,2025-09-09 17:05:01,17707805,,11,1,1,True,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Damian Gattone, Tayla Opitz","Internal Laundry, Intercom, Study, Alarm System, Built in wardrobes, Dishwasher, Broadband, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Courtyard, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/templestowe-lower-vic-3107-17707805
17710615,TEMPLESTOWE LOWER,3107,635,2759,"Monday, 01 September 2025",2025-08-12,28,2,2,1.0,Townhouse,3/2a Hotham Street,-37.772816,145.1104,2025-09-09 17:05:01,17710615,,2,0,0,False,Townhouse/Villa,Townhouse, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Built in wardrobes,https://www.domain.com.au/3-2a-hotham-street-templestowe-lower-vic-3107-17710615
17716586,TEMPLESTOWE LOWER,3107,780,3411,"Monday, 22 September 2025",2025-08-15,25,3,2,2.0,Townhouse,2/12 Ashford Street,-37.759663,145.1207,2025-09-09 17:05:01,17716586,,8,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Tina Dekas, Kate Rolfe","Gas, Internal Laundry, Dishwasher, Balcony / Deck, Study, Garden / Courtyard, Ducted Cooling, Ducted Heating, Remote Garage, Floorboards, Ensuite",https://www.domain.com.au/2-12-ashford-street-templestowe-lower-vic-3107-17716586
17719406,TEMPLESTOWE LOWER,3107,1250,5432,"Wednesday, 24 September 2025",2025-08-18,22,4,3,2.0,Townhouse,15 Dingley Street,-37.760002,145.1061,2025-09-09 17:05:01,17719406,,10,0,0,False,Townhouse/Villa,Townhouse,Fletchers Canterbury,3923,"Kathy Yang, Fletchers Property Management",,https://www.domain.com.au/15-dingley-street-templestowe-lower-vic-3107-17719406
17723627,TEMPLESTOWE LOWER,3107,690,2998,"Wednesday, 20 August 2025",2025-08-20,20,3,1,2.0,Apartment / Unit / Flat,1/358 High Street,-37.76027,145.11897,2025-09-09 17:05:01,17723627,,8,0,0,False,Apartment,Apartment / Unit / Flat, Woodards Manningham ,21971,"Danielle Talia, Manningham Rentals","Gas, Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/1-358-high-street-templestowe-lower-vic-3107-17723627
