listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9792577,THOMASTOWN,3074,420,1825.0,"Friday, 05 September 2025",2025-09-05,4,2,1,,Apartment / Unit / Flat,1/2 Clarke Street,-37.68426,145.01051,2025-09-09 17:17:06,9792577,NA-6001-TX,4,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Thomastown,7125,John Quinonero,,https://www.domain.com.au/1-2-clarke-street-thomastown-vic-3074-9792577
15342514,THOMASTOWN,3074,560,2433.0,"Friday, 03 October 2025",2025-09-03,6,3,1,4.0,House,5 Sherwood Drive,-37.679653,144.98906,2025-09-09 17:17:06,15342514,DU-7616-FD,14,0,0,False,House,House,SKAD REAL ESTATE THOMASTOWN,30016,"Arun Rangi, Sabby Singh","Gas, Heating",https://www.domain.com.au/5-sherwood-drive-thomastown-vic-3074-15342514
16558242,THOMASTOWN,3074,525,2281.0,"Tuesday, 26 August 2025",2025-08-25,15,3,1,1.0,House,3 German Court,-37.67904,145.00812,2025-09-09 17:17:06,16558242,OX-2428-TT,11,0,0,False,House,House,Ray White Thomastown,27311,Julian Cannavo,"Pets Allowed, Built in wardrobes, Internal Laundry, Bath, Heating, Secure Parking, Shed, Fully fenced, Garden / Courtyard, Bungalow, Quiet court living, Close to swimming pool, Close to gym, Close to Library",https://www.domain.com.au/3-german-court-thomastown-vic-3074-16558242
17037476,THOMASTOWN,3074,415,1803.0,"Thursday, 15 October 2020",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,3/6 Central Avenue,-37.67809,145.01323,2025-09-09 17:17:06,17037476,ZT-2775-RQ,6,0,0,False,Apartment,Apartment / Unit / Flat,CROZIERS & CO,26116,"Stephanie Privitelli, Stacey Jankovski","Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/3-6-central-avenue-thomastown-vic-3074-17037476
17652295,THOMASTOWN,3074,520,2260.0,"Thursday, 03 July 2025",2025-08-27,13,3,1,2.0,House,187 Edgars Road,-37.676712,144.9993,2025-09-09 17:17:06,17652295,,11,0,0,False,House,House,Harcourts Rata & Co,30123,"George Stavrakis, Chelsea Picone","Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows, Cooling, Dishwasher",https://www.domain.com.au/187-edgars-road-thomastown-vic-3074-17652295
17694166,THOMASTOWN,3074,530,2303.0,"Tuesday, 05 August 2025",2025-07-31,40,3,1,1.0,House,6 Howe Court,-37.684258,144.99702,2025-09-09 17:17:06,17694166,,10,0,1,False,House,House,Jellis Craig Northcote,15667,"Alicia Cannizzaro, Emma Trethowan","Built in wardrobes, Outdoor Entertainment Area, Ducted Cooling, Ducted Heating, Fully fenced, Laundry, Open plan living",https://www.domain.com.au/6-howe-court-thomastown-vic-3074-17694166
17711698,THOMASTOWN,3074,690,2999.0,"Tuesday, 12 August 2025",2025-08-12,28,4,2,1.0,House,12 Uplands Place,-37.67478,144.98882,2025-09-09 17:17:06,17711698,,17,0,0,False,House,House,Barry Plant Thomastown,16860,Tara White,"Built in wardrobes, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/12-uplands-place-thomastown-vic-3074-17711698
17721429,THOMASTOWN,3074,570,2477.0,"Tuesday, 02 September 2025",2025-08-19,21,3,1,3.0,House,14 Delta Court,-37.67989,145.0368,2025-09-09 17:17:06,17721429,,10,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Internal Laundry, Heating",https://www.domain.com.au/14-delta-court-thomastown-vic-3074-17721429
17728136,THOMASTOWN,3074,550,2390.0,"Friday, 22 August 2025",2025-08-22,18,3,1,2.0,House,5 Woodleigh Street,-37.679768,144.99457,2025-09-09 17:17:06,17728136,,10,0,0,False,House,House,Harcourts Rata & Co,30123,"George Stavrakis, Sachi Samarasekera","Air conditioning, Heating, Built in wardrobes, Close to shops, Close to schools, Openable Windows, Cooling, Split System Cooling",https://www.domain.com.au/5-woodleigh-street-thomastown-vic-3074-17728136
17736006,THOMASTOWN,3074,600,2607.0,"Friday, 29 August 2025",2025-08-28,12,3,1,3.0,House,8 Maritana Crescent,-37.684704,145.00108,2025-09-09 17:17:06,17736006,,11,0,2,False,House,House,Harcourts Rata & Co,30123,"Travis Whelan, Maria Coulloupas","Gas, Internal Laundry, Secure Parking, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows",https://www.domain.com.au/8-maritana-crescent-thomastown-vic-3074-17736006
