listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16292970,THORNBURY,3071,610,2651.0,"Monday, 15 September 2025",2025-08-18,22,2,1,1.0,Townhouse,189A Miller Street,-37.750927,144.98524,2025-09-09 17:22:08,16292970,HX-8498-TB,9,0,1,False,Townhouse/Villa,Townhouse,Bricks and Mortar RE,31967,Warrick Vanderbilt,"Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Pets Allowed",https://www.domain.com.au/189a-miller-street-thornbury-vic-3071-16292970
17679207,THORNBURY,3071,550,2390.0,"Wednesday, 23 July 2025",2025-07-22,49,3,1,,Apartment / Unit / Flat,1/753 High Street,-37.758007,145.0005,2025-09-09 17:22:08,17679207,,7,0,1,False,Apartment,Apartment / Unit / Flat,Woodards Northcote-Thornbury,5639,Mercedes Antonopoulos,"Internal Laundry, Split System Air Con, Split System Heating, Balcony / Deck, Intercom, Built in wardrobes, Dishwasher",https://www.domain.com.au/1-753-high-street-thornbury-vic-3071-17679207
17694037,THORNBURY,3071,400,1738.0,"Wednesday, 06 August 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,9/52 Pender Street,-37.754406,145.009,2025-09-09 17:22:08,17694037,,2,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,Brandon Antrim,"Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/9-52-pender-street-thornbury-vic-3071-17694037
17706965,THORNBURY,3071,430,1868.0,"Friday, 05 September 2025",2025-08-08,32,2,1,1.0,Apartment / Unit / Flat,6/44 Dundas Street,-37.752907,145.00569,2025-09-09 17:22:08,17706965,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,Brandon Antrim,"Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/6-44-dundas-street-thornbury-vic-3071-17706965
17715070,THORNBURY,3071,1200,6415.0,"Thursday, 28 August 2025",2025-08-14,26,4,3,1.0,Townhouse,2/356 Victoria Road,-37.7567,145.01389,2025-09-09 17:22:08,17715070,,10,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Fitzroy,3709,"Jayde Cashion, Emma Trethowan","Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Laundry, Open plan living",https://www.domain.com.au/2-356-victoria-road-thornbury-vic-3071-17715070
17727151,THORNBURY,3071,800,3476.0,"Friday, 22 August 2025",2025-08-22,18,4,2,2.0,House,20B Jones Street,-37.756134,145.0226,2025-09-09 17:22:08,17727151,,7,0,0,False,House,House,Jellis Craig - Brunswick,6216,Brandon Antrim,"Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Fully fenced, Remote Garage, Secure Parking",https://www.domain.com.au/20b-jones-street-thornbury-vic-3071-17727151
17730297,THORNBURY,3071,720,3129.0,"Friday, 05 September 2025",2025-08-25,15,3,1,1.0,House,63 Collins Street,-37.75512,145.00865,2025-09-09 17:22:08,17730297,,12,0,0,False,House,House,Love & Co Reservoir,7121,Sarah Wight,"Built in wardrobes, Gas, Internal Laundry, Dishwasher, Air conditioning, Heating, Close to transport, Close to shops",https://www.domain.com.au/63-collins-street-thornbury-vic-3071-17730297
17733387,THORNBURY,3071,675,2933.0,"Wednesday, 27 August 2025",2025-08-27,13,2,2,1.0,Townhouse,24/158 Clarendon Street,-37.76139,145.0118,2025-09-09 17:22:08,17733387,,10,0,0,False,Townhouse/Villa,Townhouse,Ray White Preston,28013,Susie Liu,"Air conditioning, Gas, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/24-158-clarendon-street-thornbury-vic-3071-17733387
17743649,THORNBURY,3071,360,1564.0,"Tuesday, 07 October 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,10/53 Woolton Avenue,-37.760975,144.99466,2025-09-09 17:22:08,17743649,,4,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig - Brunswick,6216,Brandon Antrim,"Built in wardrobes, Electric Heating",https://www.domain.com.au/10-53-woolton-avenue-thornbury-vic-3071-17743649
17744562,THORNBURY,3071,700,3042.0,"Wednesday, 03 September 2025",2025-09-03,6,2,2,1.0,House,208/636 High Street,-37.7602,145.00055,2025-09-09 17:22:08,17744562,,14,0,0,False,House,House,Ray White Preston,28013,Susie Liu,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Intercom, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/208-636-high-street-thornbury-vic-3071-17744562
17747455,THORNBURY,3071,450,1955.0,"Friday, 03 October 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,9/46 Clarendon St,-37.76003,145.00359,2025-09-09 17:22:08,17747455,,7,0,0,False,Apartment,Apartment / Unit / Flat,BigginScott Richmond,3355,"Liam Mulligan, Mike Richardson",,https://www.domain.com.au/9-46-clarendon-st-thornbury-vic-3071-17747455
