listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17671456,TOORAK,3142,1800.0,7822.0,"Friday, 05 September 2025",2025-07-16,55,3.0,3,2.0,Apartment / Unit / Flat,1/779 Malvern Road,-37.85007,145.01973,2025-09-09 16:43:56,17671456,,9,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property Glen Iris,3712,Lauren Jackson,"Air conditioning, Heating, Close to transport, Close to shops, Intercom, Close to schools, Ensuite, Floorboards, Courtyard, Secure Parking, Window Treatments, Broadband Internet Available, Dishwasher, Study",https://www.domain.com.au/1-779-malvern-road-toorak-vic-3142-17671456
17675884,TOORAK,3142,500.0,2173.0,"Friday, 18 July 2025",2025-07-18,53,1.0,1,,Apartment / Unit / Flat,11/21 Tintern Avenue,-37.842735,145.0059,2025-09-09 16:43:56,17675884,,6,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig Stonnington,5489,Shannon Contin,"Air conditioning, Intercom, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/11-21-tintern-avenue-toorak-vic-3142-17675884
17687825,TOORAK,3142,3000.0,18000.0,"Tuesday, 29 July 2025",2025-07-28,43,3.0,3,2.0,House,9/744 Orrong Road,-37.838436,145.01465,2025-09-09 16:43:56,17687825,,16,0,1,False,House,House,Marshall White Stonnington,4450,"Danielle Crumblehulme, Jessica Liu","Balcony / Deck, Broadband internet access, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Intercom, Outdoor Entertainment Area, Remote Garage, Secure Parking, Washing Machine, Dryer, Fridge, Microwave",https://www.domain.com.au/9-744-orrong-road-toorak-vic-3142-17687825
17689841,TOORAK,3142,425.0,1847.0,"Tuesday, 29 July 2025",2025-07-29,42,1.0,1,1.0,Apartment / Unit / Flat,5/14 May Road,-37.8475,145.00415,2025-09-09 16:43:56,17689841,,6,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Balcony / Deck, Built in wardrobes",https://www.domain.com.au/5-14-may-road-toorak-vic-3142-17689841
17699181,TOORAK,3142,1295.0,5627.0,"Friday, 15 August 2025",2025-08-04,36,2.0,2,2.0,Apartment / Unit / Flat,6/550 Toorak Road,-37.84269,145.02106,2025-09-09 16:43:56,17699181,,17,0,0,False,Apartment,Apartment / Unit / Flat,RT Edgar Glen Eira,23085,"Jessica Vieth, Steven Biggins","Air conditioning, Balcony / Deck, Study, Built in wardrobes, Ducted Cooling, Ducted Heating, Evaporative Cooling, Gas, Intercom, Outdoor Entertainment Area, Remote Garage, Secure Parking",https://www.domain.com.au/6-550-toorak-road-toorak-vic-3142-17699181
17700853,TOORAK,3142,1100.0,7170.0,"Friday, 29 August 2025",2025-08-25,15,2.0,2,2.0,Apartment / Unit / Flat,2/33 Tintern Avenue,-37.841667,145.00558,2025-09-09 16:43:56,17700853,,15,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig Stonnington,5489,Alice Cardamone,"Air conditioning, Balcony / Deck, Garden / Courtyard, Built in wardrobes, Dishwasher",https://www.domain.com.au/2-33-tintern-avenue-toorak-vic-3142-17700853
17705607,TOORAK,3142,995.0,6314.0,"Monday, 11 August 2025",2025-08-07,33,3.0,2,1.0,Townhouse,3/674 Toorak Road,-37.843895,145.03123,2025-09-09 16:43:56,17705607,,7,0,3,False,Townhouse/Villa,Townhouse,Belle Property South Yarra,3721,"Sam Landale, Todd George","Internal Laundry, Heating, Pets Allowed",https://www.domain.com.au/3-674-toorak-road-toorak-vic-3142-17705607
17710988,TOORAK,3142,1200.0,5214.0,"Monday, 18 August 2025",2025-08-12,28,3.0,2,2.0,Apartment / Unit / Flat,3/758 Orrong Road,-37.83724,145.01477,2025-09-09 16:43:56,17710988,,10,0,1,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Internal Laundry, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Garden / Courtyard, Dishwasher, Intercom, Outdoor Entertainment Area, Remote Garage, Secure Parking",https://www.domain.com.au/3-758-orrong-road-toorak-vic-3142-17710988
17711029,TOORAK,3142,850.0,3693.0,"Friday, 05 September 2025",2025-08-12,28,2.0,2,1.0,Townhouse,1/674 Toorak Road,-37.844032,145.0313,2025-09-09 16:43:56,17711029,,10,0,2,False,Townhouse/Villa,Townhouse,Marshall White Manningham Pty Ltd,3929,"Mia  Collings, Annelise Matlock",,https://www.domain.com.au/1-674-toorak-road-toorak-vic-3142-17711029
17725791,TOORAK,3142,625.0,2716.0,"Monday, 25 August 2025",2025-08-21,19,2.0,1,1.0,Apartment / Unit / Flat,2/599 Malvern Road,-37.848335,145.00627,2025-09-09 16:43:56,17725791,,7,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Prahran South Yarra,3916,"Stephen McCleery, Prahran Leasing","Gas, Internal Laundry, Bath, Dishwasher, Split System Air Con, Split System Heating, Secure Parking, Built in wardrobes",https://www.domain.com.au/2-599-malvern-road-toorak-vic-3142-17725791
17731760,TOORAK,3142,695.0,3020.0,"Friday, 05 September 2025",2025-08-26,14,2.0,1,,House,14 Mell Street,-37.846813,145.00642,2025-09-09 16:43:56,17731760,,11,0,0,False,House,House,Buxton Stonnington,122,Cameron  Gibson,"Air conditioning, Split System Heating, Split System Air Con, Built in wardrobes, Floorboards",https://www.domain.com.au/14-mell-street-toorak-vic-3142-17731760
17747094,TOORAK,3142,1450.0,8700.0,"Monday, 06 October 2025",2025-09-04,5,2.0,2,2.0,Apartment / Unit / Flat,103/5 Brookville Road,-37.844208,145.00851,2025-09-09 16:43:56,17747094,,8,0,1,False,Apartment,Apartment / Unit / Flat,Kay & Burton Stonnington,88,Darren McMullin,"Air conditioning, Balcony, Built in wardrobes, Dishwasher, Ducted Air-conditioning, Ducted Heating, Floorboards",https://www.domain.com.au/103-5-brookville-road-toorak-vic-3142-17747094
17747582,TOORAK,3142,475.0,2064.0,"Wednesday, 24 September 2025",2025-09-04,5,1.0,1,1.0,Apartment / Unit / Flat,4/34 Mathoura Road,-37.846367,145.00742,2025-09-09 16:43:56,17747582,,10,0,0,False,Apartment,Apartment / Unit / Flat,McGrath,19308,Daniel Hamilton,,https://www.domain.com.au/4-34-mathoura-road-toorak-vic-3142-17747582
17747680,TOORAK,3142,1700.0,10200.0,"Monday, 15 September 2025",2025-09-04,5,3.0,2,2.0,Apartment / Unit / Flat,102/763 Malvern Rd,-37.849712,145.01706,2025-09-09 16:43:56,17747680,,11,0,0,False,Apartment,Apartment / Unit / Flat, Gary Peer,273,Leasing Concierge,"Intercom, Balcony / Deck, Dishwasher, Internal Laundry",https://www.domain.com.au/102-763-malvern-rd-toorak-vic-3142-17747680
17748820,TOORAK,3142,500.0,2173.0,"Wednesday, 10 September 2025",2025-09-05,4,1.0,1,,Apartment / Unit / Flat,7/3 Glover Court,-37.83275,145.00647,2025-09-09 16:43:56,17748820,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Marshall Real Estate,20024,"Paula Porter, Bruce Richards",,https://www.domain.com.au/7-3-glover-court-toorak-vic-3142-17748820
