listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15736141,TORQUAY,3228,750.0,3000,"Thursday, 09 October 2025",2025-09-08,1,4,2,2.0,House,51 Centreside Drive,-38.30945,144.3302,2025-09-09 16:50:30,15736141,BK-8757-FF,9,0,0,False,House,House,HallSullivan Estate Agents,7043,Kathryn Weddell,"Gas, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/51-centreside-drive-torquay-vic-3228-15736141
17408287,TORQUAY,3228,1100.0,4780,"Monday, 25 August 2025",2025-08-25,15,4,3,3.0,House,10 Links Drive,-38.30911,144.34888,2025-09-09 16:50:30,17408287,TO-4207-ED,21,0,0,False,House,House,Eliza Gold Property,19565,"Marina McMahon, Claire Gaffney","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Swimming Pool, Intercom, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/10-links-drive-torquay-vic-3228-17408287
17721367,TORQUAY,3228,750.0,3259,"Friday, 19 September 2025",2025-08-19,21,4,2,2.0,House,6 Splitters Avenue,-38.307365,144.34068,2025-09-09 16:50:30,17721367,,10,0,0,False,House,House,Hayden Real Estate Torquay,11765,Minoshka Rodrigues,"Gas, Secure Parking, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/6-splitters-avenue-torquay-vic-3228-17721367
17724537,TORQUAY,3228,690.0,2998,"Tuesday, 30 September 2025",2025-08-20,20,4,2,1.0,Townhouse,2/20 Munday Street,-38.33516,144.32245,2025-09-09 16:50:30,17724537,,12,0,0,False,Townhouse/Villa,Townhouse,McCartney Real Estate,15309,Milly Turner,"Secure Parking, Balcony / Deck, Air conditioning, Built in wardrobes, Garden / Courtyard, Dishwasher, Fully fenced",https://www.domain.com.au/2-20-munday-street-torquay-vic-3228-17724537
17734114,TORQUAY,3228,370.0,1608,"Friday, 11 October 2024",2025-08-27,13,1,1,,House,4/26 Seahaze Drive,-38.309685,144.34225,2025-09-09 16:50:30,17734114,,9,0,1,False,House,House,Element Property Network,38712,"Emilly Simmonds, Nina Ethell","Gas, Balcony / Deck, Fully fenced, Outdoor Entertainment Area, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Split-System Air Conditioning, Split-System Heating, Furnished",https://www.domain.com.au/4-26-seahaze-drive-torquay-vic-3228-17734114
17734126,TORQUAY,3228,330.0,1434,"Thursday, 25 September 2025",2025-08-27,13,1,1,,House,1/26 Seahaze Drive,-38.309685,144.34225,2025-09-09 16:50:30,17734126,,9,0,1,False,House,House,Element Property Network,38712,"Emilly Simmonds, Nina Ethell","Gas, Deck, Fully fenced, Outdoor Entertainment Area, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Split-System Heating, Furnished",https://www.domain.com.au/1-26-seahaze-drive-torquay-vic-3228-17734126
17735004,TORQUAY,3228,480.0,2085,"Wednesday, 27 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,3/69 Beach Road,-38.32654,144.31862,2025-09-09 16:50:30,17735004,,8,0,0,False,Apartment,Apartment / Unit / Flat,McCartney Real Estate,15309,Milly Turner,"Internal Laundry, Secure Parking, Garden / Courtyard, Air conditioning",https://www.domain.com.au/3-69-beach-road-torquay-vic-3228-17735004
17735052,TORQUAY,3228,700.0,3041,"Friday, 12 September 2025",2025-08-27,13,3,2,2.0,House,147 Fischer St,-38.314766,144.32903,2025-09-09 16:50:30,17735052,,15,0,0,False,House,House,NATURAL REAL ESTATE,32340,Louise Kerr,"Secure Parking, Bath, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Out door entertaining area, Internal Laundry",https://www.domain.com.au/147-fischer-st-torquay-vic-3228-17735052
17739543,TORQUAY,3228,750.0,3258,"Friday, 05 September 2025",2025-08-31,8,3,2,3.0,House,36 Sea Breeze Drive,-38.322945,144.30754,2025-09-09 16:50:30,17739543,,19,0,0,False,House,House,McCartney Real Estate,15309,Karen Skerke,Ensuite,https://www.domain.com.au/36-sea-breeze-drive-torquay-vic-3228-17739543
17742313,TORQUAY,3228,1200.0,5214,"Thursday, 02 October 2025",2025-09-02,7,5,3,2.0,House,18 Diggers Wy,-38.337143,144.31253,2025-09-09 16:50:30,17742313,,14,0,0,False,House,House,Hayden Real Estate Torquay,11765,Minoshka Rodrigues,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/18-diggers-wy-torquay-vic-3228-17742313
