listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11450818,TRARALGON,3844,390,1695.0,"Monday, 29 September 2025",2025-09-09,0,3,2,2.0,House,7 William Terrace,-38.20229,146.54988,2025-09-09 16:17:35,11450818,CM-0629-WD,8,0,0,False,House,House,Keith Williams Real Estate,12967,,"Heating, Dishwasher",https://www.domain.com.au/7-william-terrace-traralgon-vic-3844-11450818
12816549,TRARALGON,3844,490,2129.0,"Thursday, 02 October 2025",2025-09-02,7,3,2,2.0,House,12 Michael Court,-38.18723,146.532,2025-09-09 16:17:35,12816549,OA-9763-ZT,9,0,0,False,House,House,Keith Williams Real Estate,12967,,,https://www.domain.com.au/12-michael-court-traralgon-vic-3844-12816549
15190335,TRARALGON,3844,390,1695.0,"Saturday, 11 October 2025",2025-09-08,0,3,1,1.0,House,5 Welch Court,-38.207035,146.55937,2025-09-09 16:17:35,15190335,SF-9327-SN,5,0,1,False,House,House,Keith Williams Real Estate,12967,,"Gas, Shed",https://www.domain.com.au/5-welch-court-traralgon-vic-3844-15190335
17722498,TRARALGON,3844,440,1912.0,"Friday, 29 August 2025",2025-08-19,21,3,1,1.0,House,3 Phillip Street,-38.193634,146.51436,2025-09-09 16:17:35,17722498,,9,0,1,False,House,House,Keith Williams Real Estate,12967,,"Gas, Pets Allowed, Secure Parking, Bath, Heating, Dishwasher, Shed, Fully fenced",https://www.domain.com.au/3-phillip-street-traralgon-vic-3844-17722498
17744962,TRARALGON,3844,460,1999.0,"Tuesday, 09 September 2025",2025-09-03,6,3,1,2.0,House,3 Evelyn Court,-38.200283,146.55739,2025-09-09 16:17:35,17744962,,14,0,0,False,House,House,Wilson Property,8001,WP Property Management,"Gas, Heating",https://www.domain.com.au/3-evelyn-court-traralgon-vic-3844-17744962
17745162,TRARALGON,3844,370,1608.0,"Wednesday, 03 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,2/41 Bank Street,-38.20239,146.5257,2025-09-09 16:17:35,17745162,,8,0,0,False,Apartment,Apartment / Unit / Flat,First National Real Estate Latrobe,3227,First National Real Estate Latrobe,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/2-41-bank-street-traralgon-vic-3844-17745162
17745832,TRARALGON,3844,570,,"Monday, 29 September 2025",2025-09-03,6,3,2,2.0,House,11 McNulty Drive,-38.20939,146.51147,2025-09-09 16:17:35,17745832,,31,1,2,False,House,House,Stockdale & Leggo Traralgon,7658,"Elise Plant, Kristen Murphy","Bath, Air conditioning, Built in wardrobes, Dishwasher, Heating, Fully fenced, Outdoor Entertainment Area, Secure Parking, Shed, Outdoor Spa, Workshop",https://www.domain.com.au/11-mcnulty-drive-traralgon-vic-3844-17745832
17745987,TRARALGON,3844,500,2173.0,"Friday, 24 October 2025",2025-09-03,6,3,2,2.0,House,8 Wattle Court,-38.20561,146.51924,2025-09-09 16:17:35,17745987,,13,0,1,False,House,House,First National Real Estate Latrobe,3227,First National Real Estate Latrobe,Heating,https://www.domain.com.au/8-wattle-court-traralgon-vic-3844-17745987
17747033,TRARALGON,3844,540,2340.0,"Monday, 18 August 2025",2025-09-04,5,3,2,1.0,House,95 Hammersmith Circuit,-38.181667,146.55786,2025-09-09 16:17:35,17747033,,5,0,0,False,House,House,Stockdale & Leggo Traralgon,7658,"Kristen Murphy, Elise Plant",Secure Parking,https://www.domain.com.au/95-hammersmith-circuit-traralgon-vic-3844-17747033
17747041,TRARALGON,3844,420,1825.0,"Friday, 19 September 2025",2025-09-04,5,2,1,1.0,Townhouse,3/23 Marie Street,-38.205307,146.52856,2025-09-09 16:17:35,17747041,,9,0,0,True,Townhouse/Villa,Townhouse,Wilson Property,8001,WP Property Management,"Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/3-23-marie-street-traralgon-vic-3844-17747041
