listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17540588,TRAVANCORE,3032,550,,"Monday, 28 April 2025",2025-04-23,139,2,1,1,Apartment / Unit / Flat,18 Mt Alexander Road,-37.785007,144.9388,2025-09-09 16:24:08,17540588,,8,0,0,False,Apartment,Apartment / Unit / Flat,MINT Residential VIC,38998,Hayley Mayne,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/18-mt-alexander-road-travancore-vic-3032-17540588
17596212,TRAVANCORE,3032,490,2129.0,"Friday, 30 May 2025",2025-05-29,103,2,1,1,House,162/38 Mt Alexander Road,-37.784794,144.93864,2025-09-09 16:24:08,17596212,TQ-3879-WZ,8,0,1,False,House,House,HEDLEY REAL ESTATE,31782,"Amber Brombara, William Saritschniy",,https://www.domain.com.au/162-38-mt-alexander-road-travancore-vic-3032-17596212
17665155,TRAVANCORE,3032,520,,"Tuesday, 05 August 2025",2025-07-11,60,2,1,1,Apartment / Unit / Flat,613/38 Mt Alexander Rd,-37.784794,144.93864,2025-09-09 16:24:08,17665155,,7,0,0,False,Apartment,Apartment / Unit / Flat,MINT Residential VIC,38998,Hayley Mayne,"Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/613-38-mt-alexander-rd-travancore-vic-3032-17665155
17676349,TRAVANCORE,3032,510,,"Friday, 01 August 2025",2025-07-18,52,2,1,1,Apartment / Unit / Flat,714/38 Mt Alexander Rd,-37.784794,144.93864,2025-09-09 16:24:08,17676349,,10,0,0,False,Apartment,Apartment / Unit / Flat,MINT Residential VIC,38998,Hayley Mayne,"Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/714-38-mt-alexander-rd-travancore-vic-3032-17676349
17700483,TRAVANCORE,3032,450,1955.0,"Friday, 29 August 2025",2025-08-05,35,1,1,1,Apartment / Unit / Flat,4/53 Flemington Street,-37.781956,144.9343,2025-09-09 16:24:08,17700483,,10,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Ascot Vale,26361,Caterina Italiano,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/4-53-flemington-street-travancore-vic-3032-17700483
17703579,TRAVANCORE,3032,680,2954.0,"Friday, 05 September 2025",2025-09-05,4,3,1,1,House,19 Baroda Street,-37.777668,144.93062,2025-09-09 16:24:08,17703579,,5,0,0,False,House,House,Jellis Craig Kensington,20419,"Megan Reddy, Willow Stamp",Garden / Courtyard,https://www.domain.com.au/19-baroda-street-travancore-vic-3032-17703579
17708786,TRAVANCORE,3032,450,1955.0,"Friday, 12 September 2025",2025-08-11,29,1,1,1,Apartment / Unit / Flat,14/69-71 Delhi Court,-37.7817,144.93854,2025-09-09 16:24:08,17708786,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,"Coco Batey, Cheryl Garton","Built in wardrobes, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/14-69-71-delhi-court-travancore-vic-3032-17708786
17717483,TRAVANCORE,3032,510,2216.0,"Thursday, 18 September 2025",2025-08-15,25,2,1,1,Apartment / Unit / Flat,3/45 Flemington Street,-37.782143,144.93475,2025-09-09 16:24:08,17717483,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,Catherine Maugeri,"Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/3-45-flemington-street-travancore-vic-3032-17717483
17728836,TRAVANCORE,3032,535,,"Wednesday, 10 September 2025",2025-08-22,17,2,1,1,Apartment / Unit / Flat,352/38 Mt Alexander Rd,-37.784794,144.93864,2025-09-09 16:24:08,17728836,,9,0,0,False,Apartment,Apartment / Unit / Flat,MINT Residential VIC,38998,Hayley Mayne,,https://www.domain.com.au/352-38-mt-alexander-rd-travancore-vic-3032-17728836
17735548,TRAVANCORE,3032,400,1738.0,"Friday, 19 September 2025",2025-08-27,12,2,1,1,Apartment / Unit / Flat,912/18 Mt Alexander Rd,-37.785007,144.9388,2025-09-09 16:24:08,17735548,,5,0,0,False,Apartment,Apartment / Unit / Flat,Pennisi Real Estate,7307,Pennisi Leasing Team,"Built in wardrobes, Secure Parking, Gym, Intercom, Bath, Heating, Dishwasher",https://www.domain.com.au/912-18-mt-alexander-rd-travancore-vic-3032-17735548
17753514,TRAVANCORE,3032,550,2390.0,"Friday, 26 September 2025",2025-09-09,0,2,2,1,Apartment / Unit / Flat,216/66 Mt Alexander Road,-37.784645,144.93831,2025-09-09 16:24:08,17753514,,13,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Flemington,4478,"Coco Batey, Cheryl Garton","Built in wardrobes, Gas, Bath, Dishwasher, Balcony / Deck",https://www.domain.com.au/216-66-mt-alexander-road-travancore-vic-3032-17753514
