listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16134174,VERMONT,3133,650,2824.0,"Saturday, 27 September 2025",2025-09-01,8,3,2,1.0,House,30 Aubrey Street,-37.834885,145.209,2025-09-09 16:17:27,16134174,JJ-6605-WB,9,0,0,False,House,House,Ray White Blackburn,4665,Narelle Poloso,"Air conditioning, Internal Laundry, Fireplace(s), Heating, Study",https://www.domain.com.au/30-aubrey-street-vermont-vic-3133-16134174
17150754,VERMONT,3133,520,2260.0,"Friday, 12 September 2025",2025-08-18,22,2,1,1.0,Apartment / Unit / Flat,6/23 Park Close,-37.836037,145.19145,2025-09-09 16:17:27,17150754,GK-1335-LM,4,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,"Anthony Karpathakis, Peppa Shileika","Dishwasher, Pool/Spa Count: 0",https://www.domain.com.au/6-23-park-close-vermont-vic-3133-17150754
17543967,VERMONT,3133,600,2607.0,"Monday, 28 April 2025",2025-04-24,137,3,1,2.0,House,10 Terrara Rd,-37.838413,145.19044,2025-09-09 16:17:27,17543967,RN-2066-SW,10,0,0,False,House,House,Ray White (Box Hill),34590,"Mark Lu, Catherine Jiang",Dishwasher,https://www.domain.com.au/10-terrara-rd-vermont-vic-3133-17543967
17623059,VERMONT,3133,520,2260.0,"Tuesday, 09 September 2025",2025-06-16,85,2,1,1.0,Apartment / Unit / Flat,1/23 Park Close,-37.836037,145.19145,2025-09-09 16:17:27,17623059,,6,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Anthony Karpathakis,"Dishwasher, Shed, Pool/Spa Count: 0",https://www.domain.com.au/1-23-park-close-vermont-vic-3133-17623059
17714673,VERMONT,3133,450,1955.0,"Monday, 18 August 2025",2025-08-14,26,2,1,1.0,Apartment / Unit / Flat,1/662-664 Mitcham Road,-37.834003,145.1949,2025-09-09 16:17:27,17714673,,7,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Blackburn,37344,Henry He,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/1-662-664-mitcham-road-vermont-vic-3133-17714673
17723981,VERMONT,3133,750,3259.0,"Thursday, 25 September 2025",2025-08-20,20,3,2,4.0,Townhouse,11/19-27 Moore Road,-37.84433,145.20537,2025-09-09 16:17:27,17723981,,18,0,1,False,Townhouse/Villa,Townhouse,Professionals First & Co,29341,"Jing Chong, William Zhao","Air conditioning, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/11-19-27-moore-road-vermont-vic-3133-17723981
17728458,VERMONT,3133,500,2172.0,"Friday, 29 August 2025",2025-08-22,18,2,1,,Apartment / Unit / Flat,1/37 Centre Road,-37.838356,145.20682,2025-09-09 16:17:27,17728458,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Whitehorse,20157,"Katrina George, James Vella","Split System Air Con, Split System Heating, Floorboards",https://www.domain.com.au/1-37-centre-road-vermont-vic-3133-17728458
17739636,VERMONT,3133,510,2216.0,"Friday, 26 September 2025",2025-09-01,8,2,1,2.0,Apartment / Unit / Flat,10/513 Mitcham Road,-37.83125,145.19562,2025-09-09 16:17:27,17739636,,9,0,0,False,Apartment,Apartment / Unit / Flat,Ray White (Judd White Group),17402,"Lida Khem, Brook Chuang","Built in wardrobes, Bath",https://www.domain.com.au/10-513-mitcham-road-vermont-vic-3133-17739636
17740756,VERMONT,3133,680,2954.0,"Thursday, 02 October 2025",2025-09-01,8,3,2,2.0,Townhouse,1/654 Canterbury Road,-37.835945,145.19734,2025-09-09 16:17:27,17740756,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Whitehorse,20157,"William Ferraro, Georgia Richardson","Secure Parking, Heating",https://www.domain.com.au/1-654-canterbury-road-vermont-vic-3133-17740756
17744943,VERMONT,3133,600,,"Monday, 15 September 2025",2025-09-03,6,3,1,2.0,House,4 Crisp Court,-37.83894,145.21204,2025-09-09 16:17:27,17744943,,13,0,1,False,House,House,Mandy Lee Real Estate ,15950,Mike Fan,"Air conditioning, Built in wardrobes, Study",https://www.domain.com.au/4-crisp-court-vermont-vic-3133-17744943
17746976,VERMONT,3133,620,2694.0,"Thursday, 11 September 2025",2025-09-04,5,3,2,2.0,House,135 Heatherdale Road,-37.832897,145.21361,2025-09-09 16:17:27,17746976,,8,0,0,False,House,House,Barry Plant Manningham,7015,"Katerina Fountas, Con Karavokyris","Air conditioning, Heating, Shed, Solar panels, Dishwasher, Bathtub",https://www.domain.com.au/135-heatherdale-road-vermont-vic-3133-17746976
