listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17157956,VIEWBANK,3084,540,2346,"Friday, 19 September 2025",2025-08-26,14,2,1,2,House,33 Martins Lane,-37.73216,145.08736,2025-09-09 16:24:17,17157956,MY-3944-ZB,9,0,1,False,House,House,Ray White MacLeod,19429,"Tara Lawson, Deanne Hill","Built in wardrobes, Secure Parking, Heating, Shed",https://www.domain.com.au/33-martins-lane-viewbank-vic-3084-17157956
17681958,VIEWBANK,3084,670,2911,"Thursday, 31 July 2025",2025-07-24,47,4,1,2,House,125 Graham Road,-37.736603,145.08295,2025-09-09 16:24:17,17681958,,7,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Gas, Heating, Study, Secure Parking, Air conditioning, Alarm System, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/125-graham-road-viewbank-vic-3084-17681958
17686402,VIEWBANK,3084,825,3585,"Friday, 01 August 2025",2025-07-25,46,4,2,3,House,60 Castleton Road,-37.730965,145.09589,2025-09-09 16:24:17,17686402,,10,1,1,True,House,House,Barry Plant Manningham,7015,"Jorja Ierardo, Freya Semera","Internal Laundry, Floorboards, Built in wardrobes, Broadband, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Secure Parking, Workshop, Fully fenced, Pets Allowed",https://www.domain.com.au/60-castleton-road-viewbank-vic-3084-17686402
17717486,VIEWBANK,3084,635,2759,"Monday, 15 September 2025",2025-08-15,25,3,1,1,House,6 Willa Avenue,-37.73277,145.08598,2025-09-09 16:24:17,17717486,,9,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Ming Kok,"Heating, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Floorboards, Gas",https://www.domain.com.au/6-willa-avenue-viewbank-vic-3084-17717486
17724928,VIEWBANK,3084,800,3476,"Saturday, 30 August 2025",2025-08-20,19,4,2,2,House,20 Sherlowe Crescent,-37.73257,145.0977,2025-09-09 16:24:17,17724928,,7,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Kate Robertson,"Internal Laundry, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Shed, Built in wardrobes, Dishwasher, Floorboards, Gas, Rumpus Room",https://www.domain.com.au/20-sherlowe-crescent-viewbank-vic-3084-17724928
17738886,VIEWBANK,3084,650,2824,"Saturday, 20 September 2025",2025-08-29,11,3,2,2,Townhouse,6/328 Lower Plenty Road,-37.734753,145.08057,2025-09-09 16:24:17,17738886,,7,0,0,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Emily Micallef,"Air conditioning, Internal Laundry, Bath, Heating, Secure Parking, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/6-328-lower-plenty-road-viewbank-vic-3084-17738886
17741982,VIEWBANK,3084,500,2173,"Saturday, 13 September 2025",2025-09-01,7,2,1,2,Apartment / Unit / Flat,5/111 Martins Lane,-37.732563,145.09457,2025-09-09 16:24:17,17741982,,7,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Kate Robertson,"Built in wardrobes, Secure Parking, Bath, Heating, Air conditioning",https://www.domain.com.au/5-111-martins-lane-viewbank-vic-3084-17741982
17745619,VIEWBANK,3084,400,1738,"Wednesday, 01 October 2025",2025-09-03,6,3,1,1,House,69A Martins Lane,-37.732635,145.09082,2025-09-09 16:24:17,17745619,,11,0,0,False,House,House,Barry Plant Manningham,7015,"Paul Sim, Corina Carter","Built in wardrobes, Gas, Internal Laundry, Heating, Bathtub",https://www.domain.com.au/69a-martins-lane-viewbank-vic-3084-17745619
17745874,VIEWBANK,3084,720,3129,"Monday, 29 September 2025",2025-09-03,6,3,2,2,House,8 Everglade Court,-37.740658,145.0952,2025-09-09 16:24:17,17745874,,18,0,0,False,House,House,Fletchers Canterbury,3923,"Kristian Williams, Fletchers Property Management",,https://www.domain.com.au/8-everglade-court-viewbank-vic-3084-17745874
17752223,VIEWBANK,3084,950,4127,"Friday, 26 September 2025",2025-09-08,0,5,2,2,House,15 Casey Crescent,-37.734734,145.09406,2025-09-09 16:24:17,17752223,,12,0,0,False,House,House,Jellis Craig Ivanhoe,30455,"Steven D'Agostino, Brodie Aston","Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/15-casey-crescent-viewbank-vic-3084-17752223
