listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16471227,WALLAN,3756,450.0,1955.0,"Thursday, 11 September 2025",2025-08-14,26,4,2,1.0,House,"19 Spotted Harrier Street,",-37.40717,144.96193,2025-09-09 16:41:44,16471227,TM-0263-WG,16,1,1,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Ensuite, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/19-spotted-harrier-street-wallan-vic-3756-16471227
16488592,WALLAN,3756,480.0,2086.0,"Friday, 26 September 2025",2025-08-28,12,4,2,2.0,House,"6 Royal Spoonbill Loop,",-37.406506,144.96132,2025-09-09 16:41:44,16488592,IM-9329-PR,20,1,1,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Ensuite, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/6-royal-spoonbill-loop-wallan-vic-3756-16488592
16786260,WALLAN,3756,485.0,2107.0,"Friday, 15 August 2025",2025-07-14,57,4,2,2.0,House,28 Melville Avenue,-37.430103,144.98738,2025-09-09 16:41:44,16786260,LB-4200-SR,12,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Secure Parking, Heating, Ensuite",https://www.domain.com.au/28-melville-avenue-wallan-vic-3756-16786260
17094606,WALLAN,3756,460.0,1999.0,"Tuesday, 30 September 2025",2025-09-04,5,4,2,1.0,House,36 Millau Street,-37.426037,144.99509,2025-09-09 16:41:44,17094606,CZ-1513-NC,10,1,1,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/36-millau-street-wallan-vic-3756-17094606
17156805,WALLAN,3756,440.0,1906.0,"Wednesday, 01 October 2025",2025-09-08,1,3,1,,House,9 Coustley Close,-37.41466,144.98357,2025-09-09 16:41:44,17156805,IG-4771-HP,9,0,0,False,House,House,Harcourts Hume,22388,Maria Zamanis,"Built in wardrobes, Internal Laundry, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/9-coustley-close-wallan-vic-3756-17156805
17195349,WALLAN,3756,500.0,2166.0,"Friday, 10 October 2025",2025-09-04,5,3,2,2.0,House,38 Greenvale Avenue,-37.426613,144.99281,2025-09-09 16:41:44,17195349,MI-7569-BQ,9,0,0,False,House,House,Harcourts Hume,22388,"Lexie Steele, Amanda Dolzer","Air conditioning, Secure Parking, Heating",https://www.domain.com.au/38-greenvale-avenue-wallan-vic-3756-17195349
17270591,WALLAN,3756,450.0,1955.0,"Monday, 08 September 2025",2025-09-08,1,4,2,2.0,House,42 Belladonna Circuit,-37.428963,145.00069,2025-09-09 16:41:44,17270591,HF-9443-CH,9,0,1,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/42-belladonna-circuit-wallan-vic-3756-17270591
17602148,WALLAN,3756,420.0,1825.0,"Monday, 02 June 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,9/76 windham street,-37.412636,144.98264,2025-09-09 16:41:44,17602148,,11,0,0,False,Apartment,Apartment / Unit / Flat,Hess Real Estate,33571,"Vanessa Hess, Peter Hess","Secure Parking, Ducted Heating, Gas Heating",https://www.domain.com.au/9-76-windham-street-wallan-vic-3756-17602148
17701102,WALLAN,3756,480.0,2080.0,"Friday, 08 August 2025",2025-08-05,35,4,2,2.0,House,50 Charles Street,-37.422703,145.00072,2025-09-09 16:41:44,17701102,,22,0,0,False,House,House,Csquare Craigieburn Group Pty Ltd,34921,"Brooke Johnson, Rental Management","Bath, Dishwasher",https://www.domain.com.au/50-charles-street-wallan-vic-3756-17701102
17721917,WALLAN,3756,460.0,1999.0,"Wednesday, 27 August 2025",2025-08-19,21,4,2,2.0,House,23 Smilax Street,-37.4294,144.99734,2025-09-09 16:41:44,17721917,,13,0,0,False,House,House,THE LANCORE WEST AND NORTH,35534,"Jot  Dhaliwal, HK  Dhindsa",,https://www.domain.com.au/23-smilax-street-wallan-vic-3756-17721917
17733787,WALLAN,3756,470.0,2172.0,"Monday, 01 September 2025",2025-08-27,13,4,2,2.0,House,11 Nettle Street,-37.418552,144.95956,2025-09-09 16:41:44,17733787,,6,1,1,False,House,House,Frost Real Estate,23493,Craig Frost,"Internal Laundry, Secure Parking, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Window Treatments",https://www.domain.com.au/11-nettle-street-wallan-vic-3756-17733787
17743054,WALLAN,3756,490.0,2129.0,"Tuesday, 02 September 2025",2025-09-02,7,4,2,2.0,House,15 Spotted Harrier Street,-37.406986,144.96198,2025-09-09 16:41:44,17743054,,12,0,1,False,House,House,Hess Real Estate,33571,"Vanessa Hess, Peter Hess","Secure Parking, Fully fenced, Built in wardrobes, Broadband, Dishwasher, Gas Heating, Ducted Heating, Split system aircon, Split system heating, Reverse cycle aircon",https://www.domain.com.au/15-spotted-harrier-street-wallan-vic-3756-17743054
17743136,WALLAN,3756,460.0,1999.0,"Wednesday, 03 September 2025",2025-09-02,7,4,2,2.0,House,8 Nardoo Drive,-37.43088,144.99773,2025-09-09 16:41:44,17743136,,10,1,1,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Rumpus Room, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/8-nardoo-drive-wallan-vic-3756-17743136
17743169,WALLAN,3756,420.0,1825.0,"Wednesday, 03 September 2025",2025-09-02,7,3,2,2.0,House,2 Belladonna Circuit,-37.428337,144.99931,2025-09-09 16:41:44,17743169,,11,1,1,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/2-belladonna-circuit-wallan-vic-3756-17743169
17743298,WALLAN,3756,460.0,1999.0,"Wednesday, 03 September 2025",2025-09-02,7,4,2,2.0,House,34 Pinaster Street,-37.43006,144.99768,2025-09-09 16:41:44,17743298,,11,1,1,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Rumpus Room, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/34-pinaster-street-wallan-vic-3756-17743298
