listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15234135,WANTIRNA,3152,,2557,"Saturday, 18 June 2022",2022-06-15,1182,4,2,2,House,11 Bambara Street,-37.86395,145.22343,2025-09-09 16:21:52,15234135,VH-9121-KF,12,0,0,False,House,House,Waverley Real Estate,30211,,"Ensuite(s), Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Fully fenced, Garden / Courtyard, Gas",https://www.domain.com.au/11-bambara-street-wantirna-vic-3152-15234135
15712279,WANTIRNA,3152,750.0,3259,"Friday, 26 September 2025",2025-09-02,7,4,2,2,House,12 Milpera Crescent,-37.863087,145.22285,2025-09-09 16:21:52,15712279,TY-6612-QU,8,0,0,False,House,House,Ray White Wantirna,16586,Elle Leonhardt,"Air conditioning, Floorboards, Built in wardrobes, Bath, Heating, Study, Secure Parking",https://www.domain.com.au/12-milpera-crescent-wantirna-vic-3152-15712279
16910691,WANTIRNA,3152,600.0,2607,"Tuesday, 28 May 2024",2025-05-25,106,4,2,2,House,,-37.847958,145.22893,2025-09-09 16:21:52,16910691,GD-4938-GY,5,0,0,False,House,House,Eastern Central Real Estate,20164,George Mash,"Heating, Ensuite(s), Air conditioning, Ensuite, Floorboards, Built in wardrobes, Dishwasher, Fully fenced",https://www.domain.com.au/wantirna-vic-3152-16910691
17676073,WANTIRNA,3152,700.0,3033,"Tuesday, 05 August 2025",2025-07-18,53,5,2,2,House,6 Georgian Gardens,-37.85847,145.23082,2025-09-09 16:21:52,17676073,,11,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Heating, Balcony / Deck, Study",https://www.domain.com.au/6-georgian-gardens-wantirna-vic-3152-17676073
17694834,WANTIRNA,3152,710.0,3085,"Friday, 05 September 2025",2025-07-31,40,4,2,2,House,20 Northam Road,-37.843945,145.23747,2025-09-09 16:21:52,17694834,,11,0,0,False,House,House,KR Peters Wantirna South,12643,Rebecca Nicolls,"Gas, Internal Laundry, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Ducted Heating, Evaporative Cooling, Shed",https://www.domain.com.au/20-northam-road-wantirna-vic-3152-17694834
17704587,WANTIRNA,3152,620.0,2694,"Tuesday, 19 August 2025",2025-08-07,33,4,2,2,House,86 Rachelle Drive,-37.844864,145.23547,2025-09-09 16:21:52,17704587,,9,0,0,False,House,House,Barry Plant Wantirna,7284,Dusica Tomic,"Bedrooms, Bathrooms, Secure Parking, SplitsystemAircon, Gas Heating",https://www.domain.com.au/86-rachelle-drive-wantirna-vic-3152-17704587
17711182,WANTIRNA,3152,680.0,2955,"Wednesday, 20 August 2025",2025-08-12,28,5,2,3,House,7 Mint Street,-37.841312,145.2242,2025-09-09 16:21:52,17711182,,12,0,0,False,House,House,Xynergy Realty Oakleigh,26633,Parker Wang,"Rumpus Room, Floorboards, Built in wardrobes, Bathtub, Gas Appliances, Secure Parking, Shed, Furnished",https://www.domain.com.au/7-mint-street-wantirna-vic-3152-17711182
17712180,WANTIRNA,3152,680.0,2955,"Saturday, 06 September 2025",2025-08-12,28,5,2,2,House,41 Chartwell Drive,-37.85407,145.24242,2025-09-09 16:21:52,17712180,,14,0,0,False,House,House,Roger Davis Real Estate,6422,Vicki Zhang,"Gas, Split System Air Con, Split System Heating, Floorboards, Built in wardrobes, Ensuite",https://www.domain.com.au/41-chartwell-drive-wantirna-vic-3152-17712180
17715502,WANTIRNA,3152,695.0,3020,"Friday, 12 September 2025",2025-08-14,26,3,2,2,House,86 Raheen Avenue,-37.862843,145.22868,2025-09-09 16:21:52,17715502,,16,0,0,False,House,House,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Secure Parking, Heating, Solar panels, Air conditioning, Garden / Courtyard, Outdoor Entertainment Area, Built in wardrobes, Dishwasher",https://www.domain.com.au/86-raheen-avenue-wantirna-vic-3152-17715502
17720044,WANTIRNA,3152,600.0,2607,"Tuesday, 23 September 2025",2025-08-18,22,3,2,2,Townhouse,17/141 Stud Road,-37.85436,145.24387,2025-09-09 16:21:52,17720044,,10,0,1,False,Townhouse/Villa,Townhouse,OBrien Real Estate Rowville,20542,Stephanie Innes,"Secure Parking, Heating, Dishwasher, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Courtyard",https://www.domain.com.au/17-141-stud-road-wantirna-vic-3152-17720044
17722121,WANTIRNA,3152,710.0,3085,"Sunday, 07 September 2025",2025-08-19,21,3,2,2,Townhouse,1/42 Dunbarton Drive,-37.849277,145.24216,2025-09-09 16:21:52,17722121,,7,0,0,False,Townhouse/Villa,Townhouse,Ray White Wantirna,16586,Elle Leonhardt,"Gas, Internal Laundry, Floorboards, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/1-42-dunbarton-drive-wantirna-vic-3152-17722121
17728098,WANTIRNA,3152,600.0,2607,"Friday, 29 August 2025",2025-08-22,18,3,1,4,House,40 Bateman Street,-37.843105,145.22305,2025-09-09 16:21:52,17728098,,5,0,0,False,House,House,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Karen Boltadzija","Split System Air Con, Dishwasher, Ducted Heating, Shed",https://www.domain.com.au/40-bateman-street-wantirna-vic-3152-17728098
17743719,WANTIRNA,3152,650.0,2824,"Tuesday, 16 September 2025",2025-09-02,7,3,1,1,Townhouse,3/30 Gresford Road,-37.849594,145.2353,2025-09-09 16:21:52,17743719,,6,0,0,False,Townhouse/Villa,Townhouse,Ray White Wantirna,16586,Angelika Bogdanov,"Floorboards, Built in wardrobes, Bath, Study, Secure Parking, Balcony / Deck",https://www.domain.com.au/3-30-gresford-road-wantirna-vic-3152-17743719
