listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16896101,WANTIRNA SOUTH,3152,620,2694,"Tuesday, 23 September 2025",2025-08-21,19,2,2,1.0,Apartment / Unit / Flat,41A Reita Avenue,-37.878647,145.23914,2025-09-09 16:24:12,16896101,,8,0,1,False,Apartment,Apartment / Unit / Flat,Professionals Wantirna Knox,18311,Professionals Wantirna Knox,"Gas, Internal Laundry, Built in wardrobes, Courtyard, Dishwasher, Hydronic Heating, Remote Garage, Secure Parking, Shed, Split System AirCon, Study",https://www.domain.com.au/41a-reita-avenue-wantirna-south-vic-3152-16896101
17069705,WANTIRNA SOUTH,3152,620,2694,"Friday, 05 September 2025",2025-08-27,13,2,2,1.0,Apartment / Unit / Flat,509/1 Lynne Avenue,-37.871075,145.23941,2025-09-09 16:24:12,17069705,QJ-2433-GY,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Wantirna,16586,Angelika Bogdanov,"Gas, Air conditioning, Floorboards, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/509-1-lynne-avenue-wantirna-south-vic-3152-17069705
17597544,WANTIRNA SOUTH,3152,650,2824,"Thursday, 29 May 2025",2025-05-29,103,4,2,2.0,House,20 Paul Avenue,-37.863964,145.24336,2025-09-09 16:24:12,17597544,,10,0,1,False,House,House,Stockdale & Leggo - Central,34898,Jacqui Polak,"Built in wardrobes, Pets Allowed, Heating",https://www.domain.com.au/20-paul-avenue-wantirna-south-vic-3152-17597544
17692931,WANTIRNA SOUTH,3152,650,2824,"Friday, 08 August 2025",2025-07-30,41,3,1,2.0,House,23 Pentlowe Road,-37.85892,145.25009,2025-09-09 16:24:12,17692931,,7,0,0,False,House,House,Ray White Wantirna,16586,Angelika Bogdanov,"Gas, Broadband internet access, Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking, Balcony / Deck, Garden / Courtyard, Rainwater storage tank",https://www.domain.com.au/23-pentlowe-road-wantirna-south-vic-3152-17692931
17713112,WANTIRNA SOUTH,3152,540,2346,"Wednesday, 13 August 2025",2025-08-13,27,2,2,,Apartment / Unit / Flat,G10/436 Stud Road,-37.874966,145.2326,2025-09-09 16:24:12,17713112,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Wantirna,7284,Dusica Tomic,"Built in wardrobes, Internal Laundry, Heating, Balcony / Deck, Bedrooms, Bathrooms, Secure Parking, SplitsystemAircon, ReverseCycleAircon",https://www.domain.com.au/g10-436-stud-road-wantirna-south-vic-3152-17713112
17727201,WANTIRNA SOUTH,3152,670,2911,"Friday, 10 October 2025",2025-08-22,18,3,2,2.0,House,59 Tyner Road,-37.8756,145.23782,2025-09-09 16:24:12,17727201,,11,0,0,False,House,House,OBrien Real Estate Wantirna,30597,Nicole Gardner,"Gas, Secure Parking, Heating, Dishwasher, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/59-tyner-road-wantirna-south-vic-3152-17727201
17729411,WANTIRNA SOUTH,3152,630,2738,"Wednesday, 10 September 2025",2025-08-25,15,3,2,4.0,Townhouse,30 Grove Way,-37.88417,145.23352,2025-09-09 16:24:12,17729411,,6,0,0,False,Townhouse/Villa,Townhouse,Ray White Wantirna,16586,Angelika Bogdanov,"Internal Laundry, Built in wardrobes, Bath, Heating, Study, Secure Parking, Garden / Courtyard",https://www.domain.com.au/30-grove-way-wantirna-south-vic-3152-17729411
17729460,WANTIRNA SOUTH,3152,620,2694,"Friday, 29 August 2025",2025-08-25,15,3,1,1.0,House,6 Fonteyn Drive,-37.877613,145.22047,2025-09-09 16:24:12,17729460,,12,0,0,True,House,House,KR Peters Wantirna South,12643,Kerryn Schneider,"Internal Laundry, Secure Parking, Bath, Built in wardrobes, Floorboards, Broadband, Air-Conditioner, Split System Heating, Balcony",https://www.domain.com.au/6-fonteyn-drive-wantirna-south-vic-3152-17729460
17733548,WANTIRNA SOUTH,3152,750,3259,"Wednesday, 10 September 2025",2025-08-27,13,4,2,2.0,House,16 Armagh Crescent,-37.876366,145.22375,2025-09-09 16:24:12,17733548,,7,0,0,False,House,House,Ray White Wantirna,16586,Elle Leonhardt,"Gas, Internal Laundry, Heating, Air conditioning, Floorboards, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/16-armagh-crescent-wantirna-south-vic-3152-17733548
17738392,WANTIRNA SOUTH,3152,570,2477,"Friday, 29 August 2025",2025-08-29,11,3,1,1.0,House,8 Maurice Court,-37.87184,145.23878,2025-09-09 16:24:12,17738392,,12,0,0,False,House,House,VICPROP Manningham,29196,Jenna Frederiksen,"Air conditioning, Built in wardrobes, Gas, Internal Laundry",https://www.domain.com.au/8-maurice-court-wantirna-south-vic-3152-17738392
