listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16591727,WARRAGUL,3820,440,1912.0,"Wednesday, 22 October 2025",2025-08-27,13,3,1,2,House,1 Princes Highway,-38.147713,145.93852,2025-09-09 16:33:51,16591727,JK-1986-BL,7,0,0,False,House,House,Harcourts Warragul,19275,"Sarah Olsen, Stacey Gafa","Broadband internet access, Fireplace(s), Shed, Floorboards, Pets Allowed, Heating, Dishwasher",https://www.domain.com.au/1-princes-highway-warragul-vic-3820-16591727
16638954,WARRAGUL,3820,570,2477.0,"Saturday, 11 October 2025",2025-08-27,13,4,2,2,House,18 Henley Avenue,-38.147045,145.91096,2025-09-09 16:33:51,16638954,PD-6718-FM,12,0,0,False,House,House,Harcourts Warragul,19275,"Sarah Olsen, Stacey Gafa","Air conditioning, Broadband internet access, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Dishwasher",https://www.domain.com.au/18-henley-avenue-warragul-vic-3820-16638954
17729872,WARRAGUL,3820,570,2477.0,"Friday, 29 August 2025",2025-08-25,15,4,2,2,House,24 Tramway Street,-38.131077,145.94958,2025-09-09 16:33:51,17729872,,12,0,0,False,House,House,Ray White Pakenham & Officer,17285,Ray White Pakenham Rental Team,"Air conditioning, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Ground floor",https://www.domain.com.au/24-tramway-street-warragul-vic-3820-17729872
17729923,WARRAGUL,3820,680,2955.0,"Friday, 12 September 2025",2025-08-25,15,4,2,2,House,20 Toland Avenue,-38.14599,145.91455,2025-09-09 16:33:51,17729923,,22,0,1,False,House,House,First National Candappa,31334,Suzy Candappa,"Ensuite, Study, Dishwasher, Built in wardrobes, Rumpus Room, Floorboards, Broadband, Ducted Heating, Ducted Cooling, Remote Garage, Secure Parking, Outdoor Entertainment, Fully fenced",https://www.domain.com.au/20-toland-avenue-warragul-vic-3820-17729923
17731428,WARRAGUL,3820,520,2260.0,"Friday, 26 September 2025",2025-08-26,14,4,1,2,House,174 Albert Road,-38.16238,145.94612,2025-09-09 16:33:51,17731428,,11,0,0,False,House,House,OBrien Real Estate Clark,15886,"Lily Nestor, Jemma Collins","Air conditioning, Built in wardrobes, Heating",https://www.domain.com.au/174-albert-road-warragul-vic-3820-17731428
17732368,WARRAGUL,3820,600,2607.0,"Tuesday, 23 September 2025",2025-08-26,14,4,2,2,House,3 Sunridge Avenue,-38.147186,145.90956,2025-09-09 16:33:51,17732368,,11,0,0,False,House,House,OBrien Real Estate Clark,15886,"Lily Nestor, Jemma Collins","Bath, Built in wardrobes, Dishwasher, Ducted Heating, Study",https://www.domain.com.au/3-sunridge-avenue-warragul-vic-3820-17732368
17732862,WARRAGUL,3820,595,2585.0,"Monday, 29 September 2025",2025-08-26,14,4,2,2,House,25 Sunnybrook Avenue,-38.1504,145.91528,2025-09-09 16:33:51,17732862,,9,0,0,False,House,House,Barry Plant Warragul - Drouin,27684,"Jarrod Hutchins, Barry Plant South Eastern Group","Gas, Internal Laundry, Heating, Balcony / Deck, Built in wardrobes, Ensuite, Dishwasher, Evaporative Cooling, Remote Garage",https://www.domain.com.au/25-sunnybrook-avenue-warragul-vic-3820-17732862
17733531,WARRAGUL,3820,610,2651.0,"Friday, 29 August 2025",2025-08-27,13,4,2,2,House,67 Regent Avenue,-38.143894,145.91483,2025-09-09 16:33:51,17733531,,10,0,0,False,House,House,Harcourts Warragul,19275,"Sarah Olsen, Jessica Windsor","Secure Parking, Broadband internet access, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Dishwasher",https://www.domain.com.au/67-regent-avenue-warragul-vic-3820-17733531
17735136,WARRAGUL,3820,500,2166.0,"Saturday, 06 September 2025",2025-08-27,13,3,2,2,House,14 Eade Avenue,-38.144764,145.94875,2025-09-09 16:33:51,17735136,,11,0,0,False,House,House,Elders GPG,12437,Jess Barr,"Secure Parking, Heating, Ensuite",https://www.domain.com.au/14-eade-avenue-warragul-vic-3820-17735136
17736648,WARRAGUL,3820,500,2173.0,"Thursday, 28 August 2025",2025-08-28,12,2,1,1,House,20 Peace Avenue,-38.163464,145.93771,2025-09-09 16:33:51,17736648,,12,0,0,False,House,House,Hockingstuart Warragul,15849,Rita Robinson,"Gas, Heating, Dishwasher, Study",https://www.domain.com.au/20-peace-avenue-warragul-vic-3820-17736648
