listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15805620,WARRNAMBOOL,3280,240,1043,"Friday, 17 October 2025",2025-09-09,0,1,1,1.0,House,20/11 Bates Road,-38.38737,142.51212,2025-09-09 16:47:09,15805620,DE-3318-ZJ,5,0,0,False,House,House,Ray White Warrnambool,5589,Steven Agnew,Built in wardrobes,https://www.domain.com.au/20-11-bates-road-warrnambool-vic-3280-15805620
15893194,WARRNAMBOOL,3280,530,2296,"Tuesday, 07 October 2025",2025-09-05,4,2,1,1.0,Townhouse,4 Koroit Street,-38.387394,142.49265,2025-09-09 16:47:09,15893194,DZ-6159-CC,7,0,1,False,Townhouse/Villa,Townhouse,Christine Steere Property,30216,Christine Steere Property Rentals,"Internal Laundry, Secure Parking, Bath, Dishwasher, Built in wardrobes, Ducted Heating, Courtyard, Fully fenced",https://www.domain.com.au/4-koroit-street-warrnambool-vic-3280-15893194
16265313,WARRNAMBOOL,3280,420,1680,"Monday, 08 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,6/50 Kelp Street,-38.386448,142.48804,2025-09-09 16:47:09,16265313,LY-6871-GK,9,0,0,False,Apartment,Apartment / Unit / Flat,Gleeson Real Estate,15949,Milton Jannusch,"Internal Laundry, Fully fenced, Secure Parking, Broadband Internet Available, Built in wardrobes, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/6-50-kelp-street-warrnambool-vic-3280-16265313
16320317,WARRNAMBOOL,3280,675,2925,"Friday, 12 September 2025",2025-09-08,1,4,2,2.0,House,149 Daltons Road,-38.36303,142.47057,2025-09-09 16:47:09,16320317,IE-0521-ZB,15,0,0,False,House,House,Ray White Warrnambool,5589,"Steven Agnew, Brooke West","Secure Parking, Shed, Balcony / Deck",https://www.domain.com.au/149-daltons-road-warrnambool-vic-3280-16320317
16472761,WARRNAMBOOL,3280,650,2825,"Tuesday, 26 August 2025",2025-07-30,41,3,2,2.0,House,29 Thackeray Drive,-38.37913,142.52248,2025-09-09 16:47:09,16472761,LE-0223-WE,13,0,0,False,House,House,Ray White Warrnambool,5589,Steven Agnew,Heating,https://www.domain.com.au/29-thackeray-drive-warrnambool-vic-3280-16472761
16976702,WARRNAMBOOL,3280,650,2824,"Monday, 08 September 2025",2025-07-16,55,4,3,2.0,House,18 Maxwell Grove,-38.389107,142.50854,2025-09-09 16:47:09,16976702,GO-4624-HG,11,0,0,False,House,House,Christine Steere Property,30216,Christine Steere Property Rentals,"Air conditioning, Ensuite, Dishwasher, Built in wardrobes, Rumpus Room, Ducted Heating, Remote Garage, Balcony, Fully fenced",https://www.domain.com.au/18-maxwell-grove-warrnambool-vic-3280-16976702
17708496,WARRNAMBOOL,3280,660,2860,"Monday, 18 August 2025",2025-08-11,29,4,2,2.0,House,22 Quarry Road,-38.37385,142.51926,2025-09-09 16:47:09,17708496,,9,0,0,False,House,House,Ray White Warrnambool,5589,"Steven Agnew, Brooke West","Secure Parking, Heating, Fully fenced, Ensuite",https://www.domain.com.au/22-quarry-road-warrnambool-vic-3280-17708496
17718557,WARRNAMBOOL,3280,550,2390,"Tuesday, 26 August 2025",2025-08-16,24,4,1,,House,20 King Street,-38.375515,142.4819,2025-09-09 16:47:09,17718557,,7,0,0,False,House,House,Ray White Warrnambool,5589,Steven Agnew,"Bath, Shed",https://www.domain.com.au/20-king-street-warrnambool-vic-3280-17718557
17725735,WARRNAMBOOL,3280,495,1980,"Thursday, 21 August 2025",2025-08-21,19,3,1,2.0,House,10 Clovelly Court,-38.38451,142.50893,2025-09-09 16:47:09,17725735,,16,0,0,False,House,House,Gleeson Real Estate,15949,Milton Jannusch,"Fully fenced, Secure Parking, Shed, Broadband Internet Available, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/10-clovelly-court-warrnambool-vic-3280-17725735
17727087,WARRNAMBOOL,3280,450,1956,"Thursday, 28 August 2025",2025-08-22,18,2,1,1.0,Apartment / Unit / Flat,3/25 Denneys Street,-38.383904,142.49457,2025-09-09 16:47:09,17727087,,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Warrnambool,5589,Steven Agnew,"Air conditioning, Built in wardrobes",https://www.domain.com.au/3-25-denneys-street-warrnambool-vic-3280-17727087
