listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14847028,WENDOUREE,3355,380,1646,"Friday, 29 August 2025",2025-08-25,15,3,1,3.0,House,389 Forest Street,-37.526215,143.8336,2025-09-09 16:22:30,14847028,MS-7694-FO,14,0,1,True,House,House,PRDnationwide Ballarat,5808,"Alister Hosking, Ange Simpson","Air conditioning, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Study, Secure Parking, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/389-forest-street-wendouree-vic-3355-14847028
17113127,WENDOUREE,3355,415,1803,"Friday, 19 September 2025",2025-08-21,19,3,1,2.0,House,1112 Grevillea Road,-37.52741,143.83186,2025-09-09 16:22:30,17113127,XA-1799-XR,11,0,0,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Caine Hunter","Built in wardrobes, Shed, Central Heating, Split System",https://www.domain.com.au/1112-grevillea-road-wendouree-vic-3355-17113127
17250681,WENDOUREE,3355,420,1825,"Wednesday, 08 October 2025",2025-09-04,5,3,1,2.0,House,8 Linden Avenue,-37.539524,143.84215,2025-09-09 16:22:30,17250681,QU-5155-YD,7,0,1,False,House,House,Ray White Ballarat,11641,"Bernie Dickson, Brylee Chaffey","Built in wardrobes, Internal Laundry, Heating, Shed, Balcony / Deck",https://www.domain.com.au/8-linden-avenue-wendouree-vic-3355-17250681
17555743,WENDOUREE,3355,450,1950,"Sunday, 01 June 2025",2025-05-02,129,3,1,2.0,House,20 Carpenter Street,-37.52347,143.83365,2025-09-09 16:22:30,17555743,ZW-9750-VA,3,0,0,False,House,House,Raine & Horne Blackburn,29609,Patrick Mane,"Internal Laundry, Pets Allowed, Heating",https://www.domain.com.au/20-carpenter-street-wendouree-vic-3355-17555743
17724349,WENDOUREE,3355,380,1651,"Friday, 29 August 2025",2025-08-20,20,3,1,1.0,House,39 Hawthorn Grove,-37.535,143.8409,2025-09-09 16:22:30,17724349,,9,0,0,False,House,House,Ballarat Real Estate,13411,Joshua Dean,"Air conditioning, Heating, Built in wardrobes, Pets Allowed, Floorboards, Fully fenced",https://www.domain.com.au/39-hawthorn-grove-wendouree-vic-3355-17724349
17724408,WENDOUREE,3355,300,1200,"Wednesday, 20 August 2025",2025-08-20,20,1,1,1.0,Apartment / Unit / Flat,5/302 FOREST STREET,-37.533127,143.83313,2025-09-09 16:22:30,17724408,,7,0,1,False,Apartment,Apartment / Unit / Flat,Bartrop Real Estate,13303,Bartrop Real Estate,"Shed, Built in wardrobes, Split-System Air Conditioning",https://www.domain.com.au/5-302-forest-street-wendouree-vic-3355-17724408
17725516,WENDOUREE,3355,400,1738,"Wednesday, 27 August 2025",2025-08-21,19,3,1,3.0,House,101 Marigold St,-37.524193,143.82256,2025-09-09 16:22:30,17725516,,7,0,0,False,House,House,Trevor Petrie Real Estate,14353,Annie-Jo Ross,"Bath, Heating, Built in wardrobes, Out door entertaining area",https://www.domain.com.au/101-marigold-st-wendouree-vic-3355-17725516
17725942,WENDOUREE,3355,350,1521,"Sunday, 24 August 2025",2025-08-21,19,3,1,1.0,House,1266 Grevillea Road,-37.527424,143.81718,2025-09-09 16:22:30,17725942,,11,0,0,False,House,House,McGrath Ballarat,32266,Taneya Burke,"Internal Laundry, Pets Allowed, Bath, Heating, Shed",https://www.domain.com.au/1266-grevillea-road-wendouree-vic-3355-17725942
17726253,WENDOUREE,3355,470,2042,"Thursday, 25 September 2025",2025-08-21,19,3,2,1.0,Townhouse,14 Langstaffe Dr,-37.52078,143.8329,2025-09-09 16:22:30,17726253,,9,0,0,False,Townhouse/Villa,Townhouse,Trevor Petrie Real Estate,14353,Kayla Bown,"Secure Parking, Ensuite, Air conditioning, Garden / Courtyard, Built in wardrobes, Dishwasher",https://www.domain.com.au/14-langstaffe-dr-wendouree-vic-3355-17726253
17727548,WENDOUREE,3355,280,1213,"Friday, 29 August 2025",2025-08-22,18,1,1,1.0,Apartment / Unit / Flat,2/58 Park Street,-37.533787,143.82639,2025-09-09 16:22:30,17727548,,8,0,0,True,Apartment,Apartment / Unit / Flat,PRDnationwide Ballarat,5808,"Juanita Murray, Annabel Bennett","Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Secure Parking, Shed, Garden / Courtyard",https://www.domain.com.au/2-58-park-street-wendouree-vic-3355-17727548
